gen,time,evals,best_fit,best_size,pop_size
1,0.836081,57035,0.006471,13,1024
2,1.752916,133684,0.000623,21,1024
3,2.79754,216411,0.000487,21,1024
4,3.857598,302513,0.000487,19,1024
5,4.876783,385514,0.000387,21,1024
6,5.796491,459958,0.000374,19,1024
7,6.719622,529259,0.000374,19,1024
8,7.729038,608806,0.000374,21,1024
9,8.794653,694522,0.000373,22,1024
10,9.819943,776317,0.000372,23,1024
11,10.777855,853898,0.000367,23,1024
12,11.729839,928675,0.000364,22,1024
13,12.679051,1006668,0.000362,22,1024
