gen,time,evals,best_fit,best_size,pop_size
1,0.545311,24884,0.014671,15,1024
2,1.031181,61131,0.009999,16,1024
3,1.548086,99915,0.008932,6,1024
4,2.056701,135792,0.005694,13,1024
5,2.51481,167322,0.004347,17,1024
6,2.930734,193309,0.002865,17,1024
7,3.368603,224510,0.002707,20,1024
8,3.863356,262194,0.001454,17,1024
9,4.318561,293515,0.001454,17,1024
10,4.68776,308190,0.001454,17,1024
11,5.025497,320821,0.001454,17,1024
12,5.363747,333618,0.001454,17,1024
13,5.723572,346543,0.001454,17,1024
14,6.080797,359521,0.001454,17,1024
15,6.421397,372313,0.001454,17,1024
16,6.752001,385865,0.001454,17,1024
17,7.091279,399838,0.001454,17,1024
18,7.442981,413509,0.001454,17,1024
19,7.785725,426324,0.001454,17,1024
20,8.152805,439527,0.001454,17,1024
21,8.518001,453137,0.001454,17,1024
22,8.857986,466130,0.001454,17,1024
23,9.197117,478591,0.001454,17,1024
24,9.536582,489142,0.001454,17,1024
25,9.862322,497300,0.001454,17,1024
26,10.188382,509330,0.001454,17,1024
27,10.523484,522022,0.001454,17,1024
28,10.851593,532609,0.001454,17,1024
29,11.198586,545024,0.001454,17,1024
30,11.539763,557822,0.001454,17,1024
31,11.873173,568687,0.001454,17,1024
32,12.219772,578654,0.001454,17,1024
33,12.571544,589507,0.001454,17,1024
34,12.912973,602706,0.001454,17,1024
35,13.255577,615262,0.001454,17,1024
36,13.599771,627331,0.001065,17,1024
37,13.942185,640912,0.001065,17,1024
38,14.27111,653104,0.001065,17,1024
39,14.613046,666249,0.001065,17,1024
40,14.954856,679564,0.001065,17,1024
41,15.310507,691231,0.001065,17,1024
42,15.638947,699747,0.001065,17,1024
43,15.98477,709742,0.001065,17,1024
44,16.320978,717025,0.001065,17,1024
45,16.641609,726739,0.001065,17,1024
46,16.987762,739346,0.001065,17,1024
47,17.333573,750925,0.001065,17,1024
48,17.676274,762057,0.001065,17,1024
49,18.009237,773206,0.001065,17,1024
50,18.354412,785697,0.001065,17,1024
51,18.705454,797441,0.001065,17,1024
52,19.046909,810369,0.001065,17,1024
53,19.40639,823686,0.001065,17,1024
54,19.766191,837076,0.001065,17,1024
55,20.121504,850752,0.001065,17,1024
56,20.47617,864548,0.001065,17,1024
57,20.835163,877663,0.001065,17,1024
58,21.18284,889303,0.001065,17,1024
59,21.53392,901986,0.001065,17,1024
60,21.887559,915172,0.001065,17,1024
61,22.227278,928011,0.001065,17,1024
62,22.570212,939861,0.001065,17,1024
63,22.926414,952450,0.001065,17,1024
64,23.275168,965479,0.001065,17,1024
65,23.624682,977234,0.001065,17,1024
66,23.979007,988551,0.001065,17,1024
67,24.336576,1001449,0.001065,17,1024
