gen,time,evals,best_fit,best_size,pop_size
1,0.841671,55517,0.00345,8,1024
2,1.733989,130976,0.003098,13,1024
3,2.688883,210906,0.002535,11,1024
4,3.662623,291692,0.002281,11,1024
5,4.571107,362633,0.002061,11,1024
6,5.404354,423668,0.00158,11,1024
7,6.158229,468742,0.001557,11,1024
8,6.928962,515674,0.001547,11,1024
9,7.85754,584359,0.001547,11,1024
10,8.728562,638019,0.001547,11,1024
11,9.583616,690132,0.001547,11,1024
12,10.426593,740271,0.001547,11,1024
13,11.267216,788722,0.001547,11,1024
14,12.111758,839339,0.001547,11,1024
15,12.971988,888192,0.001547,11,1024
16,13.804495,937313,0.001547,11,1024
17,14.642942,987037,0.001547,11,1024
18,15.459116,1034028,0.001547,11,1024
