gen,time,evals,best_fit,best_size,pop_size
1,0.99323,69086,0.008925,15,1024
2,2.194869,158705,0.005169,12,1024
3,3.445181,253496,0.003252,12,1024
4,4.730915,351548,0.002885,12,1024
5,5.98231,446589,0.00286,12,1024
6,7.187262,529382,0.002853,12,1024
7,8.360218,607275,0.002849,12,1024
8,9.485769,673671,0.002849,12,1024
9,10.610027,739348,0.002849,12,1024
10,11.79748,805988,0.002847,12,1024
11,12.940698,872375,0.002847,12,1024
12,14.065029,937807,0.002847,12,1024
13,15.169648,1003007,0.002847,12,1024
