gen,time,evals,best_fit,best_size,pop_size
1,0.369493,26004,0.009112,13,1024
2,0.773391,63507,0.004608,19,1024
3,1.230345,103986,0.004608,19,1024
4,1.640209,142705,0.003463,17,1024
5,2.059187,180803,0.001907,17,1024
6,2.454659,215740,0.001907,17,1024
7,2.8068,243310,0.001907,17,1024
8,3.059459,257595,0.001906,17,1024
9,3.300628,267877,0.001906,17,1024
10,3.600414,281009,0.001873,15,1024
11,3.883135,295854,0.001873,15,1024
12,4.171815,310911,0.001857,17,1024
13,4.446668,325037,0.001856,16,1024
14,4.724553,338622,0.001856,16,1024
15,4.975465,352171,0.001856,16,1024
16,5.199144,362483,0.001856,16,1024
17,5.488183,372746,0.001856,16,1024
18,5.756221,383115,0.001856,16,1024
19,6.037227,393602,0.001856,16,1024
20,6.308968,401601,0.001856,16,1024
21,6.53818,408868,0.001856,16,1024
22,6.827765,417738,0.001856,16,1024
23,7.088817,426561,0.001856,16,1024
24,7.36077,435405,0.001856,16,1024
25,7.6367,444160,0.001856,16,1024
26,7.883688,452942,0.001856,16,1024
27,8.108768,461702,0.001856,16,1024
28,8.34689,470444,0.001856,16,1024
29,8.619614,479189,0.001856,16,1024
30,8.873098,488060,0.001856,16,1024
31,9.139791,497127,0.001856,16,1024
32,9.412272,506450,0.001856,16,1024
33,9.662435,516119,0.001856,16,1024
34,9.910628,526144,0.001856,16,1024
35,10.150308,536918,0.001856,16,1024
36,10.378495,548031,0.001856,16,1024
37,10.661934,559484,0.001856,16,1024
38,10.92578,570903,0.001856,16,1024
39,11.180159,582092,0.001856,16,1024
40,11.450114,592575,0.001856,16,1024
41,11.713075,602492,0.001856,16,1024
42,11.956752,611547,0.001856,16,1024
43,12.216723,620034,0.001856,16,1024
44,12.472178,628203,0.001856,16,1024
45,12.700248,636152,0.001856,16,1024
46,12.930222,644003,0.001856,16,1024
47,13.146998,651823,0.001856,16,1024
48,13.397448,659589,0.001856,16,1024
49,13.66772,667244,0.001856,16,1024
50,13.943259,674589,0.001856,16,1024
51,14.229907,682944,0.001856,16,1024
52,14.492521,690297,0.001856,16,1024
53,14.752877,698650,0.001856,16,1024
54,15.008471,705988,0.001856,16,1024
55,15.263439,714341,0.001856,16,1024
56,15.525183,722697,0.001856,16,1024
57,15.797857,731063,0.001856,16,1024
58,16.047146,739429,0.001856,16,1024
59,16.323336,746777,0.001856,16,1024
60,16.586379,754129,0.001856,16,1024
61,16.826568,761470,0.001856,16,1024
62,17.107686,768818,0.001856,16,1024
63,17.343161,776170,0.001856,16,1024
64,17.5627,783504,0.001856,16,1024
65,17.7787,790829,0.001856,16,1024
66,17.999255,798175,0.001856,16,1024
67,18.217936,805518,0.001856,16,1024
68,18.484734,812862,0.001856,16,1024
69,18.735165,820203,0.001856,16,1024
70,18.982592,827546,0.001856,16,1024
71,19.255923,834878,0.001856,16,1024
72,19.507861,842194,0.001856,16,1024
73,19.737657,849514,0.001856,16,1024
74,19.970386,856852,0.001856,16,1024
75,20.215722,864176,0.001856,16,1024
76,20.426003,871513,0.001856,16,1024
77,20.693377,878854,0.001856,16,1024
78,20.918864,886169,0.001856,16,1024
79,21.164767,893506,0.001856,16,1024
80,21.463894,901854,0.001856,16,1024
81,21.735127,910179,0.001856,16,1024
82,22.020111,918503,0.001856,16,1024
83,22.273414,926838,0.001856,16,1024
84,22.523547,935163,0.001856,16,1024
85,22.790047,943497,0.001856,16,1024
86,23.019889,951844,0.001856,16,1024
87,23.268328,960189,0.001856,16,1024
88,23.555861,968533,0.001856,16,1024
89,23.813366,976888,0.001856,16,1024
90,24.078601,985233,0.001856,16,1024
91,24.372244,993567,0.001856,16,1024
92,24.643278,1001909,0.001856,16,1024
