gen,time,evals,best_fit,best_size,pop_size
1,0.513773,24548,0.008624,17,1024
2,1.030552,59970,0.002671,15,1024
3,1.580718,98693,0.002671,15,1024
4,2.16499,138129,0.002671,15,1024
5,2.730391,176764,0.002621,15,1024
6,3.301942,215334,0.002619,15,1024
7,3.854453,252226,0.002619,15,1024
8,4.262379,272329,0.002617,18,1024
9,4.626786,280859,0.002617,18,1024
10,4.990274,287934,0.002617,18,1024
11,5.3258,293999,0.002617,18,1024
12,5.689718,299982,0.002616,18,1024
13,6.033204,305942,0.002616,18,1024
14,6.363432,311907,0.002616,18,1024
15,6.714562,316925,0.002616,18,1024
16,7.052027,321821,0.002616,18,1024
17,7.414944,327208,0.002615,18,1024
18,7.776546,334380,0.002614,19,1024
19,8.123065,343287,0.00261,19,1024
20,8.485096,354248,0.00261,19,1024
21,8.828968,361841,0.002585,19,1024
22,9.204119,372030,0.002585,19,1024
23,9.573632,382821,0.002585,19,1024
24,9.901141,389576,0.002585,19,1024
25,10.258172,396672,0.002539,19,1024
26,10.610447,404197,0.002539,19,1024
27,10.996364,412959,0.002539,19,1024
28,11.364211,422035,0.002539,19,1024
29,11.723736,431756,0.002538,21,1024
30,12.097821,441743,0.002533,20,1024
31,12.471899,452243,0.002533,18,1024
32,12.844933,462305,0.00253,21,1024
33,13.240756,473715,0.00253,21,1024
34,13.642611,484652,0.00253,21,1024
35,14.044753,497132,0.00253,21,1024
36,14.430781,508726,0.00253,21,1024
37,14.8219,519850,0.00253,21,1024
38,15.198241,529748,0.00253,21,1024
39,15.590177,539800,0.00253,21,1024
40,15.965357,549986,0.00253,21,1024
41,16.325817,559740,0.00253,21,1024
42,16.709665,569451,0.00253,21,1024
43,17.092056,579186,0.00253,21,1024
44,17.474717,589030,0.00253,21,1024
45,17.847321,598796,0.00253,21,1024
46,18.193202,608617,0.00253,21,1024
47,18.594796,618426,0.00253,21,1024
48,18.988121,628303,0.00253,21,1024
49,19.350419,638163,0.00253,21,1024
50,19.730235,648000,0.00253,21,1024
51,20.110706,657556,0.00253,21,1024
52,20.491201,667125,0.00253,19,1024
53,20.859671,676596,0.00253,21,1024
54,21.224809,685937,0.00253,21,1024
55,21.61704,695141,0.00253,21,1024
56,21.997134,704319,0.00253,21,1024
57,22.360621,713472,0.00253,21,1024
58,22.742914,722435,0.00253,21,1024
59,23.129745,731106,0.00253,21,1024
60,23.49293,739546,0.00253,21,1024
61,23.841901,747655,0.00253,21,1024
62,24.19535,755544,0.00253,21,1024
63,24.579054,763438,0.00253,20,1024
64,24.908532,771351,0.00253,20,1024
65,25.291255,779252,0.00253,20,1024
66,25.662805,787271,0.00253,20,1024
67,26.030637,795247,0.00253,20,1024
68,26.407002,803280,0.00253,20,1024
69,26.778371,811196,0.00253,20,1024
70,27.169372,818849,0.00253,20,1024
71,27.541996,826266,0.00253,20,1024
72,27.857318,833865,0.00253,20,1024
73,28.203957,841580,0.00253,20,1024
74,28.59766,849681,0.00253,20,1024
75,28.968953,858160,0.00253,20,1024
76,29.336464,866944,0.00253,20,1024
77,29.695011,875806,0.00253,20,1024
78,30.070301,884450,0.00253,20,1024
79,30.455247,892620,0.00253,20,1024
80,30.803818,900249,0.00253,20,1024
81,31.136772,907387,0.00253,20,1024
82,31.508946,914082,0.00253,20,1024
83,31.874845,920221,0.00253,20,1024
84,32.220719,925816,0.00253,20,1024
85,32.554296,931056,0.00253,20,1024
86,32.92146,936108,0.00253,20,1024
87,33.286078,941174,0.00253,20,1024
88,33.619562,946368,0.00253,20,1024
89,33.940544,951759,0.00253,20,1024
90,34.304197,957493,0.00253,20,1024
91,34.690768,963381,0.00253,20,1024
92,35.050322,969222,0.00253,20,1024
93,35.379921,975064,0.00253,20,1024
94,35.725308,980455,0.00253,20,1024
95,36.082571,985444,0.00253,20,1024
96,36.434257,990350,0.00253,20,1024
97,36.771317,995276,0.00253,20,1024
98,37.10581,1000289,0.00253,20,1024
