gen,time,evals,best_fit,best_size,pop_size
1,0.864629,53115,0.012637,14,1024
2,1.780401,126123,0.00517,13,1024
3,2.797502,202931,0.003585,8,1024
4,3.915643,285234,0.003176,12,1024
5,5.037853,367745,0.003106,12,1024
6,6.008549,436964,0.003105,12,1024
7,6.907524,493237,0.003105,12,1024
8,7.701903,532611,0.003105,12,1024
9,8.503816,567867,0.003096,24,1024
10,9.335559,602491,0.003095,26,1024
11,10.141619,636848,0.003086,26,1024
12,10.960761,670454,0.002955,26,1024
13,11.785757,704706,0.002955,26,1024
14,12.609343,738565,0.002955,26,1024
15,13.421279,772053,0.002955,26,1024
16,14.24906,804978,0.002181,26,1024
17,15.064598,836921,0.002181,24,1024
18,15.888308,868902,0.002181,24,1024
19,16.721696,900944,0.00218,24,1024
20,17.536929,932788,0.002167,26,1024
21,18.361161,964548,0.002151,25,1024
22,19.184024,996266,0.002151,25,1024
23,20.022673,1028442,0.002139,25,1024
