gen,time,evals,best_fit,best_size,pop_size
1,0.512441,24641,0.022441,12,1024
2,1.027935,62031,0.008582,20,1024
3,1.55193,102910,0.003314,18,1024
4,2.133786,143601,0.003314,18,1024
5,2.647971,178384,0.002466,19,1024
6,3.065021,204893,0.002466,19,1024
7,3.463557,234174,0.000428,15,1024
8,3.899134,268771,0.000428,15,1024
9,4.365255,301081,0.000236,19,1024
10,4.802351,325476,0.000236,19,1024
11,5.261672,351751,0.000225,19,1024
12,5.697244,377569,0.000138,20,1024
13,6.09167,396292,0.000119,24,1024
14,6.499195,406861,7.9e-05,23,1024
15,6.889309,418671,7.9e-05,23,1024
16,7.240905,429910,7.9e-05,23,1024
17,7.594865,446309,7.9e-05,23,1024
18,7.974587,463937,7.9e-05,23,1024
19,8.362816,482272,7e-05,24,1024
20,8.758517,500711,7e-05,25,1024
21,9.174287,519110,7e-05,25,1024
22,9.584671,535665,7e-05,25,1024
23,9.976931,550401,7e-05,25,1024
24,10.392178,565351,7e-05,25,1024
25,10.792955,579663,7e-05,25,1024
26,11.198539,594463,7e-05,25,1024
27,11.569898,608172,7e-05,25,1024
28,11.948295,622844,7e-05,25,1024
29,12.31366,636754,7e-05,25,1024
30,12.663359,651259,7e-05,25,1024
31,13.038379,666013,7e-05,25,1024
32,13.422085,681017,7e-05,25,1024
33,13.856907,696667,7e-05,25,1024
34,14.293161,713067,7e-05,25,1024
35,14.681093,730865,7e-05,25,1024
36,15.067652,749047,7e-05,25,1024
37,15.487992,766153,7e-05,25,1024
38,15.861478,776017,7e-05,25,1024
39,16.206868,785236,7e-05,25,1024
40,16.523369,791722,7e-05,25,1024
41,16.786288,794003,7e-05,25,1024
42,17.041273,796051,7e-05,25,1024
43,17.308039,798099,7e-05,25,1024
44,17.608757,800147,7e-05,25,1024
45,17.933593,802195,7e-05,25,1024
46,18.230892,804243,7e-05,25,1024
47,18.526077,806291,7e-05,25,1024
48,18.799419,808339,7e-05,25,1024
49,19.077181,810387,7e-05,25,1024
50,19.339081,812435,7e-05,25,1024
51,19.673313,814483,7e-05,25,1024
52,19.983158,816531,7e-05,25,1024
53,20.304125,818579,7e-05,25,1024
54,20.575094,820627,7e-05,25,1024
55,20.833416,822675,7e-05,25,1024
56,21.090147,824723,7e-05,25,1024
57,21.386649,826771,7e-05,25,1024
58,21.692771,828819,7e-05,25,1024
59,22.009529,830867,7e-05,25,1024
60,22.323514,832915,7e-05,25,1024
61,22.624132,834963,7e-05,25,1024
62,22.910254,837011,7e-05,25,1024
63,23.192645,839059,7e-05,25,1024
64,23.481269,841107,7e-05,25,1024
65,23.779406,843155,7e-05,25,1024
66,24.095608,845203,7e-05,25,1024
67,24.41423,847251,7e-05,25,1024
68,24.706907,849299,7e-05,25,1024
69,24.976091,851347,7e-05,25,1024
70,25.269455,853395,7e-05,25,1024
71,25.577322,855443,7e-05,25,1024
72,25.881505,857491,7e-05,25,1024
73,26.172433,859539,7e-05,25,1024
74,26.467946,861587,7e-05,25,1024
75,26.761798,863635,7e-05,25,1024
76,27.072864,865683,7e-05,25,1024
77,27.367154,867731,7e-05,25,1024
78,27.658634,869779,7e-05,25,1024
79,27.965697,871827,7e-05,25,1024
80,28.258781,873875,7e-05,25,1024
81,28.577194,875923,7e-05,25,1024
82,28.856644,877971,7e-05,25,1024
83,29.169048,880019,7e-05,25,1024
84,29.474583,882067,7e-05,25,1024
85,29.757984,884115,7e-05,25,1024
86,30.062805,886163,7e-05,25,1024
87,30.352624,888211,7e-05,25,1024
88,30.641195,890259,7e-05,25,1024
89,30.936377,892307,7e-05,25,1024
90,31.229065,894355,7e-05,25,1024
91,31.521355,896403,7e-05,25,1024
92,31.814188,898451,7e-05,25,1024
93,32.12703,900499,7e-05,25,1024
94,32.422721,902547,7e-05,25,1024
95,32.731461,904595,7e-05,25,1024
96,33.02381,906643,7e-05,25,1024
97,33.303479,908691,7e-05,25,1024
98,33.608309,910739,7e-05,25,1024
99,33.910891,912787,7e-05,25,1024
100,34.21834,914835,7e-05,25,1024
101,34.533955,916883,7e-05,25,1024
102,34.846742,918931,7e-05,25,1024
103,35.148953,920979,7e-05,25,1024
104,35.444285,923027,7e-05,25,1024
105,35.747352,925075,7e-05,25,1024
106,36.036049,927123,7e-05,25,1024
107,36.336154,929171,7e-05,25,1024
108,36.654945,931219,7e-05,25,1024
109,36.97726,933267,7e-05,25,1024
110,37.267935,935315,7e-05,25,1024
111,37.568666,937363,7e-05,25,1024
112,37.870198,939411,7e-05,25,1024
113,38.197403,941459,7e-05,25,1024
114,38.524879,943507,7e-05,25,1024
115,38.838148,945555,7e-05,25,1024
116,39.145317,947603,7e-05,25,1024
117,39.450911,949651,7e-05,25,1024
118,39.745287,951699,7e-05,25,1024
119,40.030687,953747,7e-05,25,1024
120,40.353908,955795,7e-05,25,1024
121,40.675757,957843,7e-05,25,1024
122,40.970886,959891,7e-05,25,1024
123,41.26477,961939,7e-05,25,1024
124,41.544609,963987,7e-05,25,1024
125,41.829086,966035,7e-05,25,1024
126,42.141379,968083,7e-05,25,1024
127,42.470912,970131,7e-05,25,1024
128,42.809872,972179,7e-05,25,1024
129,43.126526,974227,7e-05,25,1024
130,43.426506,976275,7e-05,25,1024
131,43.720561,978323,7e-05,25,1024
132,44.007984,980371,7e-05,25,1024
133,44.310182,982419,7e-05,25,1024
134,44.612796,984467,7e-05,25,1024
135,44.921414,986515,7e-05,25,1024
136,45.211912,988563,7e-05,25,1024
137,45.501234,990611,7e-05,25,1024
138,45.813104,992659,7e-05,25,1024
139,46.120607,994707,7e-05,25,1024
140,46.430426,996755,7e-05,25,1024
141,46.749186,998803,7e-05,25,1024
142,47.080038,1000851,7e-05,25,1024
