gen,time,evals,best_fit,best_size,pop_size
1,0.524591,26543,0.013784,9,1024
2,1.057875,65083,0.011331,19,1024
3,1.603827,103223,0.00914,8,1024
4,2.179544,142020,0.00425,13,1024
5,2.749807,180918,0.003332,18,1024
6,3.307109,218434,0.003332,18,1024
7,3.852252,252789,0.003332,18,1024
8,4.311276,276946,0.003332,18,1024
9,4.772288,299101,0.003332,18,1024
10,5.23032,320122,0.003332,18,1024
11,5.660489,339959,0.003332,18,1024
12,6.124063,362461,0.002829,21,1024
13,6.60167,392188,0.001244,23,1024
14,7.06373,422018,0.001195,23,1024
15,7.42729,436028,0.001152,23,1024
16,7.807839,450521,0.001152,23,1024
17,8.188763,467755,0.001151,23,1024
18,8.555186,484578,0.001151,23,1024
19,8.913179,499909,0.001151,23,1024
20,9.294432,516377,0.001093,23,1024
21,9.699184,533260,0.001093,23,1024
22,10.111418,551409,0.001091,23,1024
23,10.493377,568295,0.001044,20,1024
24,10.856779,585528,0.001044,20,1024
25,11.213247,602643,0.00099,23,1024
26,11.600826,621096,0.000922,23,1024
27,11.992868,642590,0.00087,23,1024
28,12.396744,667134,0.000742,23,1024
29,12.815216,693338,0.000742,23,1024
30,13.226364,720089,0.000736,23,1024
31,13.656477,746855,0.000648,23,1024
32,14.099084,770748,0.000588,23,1024
33,14.518979,793434,0.000535,23,1024
34,14.965634,813930,0.000493,20,1024
35,15.402639,834439,0.000493,20,1024
36,15.849345,855140,0.000365,23,1024
37,16.301806,877075,0.000346,23,1024
38,16.722439,897199,0.000321,23,1024
39,17.138261,917547,0.000321,23,1024
40,17.583781,938464,0.000321,23,1024
41,18.012526,958431,0.000307,23,1024
42,18.445352,979470,0.000307,23,1024
43,18.886595,1000308,0.000307,23,1024
