gen,time,evals,best_fit,best_size,pop_size
1,0.527445,26723,0.008986,20,1024
2,1.020405,62361,0.008496,20,1024
3,1.526061,98782,0.008496,20,1024
4,2.003261,131266,0.005369,8,1024
5,2.466366,162738,0.003419,15,1024
6,2.93368,188902,0.003342,12,1024
7,3.275524,200861,0.002443,15,1024
8,3.647898,221983,0.002352,17,1024
9,3.981433,237490,0.002289,17,1024
10,4.306203,238973,0.002289,17,1024
11,4.60531,240431,0.001981,17,1024
12,4.911274,243073,0.001981,17,1024
13,5.243845,251073,0.001981,17,1024
14,5.600671,261147,0.001981,17,1024
15,5.917598,266495,0.001981,17,1024
16,6.218865,271197,0.001981,17,1024
17,6.498084,273707,0.001981,17,1024
18,6.77077,274791,0.001981,17,1024
19,7.039025,275864,0.001981,17,1024
20,7.317457,276940,0.001981,17,1024
21,7.563487,278005,0.001981,17,1024
22,7.823206,279075,0.001981,17,1024
23,8.104249,280145,0.001981,17,1024
24,8.373615,281215,0.001981,17,1024
25,8.678136,282284,0.001981,17,1024
26,8.956963,283363,0.001981,17,1024
27,9.259775,284437,0.001981,17,1024
28,9.538185,285504,0.001981,17,1024
29,9.78798,286570,0.001981,17,1024
30,10.044612,287647,0.001981,17,1024
31,10.330065,288726,0.001981,17,1024
32,10.622877,289798,0.001981,17,1024
33,10.945153,290860,0.001981,17,1024
34,11.244266,291936,0.001981,17,1024
35,11.505761,293013,0.001981,17,1024
36,11.759089,294086,0.001981,17,1024
37,12.012997,295161,0.001981,17,1024
38,12.276611,296233,0.001981,17,1024
39,12.54285,297305,0.001981,17,1024
40,12.801208,298386,0.001981,17,1024
41,13.089144,299455,0.001981,17,1024
42,13.37385,300534,0.001981,17,1024
43,13.712439,301599,0.001981,17,1024
44,14.028835,302674,0.001981,17,1024
45,14.320334,303757,0.001981,17,1024
46,14.617607,304839,0.001981,17,1024
47,14.942246,305917,0.001981,17,1024
48,15.259757,306993,0.001981,17,1024
49,15.587456,308079,0.001981,17,1024
50,15.874047,309149,0.001981,17,1024
51,16.14518,310229,0.001981,17,1024
52,16.454394,311321,0.001981,17,1024
53,16.778135,312391,0.001981,17,1024
54,17.077731,313469,0.001981,17,1024
55,17.395974,314553,0.001981,17,1024
56,17.727261,315638,0.001981,17,1024
57,18.049019,316710,0.001981,17,1024
58,18.363501,317783,0.001981,17,1024
59,18.67623,318868,0.001981,17,1024
60,18.975521,319995,0.001981,17,1024
61,19.285082,321276,0.001981,17,1024
62,19.633982,322445,0.001981,17,1024
63,19.977293,324096,0.001981,17,1024
64,20.314427,325779,0.001981,17,1024
