gen,time,evals,best_fit,best_size,pop_size
1,0.626362,26982,0.002478,22,1024
2,1.206456,63551,0.002478,22,1024
3,1.836874,103053,0.002478,22,1024
4,2.484035,143458,0.002478,22,1024
5,3.079168,179961,0.00157,25,1024
6,3.660923,215892,0.001523,22,1024
7,4.23013,249853,0.001523,23,1024
8,4.855788,287944,0.00064,25,1024
9,5.517977,326298,0.000249,24,1024
10,6.158596,361346,0.000249,24,1024
11,6.702023,386040,0.000238,24,1024
12,7.235788,409987,0.000214,24,1024
13,7.771963,433517,0.000213,24,1024
14,8.29474,454755,0.000212,24,1024
15,8.811256,474411,0.000212,24,1024
16,9.32693,493208,0.000212,24,1024
17,9.832871,511831,0.000212,24,1024
18,10.26594,529655,0.000212,24,1024
19,10.705029,548094,0.000212,24,1024
20,11.141325,566314,0.000212,24,1024
21,11.556193,584173,0.000212,24,1024
22,11.982288,603438,0.00021,24,1024
23,12.483299,623322,0.00021,24,1024
24,13.0029,644622,0.00021,24,1024
25,13.510587,664457,0.00021,24,1024
26,13.98431,680727,0.00021,24,1024
27,14.437677,693510,0.00021,24,1024
28,14.872459,704432,0.00021,24,1024
29,15.280582,712604,0.00021,24,1024
30,15.707002,720711,0.00021,24,1024
31,16.124295,728811,0.00021,24,1024
32,16.549457,736832,0.00021,24,1024
33,16.928242,744578,0.00021,24,1024
34,17.332571,752177,0.00021,24,1024
35,17.709751,759630,0.00021,24,1024
36,18.082846,766598,0.00021,24,1024
37,18.457685,772983,0.00021,24,1024
38,18.834827,778981,0.00021,24,1024
39,19.213747,785102,0.00021,24,1024
40,19.576216,790333,0.00021,24,1024
41,19.909076,793022,0.00021,24,1024
42,20.228404,795176,0.00021,24,1024
43,20.571698,797389,0.00021,24,1024
44,20.922879,799651,0.00021,24,1024
45,21.263136,801968,0.00021,24,1024
46,21.618621,804251,0.00021,24,1024
47,21.97646,806505,0.00021,24,1024
48,22.302932,808795,0.00021,24,1024
49,22.623154,811062,0.00021,24,1024
50,22.941432,813373,0.00021,24,1024
51,23.267558,815643,0.00021,24,1024
52,23.614029,817944,0.00021,24,1024
53,23.962085,820234,0.00021,24,1024
54,24.313657,822543,0.00021,24,1024
55,24.675284,824868,0.00021,24,1024
56,25.035779,827155,0.00021,24,1024
57,25.391344,829449,0.00021,24,1024
58,25.739471,831708,0.00021,24,1024
59,26.088348,833942,0.00021,24,1024
60,26.447229,836183,0.00021,24,1024
61,26.816365,838439,0.00021,24,1024
62,27.175828,840687,0.00021,24,1024
63,27.504588,842912,0.00021,24,1024
64,27.833552,845129,0.00021,24,1024
65,28.16191,847338,0.00021,24,1024
66,28.491366,849555,0.00021,24,1024
67,28.82051,851765,0.00021,24,1024
68,29.14996,853957,0.00021,24,1024
69,29.479951,856138,0.00021,24,1024
70,29.820763,858288,0.00021,24,1024
71,30.173334,860429,0.00021,24,1024
72,30.504531,862572,0.00021,24,1024
73,30.838637,864692,0.00021,24,1024
74,31.172592,866812,0.00021,24,1024
75,31.544916,868941,0.00021,24,1024
76,31.912253,870915,0.00021,24,1024
77,32.27579,872860,0.00021,24,1024
78,32.624623,874810,0.00021,24,1024
79,32.96298,876758,0.00021,24,1024
80,33.316109,878697,0.00021,24,1024
81,33.643388,879780,0.00021,24,1024
82,33.971878,880853,0.00021,24,1024
83,34.309748,881917,0.00021,24,1024
84,34.65019,882992,0.00021,24,1024
85,34.990885,884055,0.00021,24,1024
86,35.31863,885110,0.00021,24,1024
87,35.641283,886174,0.00021,24,1024
88,35.962035,887232,0.00021,24,1024
89,36.294596,888286,0.00021,24,1024
90,36.635286,889346,0.00021,24,1024
91,36.974987,890403,0.00021,24,1024
92,37.31367,891454,0.00021,24,1024
93,37.665329,892504,0.00021,24,1024
94,37.992765,893559,0.00021,24,1024
