gen,time,evals,best_fit,best_size,pop_size
1,0.855908,55486,0.009246,14,1024
2,1.782637,129998,0.003014,18,1024
3,2.805129,209700,0.0021,14,1024
4,3.873671,296462,0.001185,14,1024
5,5.018136,386429,0.00118,14,1024
6,5.977234,450136,0.00118,14,1024
7,6.953143,512013,0.00118,14,1024
8,7.926255,573911,0.00118,14,1024
9,8.922095,635943,0.00118,14,1024
10,9.907607,697502,0.00118,14,1024
11,10.87212,759072,0.00118,14,1024
12,11.872136,820600,0.00118,14,1024
13,12.852493,882267,0.00118,14,1024
14,13.830667,943938,0.00118,14,1024
15,14.821824,1005614,0.00118,14,1024
