gen,time,evals,best_fit,best_size,pop_size
1,0.876906,57978,0.003483,8,1024
2,1.829377,134616,0.003483,8,1024
3,2.814797,214788,0.001398,14,1024
4,3.812868,294668,0.001302,9,1024
5,4.858066,377454,0.001297,9,1024
6,5.97734,463605,0.001296,9,1024
7,6.97703,541487,0.001296,9,1024
8,7.892103,611099,0.001296,9,1024
9,8.816356,680505,0.001296,9,1024
10,9.795588,752292,0.001296,9,1024
11,10.743896,823166,0.001296,9,1024
12,11.668543,893495,0.001296,9,1024
13,12.606686,962375,0.001296,9,1024
14,13.575718,1028145,0.001296,9,1024
