gen,time,evals,best_fit,best_size,pop_size
1,0.52964,27742,0.000831,16,1024
2,1.052033,63653,0.000583,15,1024
3,1.621414,98734,0.000402,8,1024
4,2.138497,130503,0.000356,17,1024
5,2.599114,151701,0.000115,10,1024
6,3.047365,174466,0.000115,10,1024
7,3.49156,199326,0.000104,10,1024
8,3.978477,229438,8.5e-05,10,1024
9,4.320307,237136,7.9e-05,10,1024
10,4.706794,251935,7.9e-05,10,1024
11,5.091343,269003,7.9e-05,10,1024
12,5.451524,283740,7.9e-05,10,1024
13,5.773025,285575,7.9e-05,10,1024
14,6.111712,291686,7.9e-05,10,1024
15,6.489866,305170,7.9e-05,10,1024
16,6.780516,306793,7.9e-05,10,1024
17,7.078119,308381,7.9e-05,10,1024
18,7.360465,309987,7.9e-05,10,1024
19,7.664183,311605,7.9e-05,10,1024
20,7.996421,313197,7.9e-05,10,1024
21,8.335348,314812,7.9e-05,10,1024
22,8.641218,316391,7.9e-05,10,1024
23,8.934155,317996,7.9e-05,10,1024
24,9.225024,319578,7.9e-05,10,1024
25,9.533565,321192,7.9e-05,10,1024
26,9.836778,322783,7.9e-05,10,1024
27,10.15832,324409,7.9e-05,10,1024
28,10.463995,326021,7.9e-05,10,1024
29,10.801318,327613,7.9e-05,10,1024
30,11.115571,329182,7.9e-05,10,1024
31,11.431676,330783,7.9e-05,10,1024
32,11.750414,332366,7.9e-05,10,1024
33,12.067655,333956,7.9e-05,10,1024
34,12.369253,335541,7.9e-05,10,1024
35,12.677637,337147,7.9e-05,10,1024
36,12.977478,338732,7.9e-05,10,1024
37,13.272563,340342,7.9e-05,10,1024
38,13.56158,341957,7.9e-05,10,1024
39,13.863322,343572,7.9e-05,10,1024
40,14.176463,345178,7.9e-05,10,1024
41,14.485615,346787,7.9e-05,10,1024
42,14.806848,348401,7.9e-05,10,1024
43,15.135612,349977,7.9e-05,10,1024
44,15.413137,351599,7.9e-05,10,1024
45,15.690194,353201,7.9e-05,10,1024
46,15.970836,355010,7.9e-05,10,1024
47,16.291415,360322,7.9e-05,10,1024
48,16.662762,375662,7.9e-05,10,1024
49,16.931134,377248,7.9e-05,10,1024
50,17.241694,378844,7.9e-05,10,1024
51,17.564626,380448,7.9e-05,10,1024
52,17.857909,382064,7.9e-05,10,1024
53,18.170128,383643,7.8e-05,10,1024
54,18.490575,385448,7.8e-05,10,1024
55,18.796763,390007,7.8e-05,10,1024
56,19.172443,406049,7.8e-05,10,1024
57,19.48173,407683,7.8e-05,10,1024
