gen,time,evals,best_fit,best_size,pop_size
1,0.573398,23495,0.389399,11,1024
2,1.103502,58185,0.327242,16,1024
3,1.718856,89693,0.327242,16,1024
4,2.291017,125714,0.302264,23,1024
5,2.940712,163725,0.27162,14,1024
6,3.477021,195490,0.27162,14,1024
7,4.025844,223348,0.227984,22,1024
8,4.510358,249773,0.227984,22,1024
9,5.055678,276949,0.227984,22,1024
10,5.563502,307495,0.227984,22,1024
11,6.121601,336445,0.226649,22,1024
12,6.553596,359270,0.226649,22,1024
13,7.04267,377911,0.225038,22,1024
14,7.455169,395811,0.218639,23,1024
15,7.92768,416551,0.182566,19,1024
16,8.36886,432961,0.182566,19,1024
17,8.798602,444910,0.182566,19,1024
18,9.259261,462286,0.178003,19,1024
19,9.828139,487165,0.177148,19,1024
20,10.337248,518198,0.176887,19,1024
21,10.915555,545343,0.171132,22,1024
22,11.446656,576904,0.155541,22,1024
23,12.066708,609998,0.151136,23,1024
24,12.536223,632370,0.138032,24,1024
25,13.016307,646264,0.130027,24,1024
26,13.50913,662368,0.124464,24,1024
27,13.98382,679735,0.116196,22,1024
28,14.42267,696594,0.113676,22,1024
29,14.931761,714011,0.113676,22,1024
30,15.360501,727866,0.113676,22,1024
31,15.85492,742836,0.113549,22,1024
32,16.30175,759803,0.113548,22,1024
33,16.822788,778180,0.113547,22,1024
34,17.285923,795964,0.113544,22,1024
35,17.812019,814790,0.113542,22,1024
36,18.277526,831616,0.113542,22,1024
37,18.77779,848481,0.113542,22,1024
38,19.231779,865333,0.113542,22,1024
39,19.735435,882204,0.113542,22,1024
40,20.214782,898996,0.113542,22,1024
41,20.697506,915748,0.113542,22,1024
42,21.138955,931430,0.113542,22,1024
43,21.624939,947140,0.113542,22,1024
44,22.078211,961760,0.113542,22,1024
45,22.559669,976340,0.113542,22,1024
46,23.002833,990865,0.113542,22,1024
47,23.490898,1004369,0.113542,22,1024
