gen,time,evals,best_fit,best_size,pop_size
1,0.556836,24196,0.397193,12,1024
2,1.053058,59832,0.333454,16,1024
3,1.594045,97598,0.292591,15,1024
4,2.072375,136389,0.292591,15,1024
5,2.655732,174269,0.247611,16,1024
6,3.133065,207441,0.225718,16,1024
7,3.536648,224602,0.225718,16,1024
8,3.919603,244239,0.222216,16,1024
9,4.240333,254770,0.206058,21,1024
10,4.619506,265362,0.199937,21,1024
11,4.999925,276430,0.199937,21,1024
12,5.320874,284925,0.194751,23,1024
13,5.614543,286278,0.194751,23,1024
14,5.890481,287342,0.194751,23,1024
15,6.223183,288404,0.194751,23,1024
16,6.539384,289463,0.194751,23,1024
17,6.89645,290516,0.18906,21,1024
18,7.211011,291573,0.18906,21,1024
19,7.531561,292633,0.18906,21,1024
20,7.794201,293696,0.18906,21,1024
21,8.077512,294750,0.18906,21,1024
22,8.368869,295808,0.18906,21,1024
23,8.686909,296867,0.18906,21,1024
24,8.952629,297929,0.18906,21,1024
25,9.250937,299046,0.18906,21,1024
26,9.539305,300174,0.18906,21,1024
27,9.853791,301335,0.18906,21,1024
28,10.147812,302498,0.18906,21,1024
29,10.4702,303650,0.18906,21,1024
30,10.746449,304811,0.18906,21,1024
31,11.075984,306003,0.188889,21,1024
32,11.352602,307174,0.188889,22,1024
33,11.672473,308334,0.188889,22,1024
34,11.921451,309502,0.188889,22,1024
35,12.23431,310688,0.188889,22,1024
36,12.497141,311888,0.188889,22,1024
37,12.79357,313101,0.188889,20,1024
38,13.078951,314286,0.188889,20,1024
39,13.40455,315492,0.188889,20,1024
40,13.67777,316695,0.188889,20,1024
41,13.982998,317894,0.188889,20,1024
42,14.274312,319079,0.188857,22,1024
43,14.597694,320301,0.188857,22,1024
44,14.907296,321555,0.188857,22,1024
45,15.229266,322849,0.188857,22,1024
46,15.480619,324120,0.188857,22,1024
47,15.811516,325523,0.188857,22,1024
48,16.121762,327481,0.188744,22,1024
49,16.418032,330750,0.188744,22,1024
50,16.714632,337047,0.188744,22,1024
51,17.085464,348741,0.188744,22,1024
52,17.451199,366825,0.188743,22,1024
53,17.875238,385760,0.188743,22,1024
54,18.223984,397777,0.187229,22,1024
55,18.551414,402282,0.187229,22,1024
56,18.881432,409006,0.187229,22,1024
57,19.249955,415214,0.187229,22,1024
58,19.596549,420697,0.187229,22,1024
59,19.932828,425898,0.187229,22,1024
60,20.251435,435261,0.187229,22,1024
61,20.585195,442009,0.187229,22,1024
62,20.823358,443060,0.187229,22,1024
63,21.104503,444084,0.187229,22,1024
64,21.365563,445108,0.187229,22,1024
65,21.697289,446132,0.187229,22,1024
66,21.977858,447156,0.187229,22,1024
67,22.281524,448180,0.187229,22,1024
68,22.555294,449204,0.187229,22,1024
69,22.856286,450228,0.187229,22,1024
70,23.12874,451252,0.187229,22,1024
71,23.450607,452276,0.187229,22,1024
72,23.776464,453300,0.187229,22,1024
73,24.091571,454324,0.187229,22,1024
74,24.39783,455348,0.187229,22,1024
75,24.697549,456372,0.187229,22,1024
76,24.965565,457396,0.187229,22,1024
77,25.233388,458420,0.187229,22,1024
78,25.505277,459444,0.187229,22,1024
79,25.81105,460468,0.187229,22,1024
80,26.087279,461492,0.187229,22,1024
81,26.397302,462516,0.187229,22,1024
82,26.683537,463540,0.187229,22,1024
83,26.989158,464564,0.187229,22,1024
84,27.267761,465588,0.187229,22,1024
85,27.611021,466612,0.187229,22,1024
86,27.908993,467636,0.187229,22,1024
87,28.214647,468660,0.187229,22,1024
88,28.497563,469684,0.187229,22,1024
89,28.824605,470708,0.187229,22,1024
90,29.152854,471732,0.187229,22,1024
91,29.455067,472756,0.187229,22,1024
92,29.728463,473780,0.187229,22,1024
93,30.02998,474804,0.187229,22,1024
94,30.306758,475828,0.187229,22,1024
95,30.606607,476852,0.187229,22,1024
96,30.882604,477876,0.187229,22,1024
97,31.197215,478900,0.187229,22,1024
98,31.503357,479924,0.187229,22,1024
99,31.838322,480948,0.187229,22,1024
100,32.13699,481972,0.187229,22,1024
101,32.460453,482996,0.187229,22,1024
102,32.734477,484020,0.187229,22,1024
103,33.058169,485044,0.187229,22,1024
104,33.371373,486068,0.187229,22,1024
105,33.722475,487092,0.187229,22,1024
106,34.01796,488116,0.187229,22,1024
107,34.333065,489140,0.187229,22,1024
108,34.620529,490164,0.187229,22,1024
109,34.922795,491188,0.187229,22,1024
110,35.224566,492212,0.187229,22,1024
