gen,time,evals,best_fit,best_size,pop_size
1,0.518443,25682,0.023164,13,1024
2,1.027645,61792,0.006631,22,1024
3,1.60131,101315,0.005051,22,1024
4,2.112977,138636,0.005,21,1024
5,2.641157,174481,0.002961,22,1024
6,3.190483,214030,0.002961,22,1024
7,3.708967,248244,0.002251,20,1024
8,4.147625,270479,0.002002,21,1024
9,4.513461,281776,0.001877,20,1024
10,4.856315,288513,0.001839,20,1024
11,5.217637,301451,0.001783,21,1024
12,5.638202,324006,0.001773,21,1024
13,6.046694,340806,0.001397,21,1024
14,6.458312,355108,0.001385,21,1024
15,6.85395,367934,0.001384,21,1024
16,7.201119,379155,0.001384,21,1024
17,7.558444,391824,0.001384,21,1024
18,7.888481,400568,0.001384,21,1024
19,8.231867,407639,0.001384,21,1024
20,8.547974,413134,0.001384,21,1024
21,8.843805,418276,0.001384,21,1024
22,9.135477,423811,0.001384,21,1024
23,9.454082,428900,0.001384,21,1024
24,9.797654,433811,0.001384,21,1024
25,10.135811,437477,0.001384,21,1024
26,10.446542,440899,0.001384,21,1024
27,10.729097,445040,0.001384,21,1024
28,11.001042,447229,0.001384,21,1024
29,11.27201,449277,0.001384,21,1024
30,11.571308,451325,0.001384,21,1024
31,11.87766,453373,0.001384,21,1024
32,12.158245,455421,0.001384,21,1024
33,12.419251,457469,0.001384,21,1024
34,12.716738,459517,0.001384,21,1024
35,13.020337,461565,0.001384,21,1024
36,13.312002,463613,0.001384,21,1024
37,13.638052,465661,0.001384,21,1024
38,13.95741,467709,0.001384,21,1024
39,14.226613,469757,0.001384,21,1024
40,14.505314,471805,0.001384,21,1024
41,14.780167,473853,0.001384,21,1024
42,15.075824,475901,0.001384,21,1024
43,15.390059,477949,0.001384,21,1024
44,15.702415,479997,0.001384,21,1024
45,16.004715,482045,0.001384,21,1024
46,16.321443,484093,0.001384,21,1024
47,16.639102,486141,0.001384,21,1024
48,16.944856,488189,0.001384,21,1024
49,17.256053,490237,0.001384,21,1024
50,17.573103,492285,0.001384,21,1024
51,17.861157,494333,0.001384,21,1024
52,18.150198,496381,0.001384,21,1024
53,18.431924,498429,0.001384,21,1024
54,18.746355,500477,0.001384,21,1024
55,19.079928,502525,0.001384,21,1024
56,19.38611,504573,0.001384,21,1024
57,19.679159,506621,0.001384,21,1024
58,19.989921,508669,0.001384,21,1024
59,20.289888,510717,0.001384,21,1024
60,20.595372,512765,0.001384,21,1024
61,20.913444,514813,0.001384,21,1024
62,21.216558,516861,0.001384,21,1024
63,21.500116,518909,0.001384,21,1024
64,21.779579,520957,0.001384,21,1024
65,22.07978,523005,0.001384,21,1024
66,22.407959,525053,0.001384,21,1024
67,22.728333,527115,0.001384,21,1024
68,23.02681,529243,0.001384,21,1024
69,23.332722,531735,0.001384,21,1024
70,23.657847,535919,0.001384,21,1024
71,23.974149,539568,0.001384,21,1024
72,24.292929,541627,0.001384,21,1024
73,24.606087,543675,0.001384,21,1024
74,24.887364,545723,0.001384,21,1024
75,25.195371,547771,0.001384,21,1024
76,25.496673,549819,0.001384,21,1024
77,25.810002,551867,0.001384,21,1024
78,26.135886,553915,0.001384,21,1024
79,26.425451,555963,0.001384,21,1024
80,26.719694,558011,0.001384,21,1024
81,27.026385,560059,0.001384,21,1024
82,27.332287,562107,0.001384,21,1024
83,27.645346,564155,0.001384,21,1024
84,27.960268,566203,0.001384,21,1024
85,28.271602,568251,0.001384,21,1024
86,28.577075,570299,0.001384,21,1024
87,28.875223,572362,0.001384,21,1024
88,29.180102,574545,0.001384,21,1024
89,29.501858,577297,0.001384,21,1024
90,29.833473,581917,0.001384,21,1024
91,30.134709,585726,0.001384,21,1024
92,30.447373,587781,0.001384,21,1024
93,30.754596,589829,0.001384,21,1024
94,31.048876,591877,0.001384,21,1024
95,31.376491,593925,0.001384,21,1024
96,31.690462,595973,0.001384,21,1024
97,31.997018,598021,0.001384,21,1024
98,32.308092,600069,0.001384,21,1024
99,32.60693,602117,0.001384,21,1024
100,32.912462,604165,0.001384,21,1024
101,33.233448,606213,0.001384,21,1024
102,33.542563,608261,0.001384,21,1024
103,33.844371,610309,0.001384,21,1024
104,34.144449,612357,0.001384,21,1024
105,34.454508,614405,0.001384,21,1024
106,34.787478,616453,0.001384,21,1024
107,35.11023,618501,0.001384,21,1024
108,35.400599,620549,0.001384,21,1024
109,35.687591,622597,0.001384,21,1024
110,35.980761,624645,0.001384,21,1024
111,36.288121,626693,0.001384,21,1024
112,36.600612,628741,0.001384,21,1024
113,36.914641,630789,0.001384,21,1024
114,37.205128,632837,0.001384,21,1024
115,37.531084,634885,0.001384,21,1024
116,37.842395,636933,0.001384,21,1024
117,38.166222,638981,0.001384,21,1024
118,38.495875,641029,0.001384,21,1024
119,38.789255,643077,0.001384,21,1024
120,39.084486,645125,0.001384,21,1024
121,39.378526,647173,0.001384,21,1024
122,39.68338,649221,0.001384,21,1024
123,39.988117,651269,0.001384,21,1024
124,40.302629,653317,0.001384,21,1024
125,40.62531,655365,0.001384,21,1024
126,40.951532,657413,0.001384,21,1024
127,41.26319,659461,0.001384,21,1024
128,41.558646,661509,0.001384,21,1024
129,41.875797,663557,0.001384,21,1024
130,42.189761,665605,0.001384,21,1024
131,42.479055,667653,0.001384,21,1024
132,42.769268,669701,0.001384,21,1024
133,43.067537,671749,0.001384,21,1024
134,43.369669,673797,0.001384,21,1024
135,43.683878,675845,0.001384,21,1024
136,44.016098,677893,0.001384,21,1024
137,44.344765,679941,0.001384,21,1024
138,44.662527,681989,0.001384,21,1024
139,44.941551,684037,0.001384,21,1024
140,45.245001,686085,0.001384,21,1024
141,45.56227,688133,0.001384,21,1024
142,45.852951,690181,0.001384,21,1024
143,46.143682,692229,0.001384,21,1024
144,46.428488,694277,0.001384,21,1024
145,46.736222,696325,0.001384,21,1024
146,47.062303,698373,0.001384,21,1024
147,47.378673,700421,0.001384,21,1024
148,47.69923,702469,0.001384,21,1024
149,48.013899,704517,0.001384,21,1024
150,48.317528,706565,0.001384,21,1024
151,48.607324,708613,0.001384,21,1024
152,48.916618,710661,0.001384,21,1024
153,49.229311,712709,0.001384,21,1024
154,49.510254,714757,0.001384,21,1024
155,49.805874,716805,0.001384,21,1024
156,50.119552,718853,0.001384,21,1024
157,50.430983,720901,0.001384,21,1024
158,50.738513,722949,0.001384,21,1024
159,51.041868,724997,0.001384,21,1024
160,51.352194,727045,0.001384,21,1024
161,51.646867,729093,0.001384,21,1024
162,51.932889,731141,0.001384,21,1024
163,52.244461,733189,0.001384,21,1024
164,52.554164,735237,0.001384,21,1024
165,52.857681,737285,0.001384,21,1024
166,53.162313,739333,0.001384,21,1024
167,53.463071,741381,0.001384,21,1024
168,53.775973,743429,0.001384,21,1024
169,54.092214,745477,0.001384,21,1024
170,54.393646,747525,0.001384,21,1024
171,54.701982,749573,0.001384,21,1024
172,55.018992,751621,0.001384,21,1024
173,55.327959,753669,0.001384,21,1024
174,55.62397,755717,0.001384,21,1024
175,55.933087,757765,0.001384,21,1024
176,56.250752,759813,0.001384,21,1024
177,56.543169,761861,0.001384,21,1024
178,56.838729,763909,0.001384,21,1024
179,57.14254,765957,0.001384,21,1024
180,57.450045,768005,0.001384,21,1024
181,57.749584,770053,0.001384,21,1024
182,58.054778,772101,0.001384,21,1024
183,58.364276,774149,0.001384,21,1024
184,58.665131,776197,0.001384,21,1024
185,58.944758,778245,0.001384,21,1024
186,59.266859,780293,0.001384,21,1024
187,59.598395,782341,0.001384,21,1024
188,59.900852,784389,0.001384,21,1024
189,60.198405,786437,0.001384,21,1024
190,60.489289,788485,0.001384,21,1024
191,60.792706,790533,0.001384,21,1024
192,61.09723,792581,0.001384,21,1024
193,61.400399,794629,0.001384,21,1024
194,61.705759,796677,0.001384,21,1024
195,62.012861,798725,0.001384,21,1024
196,62.32768,800773,0.001384,21,1024
197,62.638183,802821,0.001384,21,1024
198,62.962263,804869,0.001384,21,1024
199,63.27027,806917,0.001384,21,1024
200,63.571036,808965,0.001384,21,1024
201,63.862886,811013,0.001384,21,1024
202,64.156922,813061,0.001384,21,1024
203,64.456006,815109,0.001384,21,1024
204,64.755434,817157,0.001384,21,1024
205,65.061764,819205,0.001384,21,1024
206,65.371772,821253,0.001384,21,1024
207,65.689184,823301,0.001384,21,1024
208,65.978709,825349,0.001384,21,1024
209,66.278603,827397,0.001384,21,1024
210,66.590138,829445,0.001384,21,1024
211,66.886684,831493,0.001384,21,1024
212,67.172628,833541,0.001384,21,1024
213,67.464033,835589,0.001384,21,1024
214,67.759171,837637,0.001384,21,1024
215,68.047926,839685,0.001384,21,1024
216,68.353377,841733,0.001384,21,1024
217,68.670625,843781,0.001384,21,1024
218,68.991407,845829,0.001384,21,1024
219,69.303153,847877,0.001384,21,1024
220,69.600357,849925,0.001384,21,1024
221,69.899377,851973,0.001384,21,1024
222,70.198476,854021,0.001384,21,1024
223,70.494685,856069,0.001384,21,1024
224,70.784213,858117,0.001384,21,1024
225,71.077532,860165,0.001384,21,1024
226,71.367422,862213,0.001384,21,1024
227,71.678373,864261,0.001384,21,1024
228,72.001775,866309,0.001384,21,1024
229,72.306495,868357,0.001384,21,1024
230,72.619897,870405,0.001384,21,1024
231,72.912268,872453,0.001384,21,1024
232,73.209811,874501,0.001384,21,1024
233,73.516751,876549,0.001384,21,1024
234,73.817189,878597,0.001384,21,1024
235,74.110649,880645,0.001384,21,1024
236,74.398003,882693,0.001384,21,1024
237,74.688343,884741,0.001384,21,1024
238,74.993999,886789,0.001384,21,1024
239,75.325314,888837,0.001384,21,1024
240,75.634721,890885,0.001384,21,1024
241,75.94528,892933,0.001384,21,1024
242,76.247025,894981,0.001384,21,1024
243,76.530206,897029,0.001384,21,1024
244,76.826319,899077,0.001384,21,1024
245,77.136574,901125,0.001384,21,1024
246,77.442016,903173,0.001384,21,1024
247,77.724416,905221,0.001384,21,1024
248,78.020381,907269,0.001384,21,1024
249,78.328129,909317,0.001384,21,1024
250,78.648726,911365,0.001384,21,1024
251,78.966022,913413,0.001384,21,1024
252,79.258423,915461,0.001384,21,1024
253,79.567233,917509,0.001384,21,1024
254,79.866332,919557,0.001384,21,1024
255,80.170801,921605,0.001384,21,1024
256,80.473344,923653,0.001384,21,1024
257,80.777783,925701,0.001384,21,1024
258,81.07534,927749,0.001384,21,1024
259,81.37858,929797,0.001384,21,1024
260,81.684188,931845,0.001384,21,1024
261,81.997546,933893,0.001384,21,1024
262,82.316538,935941,0.001384,21,1024
263,82.605205,937989,0.001384,21,1024
264,82.906464,940037,0.001384,21,1024
265,83.207877,942085,0.001384,21,1024
266,83.509962,944133,0.001384,21,1024
267,83.81132,946181,0.001384,21,1024
268,84.126463,948229,0.001384,21,1024
269,84.436281,950277,0.001384,21,1024
270,84.745126,952325,0.001384,21,1024
271,85.038762,954373,0.001384,21,1024
272,85.346173,956421,0.001384,21,1024
273,85.656602,958469,0.001384,21,1024
274,85.949482,960517,0.001384,21,1024
275,86.23616,962565,0.001384,21,1024
276,86.538558,964613,0.001384,21,1024
277,86.844744,966661,0.001384,21,1024
278,87.142626,968709,0.001384,21,1024
279,87.433786,970757,0.001384,21,1024
280,87.757887,972805,0.001384,21,1024
281,88.081792,974853,0.001384,21,1024
282,88.375176,976901,0.001384,21,1024
283,88.667075,978949,0.001384,21,1024
284,88.978675,980997,0.001384,21,1024
285,89.279849,983045,0.001384,21,1024
286,89.570674,985093,0.001384,21,1024
287,89.857659,987141,0.001384,21,1024
288,90.159439,989189,0.001384,21,1024
289,90.465884,991237,0.001384,21,1024
290,90.769157,993285,0.001384,21,1024
291,91.081519,995333,0.001384,21,1024
292,91.397871,997381,0.001384,21,1024
293,91.701666,999429,0.001384,21,1024
294,91.986588,1001477,0.001384,21,1024
