gen,time,evals,best_fit,best_size,pop_size
1,0.931401,60661,0.007075,10,1024
2,1.961657,137013,0.007075,10,1024
3,3.09901,222284,0.005995,9,1024
4,4.223499,305814,0.004867,14,1024
5,5.311501,388071,0.003238,14,1024
6,6.464178,474552,0.003238,14,1024
7,7.601761,552652,0.003183,12,1024
8,8.652641,623565,0.002618,13,1024
9,9.713155,692693,0.002189,13,1024
10,10.747598,760002,0.002189,13,1024
11,11.841018,828107,0.002189,13,1024
12,12.922491,896307,0.002189,13,1024
13,13.985844,968361,0.002189,13,1024
14,15.083954,1044893,0.002188,13,1024
