gen,time,evals,best_fit,best_size,pop_size
1,0.753661,47564,0.007301,8,1024
2,1.545288,107590,0.00585,9,1024
3,2.419536,172309,0.002231,10,1024
4,3.285049,238973,0.002188,12,1024
5,4.117044,304804,0.002031,12,1024
6,4.803781,356439,0.002031,12,1024
7,5.480285,401681,0.002031,12,1024
8,6.17069,445226,0.002031,12,1024
9,6.834054,481530,0.002031,12,1024
10,7.38789,511312,0.002031,12,1024
11,7.856343,522754,0.002031,12,1024
12,8.236095,524661,0.002031,12,1024
13,8.620764,526259,0.002031,12,1024
14,9.021787,527835,0.002031,12,1024
15,9.442009,529408,0.002031,12,1024
16,9.837241,530993,0.002031,12,1024
17,10.283848,532620,0.002031,12,1024
18,10.675445,534206,0.002031,12,1024
19,11.099052,535781,0.002031,12,1024
20,11.521991,537363,0.002031,12,1024
21,11.936201,538938,0.002031,12,1024
22,12.321687,540536,0.002031,12,1024
23,12.758114,542140,0.002031,12,1024
24,13.191792,543788,0.002031,12,1024
25,13.649106,545404,0.002031,12,1024
26,14.104171,547039,0.002031,12,1024
27,14.512619,548635,0.002031,12,1024
28,14.944167,550224,0.002031,12,1024
29,15.366081,551827,0.002031,12,1024
30,15.764006,553426,0.002031,12,1024
31,16.18344,555040,0.002031,12,1024
32,16.596834,556644,0.002031,12,1024
33,17.031819,558243,0.002031,12,1024
34,17.47614,559870,0.002031,12,1024
35,17.926475,561523,0.002031,12,1024
36,18.352277,563127,0.002031,12,1024
37,18.799027,564713,0.002031,12,1024
38,19.225688,566301,0.002031,12,1024
39,19.652933,567911,0.002031,12,1024
40,20.079623,569540,0.002031,12,1024
41,20.492855,571140,0.002031,12,1024
42,20.906364,572752,0.002031,12,1024
43,21.341893,574360,0.002031,12,1024
44,21.773105,575983,0.002031,12,1024
45,22.220956,577627,0.002031,12,1024
46,22.672659,579271,0.002031,12,1024
47,23.100441,580879,0.002031,12,1024
48,23.517289,582535,0.002031,12,1024
49,23.96135,584163,0.002031,12,1024
50,24.381784,585806,0.002031,12,1024
51,24.833526,587457,0.002031,12,1024
52,25.297401,589110,0.002031,12,1024
53,25.777843,590755,0.002031,12,1024
54,26.230459,592419,0.002031,12,1024
55,26.665348,594037,0.002031,12,1024
56,27.076456,595718,0.002031,12,1024
57,27.491328,597364,0.002031,12,1024
58,27.927937,598993,0.002031,12,1024
59,28.360193,600624,0.002031,12,1024
60,28.791123,602267,0.002031,12,1024
61,29.239816,603876,0.002031,12,1024
62,29.697875,605531,0.002031,12,1024
63,30.159481,607206,0.002031,12,1024
64,30.621524,608829,0.002031,12,1024
65,31.053687,610425,0.002031,12,1024
66,31.477769,612040,0.002031,12,1024
67,31.907427,613673,0.002031,12,1024
68,32.318587,615311,0.002031,12,1024
69,32.73803,616979,0.002031,12,1024
70,33.178839,618600,0.002031,12,1024
71,33.636573,620235,0.002031,12,1024
72,34.074307,621895,0.002031,12,1024
73,34.524611,623539,0.002031,12,1024
74,34.946914,625220,0.002031,12,1024
75,35.381712,626851,0.002031,12,1024
76,35.821858,628503,0.002031,12,1024
77,36.270462,630131,0.002031,12,1024
78,36.700036,631761,0.002031,12,1024
79,37.164244,633411,0.002031,12,1024
80,37.609115,635050,0.002031,12,1024
81,38.043225,636699,0.002031,12,1024
82,38.482275,638357,0.002031,12,1024
83,38.910521,639992,0.002031,12,1024
84,39.328585,641638,0.002031,12,1024
85,39.776532,643276,0.002031,12,1024
86,40.199595,644888,0.002031,12,1024
87,40.630219,646518,0.002031,12,1024
88,41.076038,648158,0.002031,12,1024
89,41.53328,649772,0.002031,12,1024
90,41.985894,651416,0.002031,12,1024
91,42.447816,653049,0.002031,12,1024
92,42.874183,654679,0.002031,12,1024
93,43.290333,656313,0.002031,12,1024
94,43.712554,657937,0.002031,12,1024
95,44.127555,659601,0.002031,12,1024
96,44.54398,661264,0.002031,12,1024
97,44.985967,662880,0.002031,12,1024
98,45.430067,664530,0.002031,12,1024
99,45.878498,666158,0.002031,12,1024
100,46.328803,667786,0.002031,12,1024
101,46.777203,669408,0.002031,12,1024
102,47.192258,671038,0.002031,12,1024
103,47.6385,672666,0.002031,12,1024
104,48.083629,674290,0.002031,12,1024
105,48.531009,675932,0.002031,12,1024
106,48.958257,677554,0.002031,12,1024
107,49.407771,679189,0.002031,12,1024
108,49.827894,680827,0.002031,12,1024
109,50.269794,682488,0.002031,12,1024
110,50.698573,684105,0.002031,12,1024
111,51.139173,685759,0.002031,12,1024
112,51.564019,687397,0.002031,12,1024
113,52.021304,689041,0.002031,12,1024
114,52.44175,690687,0.002031,12,1024
115,52.879837,692337,0.002031,12,1024
116,53.335596,693973,0.002031,12,1024
117,53.810525,695621,0.002031,12,1024
118,54.260391,697252,0.002031,12,1024
119,54.707517,698876,0.002031,12,1024
120,55.114571,700511,0.002031,12,1024
121,55.544941,702145,0.002031,12,1024
122,55.976304,703773,0.002031,12,1024
123,56.394686,705388,0.002031,12,1024
124,56.818988,707040,0.002031,12,1024
125,57.285403,708658,0.002031,12,1024
126,57.735623,710328,0.002031,12,1024
127,58.182429,711964,0.002031,12,1024
128,58.623694,713613,0.002031,12,1024
