gen,time,evals,best_fit,best_size,pop_size
1,0.854222,60042,0.007075,9,1024
2,1.805533,135262,0.007075,9,1024
3,2.834838,217933,0.007075,10,1024
4,3.713111,268298,0.002463,12,1024
5,4.272774,285899,0.002202,14,1024
6,4.997543,319301,0.00219,14,1024
7,5.890883,396717,0.002188,14,1024
8,6.884629,480976,0.002188,14,1024
9,7.818103,558893,0.002188,14,1024
10,8.743118,635441,0.002188,14,1024
11,9.683236,709381,0.002188,14,1024
12,10.618115,781887,0.002188,14,1024
13,11.537334,848022,0.002188,14,1024
14,12.446691,910913,0.002188,14,1024
15,13.367508,974642,0.002188,14,1024
16,14.29915,1040048,0.002188,14,1024
