gen,time,evals,best_fit,best_size,pop_size
1,0.525466,23397,0.409437,12,1024
2,0.999123,56322,0.381489,11,1024
3,1.545626,93477,0.356009,17,1024
4,2.043727,126996,0.34091,21,1024
5,2.585313,166829,0.273387,16,1024
6,3.100966,202630,0.261499,17,1024
7,3.55851,232498,0.185033,18,1024
8,3.990722,259871,0.123387,19,1024
9,4.448166,288239,0.072562,20,1024
10,4.893561,316282,0.072229,20,1024
11,5.325816,344342,0.059786,20,1024
12,5.783842,371373,0.057106,19,1024
13,6.230107,398872,0.057106,19,1024
14,6.658422,425660,0.057106,19,1024
15,7.058779,447262,0.056273,20,1024
16,7.420765,464716,0.056093,20,1024
17,7.779031,476100,0.056042,20,1024
18,8.102555,484883,0.056021,20,1024
19,8.443285,494721,0.056021,20,1024
20,8.776359,504280,0.056021,20,1024
21,9.117115,512176,0.056021,20,1024
22,9.417955,517339,0.056021,20,1024
23,9.702969,519466,0.056021,20,1024
24,9.961519,521514,0.056021,20,1024
25,10.234268,523562,0.056021,20,1024
26,10.520247,525610,0.056021,20,1024
27,10.806077,527658,0.056021,20,1024
28,11.087167,529706,0.056021,20,1024
29,11.361591,531754,0.056021,20,1024
30,11.63177,533802,0.056021,20,1024
31,11.91123,535850,0.056021,20,1024
32,12.194144,537898,0.056021,20,1024
33,12.499301,539946,0.056021,20,1024
34,12.803045,541994,0.056021,20,1024
35,13.063156,544042,0.056021,20,1024
36,13.315176,546090,0.056021,20,1024
37,13.573044,548138,0.056021,20,1024
38,13.873094,550186,0.056021,20,1024
39,14.140359,552234,0.056021,20,1024
40,14.417748,554282,0.056021,20,1024
41,14.703441,556330,0.056021,20,1024
42,14.983895,558378,0.056021,20,1024
43,15.259539,560426,0.056021,20,1024
44,15.520202,562474,0.056021,20,1024
45,15.82102,564522,0.056021,20,1024
46,16.117538,566570,0.056021,20,1024
47,16.40365,568618,0.056021,20,1024
48,16.697673,570666,0.056021,20,1024
49,16.97595,572714,0.056021,20,1024
50,17.250778,574762,0.056021,20,1024
51,17.520223,576810,0.056021,20,1024
52,17.782763,578858,0.056021,20,1024
53,18.082199,580906,0.056021,20,1024
54,18.345224,582954,0.056021,20,1024
55,18.620724,585002,0.056021,20,1024
56,18.890669,587050,0.056016,20,1024
57,19.189718,589139,0.056016,20,1024
58,19.481331,591429,0.056016,20,1024
59,19.742891,594746,0.056016,20,1024
60,20.038977,600590,0.056016,20,1024
61,20.358754,606791,0.056016,20,1024
62,20.658737,609700,0.056016,20,1024
63,20.950666,611748,0.056016,20,1024
64,21.233435,613796,0.056016,20,1024
65,21.516717,615844,0.056016,20,1024
66,21.781078,617892,0.056016,20,1024
67,22.075446,619940,0.056016,20,1024
68,22.368851,621988,0.056016,20,1024
69,22.661642,624036,0.056016,20,1024
70,22.960426,626084,0.056016,20,1024
71,23.234055,628132,0.056016,20,1024
72,23.508133,630180,0.056016,20,1024
73,23.78991,632228,0.056016,20,1024
74,24.061497,634276,0.056016,20,1024
75,24.36574,636324,0.056016,20,1024
76,24.654874,638372,0.056016,20,1024
77,24.95889,640420,0.056016,20,1024
78,25.234812,642468,0.056016,20,1024
79,25.505438,644516,0.056016,20,1024
80,25.802425,646564,0.056016,20,1024
81,26.095858,648612,0.056016,20,1024
82,26.375135,650660,0.056016,20,1024
83,26.63779,652708,0.056016,20,1024
84,26.914298,654756,0.056016,20,1024
