gen,time,evals,best_fit,best_size,pop_size
1,0.555665,22293,0.469909,11,1024
2,1.102285,53731,0.38909,12,1024
3,1.673241,88959,0.369565,8,1024
4,2.208062,117511,0.307443,14,1024
5,2.708277,150462,0.307179,12,1024
6,3.133258,172581,0.292309,14,1024
7,3.518922,185610,0.289476,14,1024
8,3.900585,195663,0.289003,14,1024
9,4.268392,204881,0.288967,14,1024
10,4.637463,215005,0.288945,14,1024
11,5.003633,225033,0.288939,14,1024
12,5.373969,233592,0.288937,14,1024
13,5.720361,241844,0.288937,14,1024
14,6.059489,250347,0.288937,14,1024
15,6.410605,258812,0.288937,14,1024
16,6.756967,267130,0.288937,14,1024
17,7.084038,275197,0.288937,14,1024
18,7.416519,283057,0.288937,14,1024
19,7.748809,290698,0.288937,14,1024
20,8.102248,298263,0.288937,14,1024
21,8.462241,305638,0.288937,14,1024
22,8.832825,312778,0.288937,14,1024
23,9.19055,319769,0.288937,14,1024
24,9.526073,325758,0.288937,14,1024
25,9.856088,331751,0.288937,14,1024
26,10.183607,337778,0.288937,14,1024
27,10.528302,343693,0.288937,14,1024
28,10.858663,349491,0.288937,14,1024
29,11.188698,355180,0.288937,14,1024
30,11.505381,360818,0.288937,14,1024
31,11.822198,366379,0.288937,14,1024
32,12.136532,371676,0.288937,14,1024
33,12.477538,376615,0.288937,14,1024
34,12.819992,381213,0.288937,14,1024
35,13.168861,385661,0.288937,14,1024
36,13.500333,390195,0.288937,14,1024
37,13.825831,394708,0.288937,14,1024
38,14.146812,399391,0.288937,14,1024
39,14.465523,404372,0.288937,14,1024
40,14.79876,409333,0.288937,14,1024
41,15.130242,414051,0.288937,14,1024
42,15.435309,418536,0.288937,14,1024
43,15.744157,422990,0.288937,14,1024
44,16.054348,427356,0.288937,14,1024
45,16.361214,431671,0.288937,14,1024
46,16.666475,435983,0.288937,14,1024
47,16.996836,440334,0.288937,14,1024
48,17.330722,444708,0.288937,14,1024
49,17.664107,449033,0.288937,14,1024
50,17.986345,453408,0.288937,14,1024
51,18.314898,457778,0.288937,14,1024
52,18.659829,462216,0.288937,14,1024
53,18.994771,466529,0.288937,14,1024
54,19.325632,470807,0.288937,14,1024
55,19.645279,475153,0.288937,14,1024
56,19.957541,479501,0.288937,14,1024
57,20.273303,483851,0.288937,14,1024
58,20.591471,488111,0.288937,14,1024
59,20.926755,492506,0.288937,14,1024
60,21.24203,496833,0.288937,14,1024
61,21.56587,501231,0.288937,14,1024
62,21.897972,505534,0.288937,14,1024
63,22.23557,509866,0.288937,14,1024
64,22.570368,514167,0.288937,14,1024
65,22.915873,518498,0.288937,14,1024
66,23.257946,522851,0.288937,14,1024
67,23.571206,527253,0.288937,14,1024
68,23.896439,532422,0.288937,14,1024
69,24.214553,537605,0.288937,14,1024
70,24.54308,542797,0.288937,14,1024
71,24.881684,548151,0.288937,14,1024
72,25.236305,554616,0.288937,14,1024
73,25.582253,561346,0.288937,14,1024
74,25.940126,569608,0.288937,14,1024
75,26.299275,576474,0.288937,14,1024
76,26.654513,583186,0.288937,14,1024
77,27.056077,590579,0.288937,14,1024
78,27.443591,597988,0.288937,14,1024
79,27.814979,605464,0.288937,14,1024
80,28.123201,609800,0.288937,14,1024
81,28.455162,614153,0.288937,14,1024
82,28.779919,618518,0.288937,14,1024
83,29.090479,622927,0.288937,14,1024
84,29.411336,627259,0.288937,14,1024
85,29.73941,632363,0.288937,14,1024
86,30.069363,637408,0.288937,14,1024
87,30.435877,644861,0.288937,14,1024
88,30.80247,652274,0.288937,14,1024
89,31.131733,656593,0.288937,14,1024
90,31.527006,664024,0.288937,14,1024
91,31.909027,671437,0.288937,14,1024
92,32.281714,678821,0.288937,14,1024
93,32.664208,686240,0.288937,14,1024
94,33.017376,692931,0.288937,14,1024
95,33.383782,700409,0.288937,14,1024
96,33.738534,707871,0.288937,14,1024
97,34.092887,715279,0.288937,14,1024
98,34.454235,722680,0.288937,14,1024
99,34.819091,730145,0.288937,14,1024
100,35.171337,737519,0.288937,14,1024
101,35.54396,744999,0.288937,14,1024
102,35.916798,752377,0.288937,14,1024
103,36.308605,759814,0.288937,14,1024
104,36.67201,767246,0.288937,14,1024
105,37.030519,774768,0.288937,14,1024
106,37.381449,782174,0.288937,14,1024
107,37.708308,786502,0.288937,14,1024
108,38.052421,790860,0.288937,14,1024
109,38.394825,795189,0.288937,14,1024
110,38.732291,799579,0.288937,14,1024
111,39.064153,803954,0.288937,14,1024
112,39.398274,808341,0.288937,14,1024
113,39.745011,814967,0.288937,14,1024
114,40.121493,821636,0.288937,14,1024
115,40.500092,828230,0.288937,14,1024
116,40.865968,832632,0.288937,14,1024
117,41.219291,839351,0.288937,14,1024
118,41.562977,846071,0.288937,14,1024
119,41.915755,852713,0.288937,14,1024
120,42.262656,859397,0.288937,14,1024
121,42.627327,866060,0.288937,14,1024
122,42.98246,872714,0.288937,14,1024
123,43.333833,879371,0.288937,14,1024
124,43.68292,885989,0.288937,14,1024
125,44.035954,892730,0.288937,14,1024
126,44.393659,899377,0.288937,14,1024
127,44.744523,905280,0.288937,14,1024
128,45.106342,909744,0.288937,14,1024
129,45.475565,916887,0.288937,14,1024
130,45.832186,924380,0.288937,14,1024
131,46.193278,932009,0.288937,14,1024
132,46.538823,938311,0.288937,14,1024
133,46.881382,944316,0.288937,14,1024
134,47.221541,948706,0.288937,14,1024
135,47.553394,953088,0.288937,14,1024
136,47.899239,957440,0.288937,14,1024
