gen,time,evals,best_fit,best_size,pop_size
1,1.060661,55723,0.394456,20,1024
2,2.253818,132128,0.303456,15,1024
3,3.451356,213857,0.292758,17,1024
4,4.739354,303642,0.292128,17,1024
5,6.025835,397837,0.224475,22,1024
6,7.396052,493573,0.186184,22,1024
7,8.773181,584956,0.162337,19,1024
8,10.048502,664208,0.152194,19,1024
9,11.29564,744281,0.141749,16,1024
10,12.578399,827800,0.125745,21,1024
11,13.899444,910492,0.122905,21,1024
12,15.267399,994821,0.122408,21,1024
13,16.584186,1068469,0.120179,22,1024
