gen,time,evals,best_fit,best_size,pop_size
1,0.590115,26855,0.009589,12,1024
2,1.183763,62535,0.002174,12,1024
3,1.808607,98854,0.000591,14,1024
4,2.428469,133978,0.000591,14,1024
5,3.035668,169012,6e-06,13,1024
6,3.656559,202316,6e-06,13,1024
7,4.219207,232535,1e-06,12,1024
8,4.75322,261241,0.0,11,1024
9,5.244928,285545,0.0,13,1024
10,5.766764,311391,0.0,11,1024
11,6.294764,335678,0.0,11,1024
12,6.828775,359965,0.0,13,1024
13,7.367385,386075,0.0,17,1024
14,7.900066,412568,0.0,17,1024
15,8.432859,437957,0.0,19,1024
16,8.970978,464540,0.0,19,1024
17,9.430673,481866,0.0,13,1024
18,9.910048,498156,0.0,19,1024
19,10.388692,514895,0.0,19,1024
20,10.833139,531014,0.0,19,1024
21,11.298257,547833,0.0,14,1024
22,11.759564,563954,0.0,11,1024
23,12.223376,579694,0.0,14,1024
24,12.664203,594665,0.0,19,1024
25,13.127092,609447,0.0,17,1024
26,13.630149,624604,0.0,17,1024
27,14.103791,639383,0.0,17,1024
28,14.571702,654374,0.0,17,1024
29,15.030092,669140,0.0,17,1024
30,15.493185,684366,0.0,17,1024
31,15.9505,699525,0.0,17,1024
32,16.399989,714572,0.0,17,1024
33,16.862148,729535,0.0,17,1024
34,17.343524,744672,0.0,17,1024
35,17.843018,759761,0.0,17,1024
36,18.317908,775189,0.0,17,1024
37,18.760825,790686,0.0,17,1024
38,19.215008,806318,0.0,17,1024
39,19.672846,821936,0.0,17,1024
40,20.129787,837607,0.0,17,1024
41,20.603555,853711,0.0,17,1024
42,21.1145,872775,0.0,20,1024
43,21.614817,891843,0.0,20,1024
44,22.066884,909919,0.0,20,1024
45,22.503072,926543,0.0,20,1024
46,22.934087,941367,0.0,20,1024
47,23.368265,956609,0.0,18,1024
48,23.809285,971950,0.0,18,1024
49,24.260216,987355,0.0,18,1024
50,24.70295,1002771,0.0,18,1024
