gen,time,evals,best_fit,best_size,pop_size
1,1.486626,40211,0.00312,27,1024
2,3.270872,94994,0.000635,27,1024
3,5.038915,151305,0.0,23,1024
4,6.967412,216169,0.0,21,1024
5,9.235099,293171,0.0,21,1024
6,11.916156,381736,0.0,15,1024
7,14.149143,456536,0.0,23,1024
8,16.272532,527093,0.0,24,1024
9,18.348617,592974,0.0,24,1024
10,20.361163,656633,0.0,24,1024
11,22.424057,720454,0.0,24,1024
12,24.459509,783596,0.0,24,1024
13,26.498707,847203,0.0,24,1024
14,28.536433,911155,0.0,24,1024
15,30.60851,975282,0.0,24,1024
16,32.703509,1040506,0.0,24,1024
