gen,time,evals,best_fit,best_size,pop_size
1,1.619538,41782,0.002166,11,1024
2,3.463109,94867,0.002166,11,1024
3,5.439498,150024,5.1e-05,18,1024
4,7.621325,213355,0.0,15,1024
5,9.425485,266722,0.0,11,1024
6,11.02569,323795,0.0,11,1024
7,12.347592,363535,0.0,11,1024
8,13.515956,398865,0.0,11,1024
9,14.654763,433855,0.0,16,1024
10,15.791419,468547,0.0,15,1024
11,16.951349,502886,0.0,16,1024
12,18.111525,535869,0.0,16,1024
13,19.206903,567965,0.0,16,1024
14,20.323893,600255,0.0,16,1024
15,21.444503,633063,0.0,16,1024
16,22.630381,666676,0.0,16,1024
17,23.807818,700803,0.0,16,1024
18,25.022013,736630,0.0,16,1024
19,26.616357,783990,0.0,16,1024
20,28.777264,846069,0.0,16,1024
21,30.98644,908950,0.0,16,1024
22,33.306205,971901,0.0,16,1024
23,35.55393,1034358,0.0,16,1024
