gen,time,evals,best_fit,best_size,pop_size
1,1.570302,21607,0.0,3,1024
2,2.357659,36774,0.0,3,1024
3,2.922566,44101,0.0,8,1024
4,3.547393,63131,0.0,5,1024
5,4.287915,92993,0.0,4,1024
6,4.962769,119500,0.0,4,1024
7,5.613585,146965,0.0,4,1024
8,6.267712,174533,0.0,4,1024
9,6.926307,203136,0.0,3,1024
10,7.613565,231832,0.0,3,1024
11,8.283698,259520,0.0,3,1024
12,8.945729,287144,0.0,3,1024
13,9.6031,314718,0.0,3,1024
14,10.273339,343208,0.0,3,1024
15,10.916588,370624,0.0,3,1024
16,11.609764,400070,0.0,3,1024
17,12.298391,429483,0.0,3,1024
18,12.963203,458858,0.0,3,1024
19,13.621719,487139,0.0,3,1024
20,14.303031,516424,0.0,3,1024
21,14.995583,545727,0.0,3,1024
22,15.690588,574049,0.0,3,1024
23,16.36708,602300,0.0,3,1024
24,17.00609,630492,0.0,3,1024
25,17.662184,659681,0.0,3,1024
26,18.329179,688892,0.0,3,1024
27,19.027168,718092,0.0,3,1024
28,19.744423,747300,0.0,3,1024
29,20.442992,776481,0.0,3,1024
30,21.121602,804656,0.0,3,1024
31,21.812677,833829,0.0,3,1024
32,22.490748,861989,0.0,3,1024
33,23.190284,891178,0.0,3,1024
34,23.871087,920367,0.0,3,1024
35,24.568422,950572,0.0,3,1024
36,25.267351,980766,0.0,3,1024
37,25.921107,1008912,0.0,3,1024
