gen,time,evals,best_fit,best_size,pop_size
1,2.189396,37091,0.0,3,1024
2,3.500724,72640,0.0,3,1024
3,4.797612,127001,0.0,5,1024
4,6.157711,189549,0.0,5,1024
5,7.346528,248033,0.0,3,1024
6,8.211983,281955,0.0,3,1024
7,9.123586,317609,0.0,3,1024
8,10.075589,360999,0.0,3,1024
9,11.125704,414474,0.0,3,1024
10,12.143665,468706,0.0,3,1024
11,13.14328,516943,0.0,3,1024
12,14.179003,569586,0.0,3,1024
13,15.230903,623834,0.0,3,1024
14,16.268773,679084,0.0,3,1024
15,17.314142,733724,0.0,3,1024
16,18.362702,788797,0.0,3,1024
17,19.391949,842545,0.0,3,1024
18,20.404599,895780,0.0,3,1024
19,21.409526,946895,0.0,3,1024
20,22.398046,991858,0.0,3,1024
21,23.285108,1023611,0.0,3,1024
