gen,time,evals,best_fit,best_size,pop_size
1,1.716752,23604,0.0,6,1024
2,2.56277,42760,0.0,9,1024
3,3.169025,54086,0.0,9,1024
4,3.75563,74360,0.0,3,1024
5,4.220689,76120,0.0,3,1024
6,4.59851,77558,0.0,3,1024
7,5.042193,78699,0.0,3,1024
8,5.428073,79783,0.0,3,1024
9,5.854635,80851,0.0,3,1024
10,6.254339,81915,0.0,3,1024
11,6.691413,82960,0.0,3,1024
12,7.091681,83984,0.0,3,1024
13,7.511425,85008,0.0,3,1024
14,7.872213,86032,0.0,3,1024
15,8.314878,87056,0.0,3,1024
16,8.69617,88080,0.0,3,1024
17,9.144178,89104,0.0,3,1024
18,9.53073,90128,0.0,3,1024
19,9.94485,91152,0.0,3,1024
20,10.33121,92176,0.0,3,1024
21,10.766734,93200,0.0,3,1024
22,11.169901,94224,0.0,3,1024
23,11.609955,95248,0.0,3,1024
24,12.012851,96272,0.0,3,1024
25,12.471466,97296,0.0,3,1024
26,12.883002,98320,0.0,3,1024
27,13.299364,99344,0.0,3,1024
28,13.671835,100368,0.0,3,1024
29,14.108022,101392,0.0,3,1024
30,14.538278,102416,0.0,3,1024
31,14.975197,103440,0.0,3,1024
32,15.367517,104464,0.0,3,1024
33,15.813996,105488,0.0,3,1024
34,16.240298,106512,0.0,3,1024
35,16.718204,107536,0.0,3,1024
36,17.117552,108560,0.0,3,1024
37,17.545169,109584,0.0,3,1024
38,17.93654,110608,0.0,3,1024
39,18.381954,111632,0.0,3,1024
40,18.803055,112656,0.0,3,1024
41,19.269188,113680,0.0,3,1024
42,19.690899,114704,0.0,3,1024
43,20.154247,115728,0.0,3,1024
44,20.581402,116752,0.0,3,1024
45,21.0247,117776,0.0,3,1024
46,21.408263,118800,0.0,3,1024
47,21.852091,119824,0.0,3,1024
48,22.291611,120848,0.0,3,1024
49,22.770197,121872,0.0,3,1024
50,23.200764,122896,0.0,3,1024
51,23.64537,123920,0.0,3,1024
52,24.070594,124944,0.0,3,1024
53,24.537697,125968,0.0,3,1024
54,24.951063,126992,0.0,3,1024
55,25.405761,128016,0.0,3,1024
56,25.825605,129040,0.0,3,1024
57,26.295526,130064,0.0,3,1024
58,26.729056,131088,0.0,3,1024
59,27.203959,132112,0.0,3,1024
60,27.629631,133136,0.0,3,1024
61,28.086791,134160,0.0,3,1024
62,28.541617,135184,0.0,3,1024
63,29.007302,136208,0.0,3,1024
64,29.439238,137232,0.0,3,1024
65,29.906927,138256,0.0,3,1024
66,30.347258,139280,0.0,3,1024
67,30.803215,140304,0.0,3,1024
68,31.229266,141328,0.0,3,1024
69,31.672067,142352,0.0,3,1024
70,32.136071,143376,0.0,3,1024
71,32.639944,144400,0.0,3,1024
72,33.078364,145424,0.0,3,1024
73,33.532668,146448,0.0,3,1024
74,33.960333,147472,0.0,3,1024
75,34.42183,148496,0.0,3,1024
76,34.863987,149520,0.0,3,1024
77,35.33386,150544,0.0,3,1024
78,35.799792,151568,0.0,3,1024
79,36.286359,152592,0.0,3,1024
80,36.73062,153616,0.0,3,1024
81,37.187251,154640,0.0,3,1024
82,37.61997,155664,0.0,3,1024
83,38.082393,156688,0.0,3,1024
84,38.519714,157712,0.0,3,1024
85,39.008815,158736,0.0,3,1024
86,39.458933,159760,0.0,3,1024
87,39.95167,160784,0.0,3,1024
88,40.39585,161808,0.0,3,1024
89,40.860523,162832,0.0,3,1024
90,41.28619,163856,0.0,3,1024
91,41.759513,164880,0.0,3,1024
92,42.215913,165904,0.0,3,1024
93,42.720319,166928,0.0,3,1024
94,43.179742,167952,0.0,3,1024
95,43.67224,168976,0.0,3,1024
96,44.104587,170000,0.0,3,1024
97,44.576528,171024,0.0,3,1024
98,45.027956,172048,0.0,3,1024
99,45.506334,173072,0.0,3,1024
100,45.967317,174096,0.0,3,1024
101,46.461747,175120,0.0,3,1024
102,46.904878,176144,0.0,3,1024
103,47.370511,177168,0.0,3,1024
104,47.835853,178192,0.0,3,1024
105,48.306861,179216,0.0,3,1024
106,48.769224,180240,0.0,3,1024
107,49.255381,181264,0.0,3,1024
108,49.714384,182288,0.0,3,1024
109,50.186364,183312,0.0,3,1024
110,50.624489,184336,0.0,3,1024
111,51.113866,185360,0.0,3,1024
112,51.557912,186384,0.0,3,1024
113,52.023078,187408,0.0,3,1024
114,52.489724,188432,0.0,3,1024
115,52.999273,189456,0.0,3,1024
116,53.459162,190480,0.0,3,1024
117,53.930154,191504,0.0,3,1024
118,54.397597,192528,0.0,3,1024
119,54.87159,193552,0.0,3,1024
120,55.336584,194576,0.0,3,1024
121,55.827162,195600,0.0,3,1024
122,56.289611,196624,0.0,3,1024
123,56.781338,197648,0.0,3,1024
124,57.238436,198672,0.0,3,1024
125,57.704384,199696,0.0,3,1024
126,58.13969,200720,0.0,3,1024
127,58.609035,201744,0.0,3,1024
128,59.09749,202768,0.0,3,1024
129,59.584058,203792,0.0,3,1024
130,60.002347,204816,0.0,3,1024
131,60.457665,205840,0.0,3,1024
132,60.923244,206864,0.0,3,1024
133,61.39916,207888,0.0,3,1024
134,61.83311,208912,0.0,3,1024
