gen,time,evals,best_fit,best_size,pop_size
1,1.526646,23286,0.0,9,1024
2,2.319347,41604,0.0,3,1024
3,2.948907,64271,0.0,7,1024
4,3.753697,95910,0.0,6,1024
5,4.559933,127263,0.0,6,1024
6,5.442458,153946,0.0,6,1024
7,6.383942,177027,0.0,6,1024
8,7.445405,199378,0.0,6,1024
9,8.175038,218730,0.0,6,1024
10,8.967799,241258,0.0,6,1024
11,9.659855,253550,0.0,6,1024
12,10.281652,266568,0.0,6,1024
13,11.054517,285424,0.0,6,1024
14,11.776108,300503,0.0,6,1024
15,12.591413,320738,0.0,6,1024
16,13.310626,337252,0.0,6,1024
17,14.086697,354509,0.0,6,1024
18,14.761245,369944,0.0,6,1024
19,15.223907,373746,0.0,6,1024
20,15.738594,379575,0.0,6,1024
21,16.16503,381090,0.0,6,1024
22,16.567657,382793,0.0,6,1024
23,17.051705,387364,0.0,6,1024
24,17.476942,389146,0.0,6,1024
25,18.019961,395483,0.0,6,1024
26,18.648467,405178,0.0,6,1024
27,19.271931,414731,0.0,6,1024
28,19.8916,423694,0.0,6,1024
29,20.453142,430327,0.0,6,1024
30,21.046455,438295,0.0,6,1024
31,21.507708,440335,0.0,6,1024
32,21.968954,442201,0.0,6,1024
33,22.455064,446202,0.0,6,1024
34,22.893544,447745,0.0,6,1024
35,23.452091,453804,0.0,6,1024
36,24.105567,464097,0.0,6,1024
37,24.770038,474594,0.0,6,1024
38,25.420401,484238,0.0,6,1024
39,25.992625,490204,0.0,6,1024
40,26.429284,491752,0.0,6,1024
41,26.88947,494011,0.0,6,1024
42,27.550617,504431,0.0,6,1024
43,28.222396,515078,0.0,6,1024
44,28.873348,525052,0.0,6,1024
45,29.340193,527246,0.0,6,1024
46,29.810285,529261,0.0,6,1024
47,30.254226,530914,0.0,6,1024
48,30.695206,532643,0.0,6,1024
49,31.141717,534993,0.0,6,1024
50,31.782401,544663,0.0,6,1024
51,32.437244,554132,0.0,6,1024
52,33.105464,563662,0.0,6,1024
53,33.580941,565722,0.0,6,1024
54,34.071005,567947,0.0,6,1024
55,34.519577,570167,0.0,6,1024
56,34.97382,572537,0.0,6,1024
57,35.623364,582096,0.0,6,1024
58,36.274821,591589,0.0,6,1024
59,36.76219,593882,0.0,6,1024
60,37.458902,604613,0.0,6,1024
61,37.936103,606466,0.0,6,1024
62,38.378987,608420,0.0,6,1024
63,38.835165,610040,0.0,6,1024
64,39.313826,612290,0.0,6,1024
65,39.796686,614613,0.0,6,1024
66,40.262198,616871,0.0,6,1024
67,40.853621,623562,0.0,6,1024
