gen,time,evals,best_fit,best_size,pop_size
1,2.210434,37420,0.0,6,1024
2,3.331247,65122,0.0,6,1024
3,4.004892,71882,0.0,3,1024
4,4.496923,73165,0.0,3,1024
5,5.001638,74361,0.0,3,1024
6,5.484524,75467,0.0,3,1024
7,5.977216,76529,0.0,3,1024
8,6.458967,77553,0.0,3,1024
9,6.962592,78577,0.0,3,1024
10,7.450553,79601,0.0,3,1024
11,7.948815,80625,0.0,3,1024
12,8.437219,81649,0.0,3,1024
13,8.95876,82673,0.0,3,1024
14,9.456711,83697,0.0,3,1024
15,9.962607,84721,0.0,3,1024
16,10.435431,85745,0.0,3,1024
17,10.953665,86769,0.0,3,1024
18,11.444268,87793,0.0,3,1024
19,11.947117,88817,0.0,3,1024
20,12.438279,89841,0.0,3,1024
21,12.947134,90865,0.0,3,1024
22,13.431912,91889,0.0,3,1024
23,13.949802,92913,0.0,3,1024
24,14.456902,93937,0.0,3,1024
25,14.95693,94961,0.0,3,1024
26,15.467216,95985,0.0,3,1024
27,15.966419,97009,0.0,3,1024
28,16.462461,98033,0.0,3,1024
29,16.971197,99057,0.0,3,1024
30,17.451632,100081,0.0,3,1024
31,17.960129,101105,0.0,3,1024
32,18.452096,102129,0.0,3,1024
33,18.972804,103153,0.0,3,1024
34,19.458968,104177,0.0,3,1024
35,19.963944,105201,0.0,3,1024
36,20.46864,106225,0.0,3,1024
37,20.991797,107249,0.0,3,1024
38,21.507238,108273,0.0,3,1024
39,22.030948,109297,0.0,3,1024
40,22.534446,110321,0.0,3,1024
41,23.046832,111345,0.0,3,1024
42,23.546372,112369,0.0,3,1024
43,24.059114,113393,0.0,3,1024
44,24.577463,114417,0.0,3,1024
45,25.097158,115441,0.0,1,1024
46,25.597726,116465,0.0,1,1024
47,26.110033,117489,0.0,1,1024
48,26.622805,118513,0.0,1,1024
49,27.169347,119537,0.0,1,1024
50,27.669421,120561,0.0,1,1024
51,28.183796,121585,0.0,1,1024
52,28.677172,122609,0.0,1,1024
53,29.182905,123633,0.0,1,1024
