gen,time,evals,best_fit,best_size,pop_size
1,1.697044,23763,0.0,3,1024
2,2.544979,42569,0.0,3,1024
3,3.15959,61339,0.0,3,1024
4,3.758738,74666,0.0,3,1024
5,4.523242,92711,0.0,3,1024
6,5.375868,119826,0.0,3,1024
7,6.270272,146711,0.0,3,1024
8,7.131975,173131,0.0,3,1024
9,8.086189,200055,0.0,3,1024
10,8.892435,223433,0.0,3,1024
11,9.68434,246540,0.0,3,1024
12,10.440611,269398,0.0,3,1024
13,11.236207,293228,0.0,6,1024
14,12.015002,316770,0.0,6,1024
15,12.857282,339830,0.0,6,1024
16,13.638435,363169,0.0,6,1024
17,14.547039,387904,0.0,6,1024
18,15.442622,412563,0.0,6,1024
19,16.388725,436740,0.0,6,1024
20,17.233475,460602,0.0,6,1024
21,18.124089,485628,0.0,6,1024
22,18.968958,509315,0.0,6,1024
23,19.82371,531453,0.0,6,1024
24,20.671771,554132,0.0,6,1024
25,21.54258,576434,0.0,6,1024
26,22.410408,600150,0.0,6,1024
27,23.292566,625601,0.0,6,1024
28,24.094531,650648,0.0,6,1024
29,24.922137,675731,0.0,6,1024
30,25.750609,699765,0.0,6,1024
31,26.615446,726699,0.0,6,1024
32,27.491271,753593,0.0,6,1024
33,28.270352,776093,0.0,6,1024
34,29.083532,798866,0.0,6,1024
35,30.004099,821953,0.0,6,1024
36,30.911057,847297,0.0,6,1024
37,31.790137,873425,0.0,6,1024
38,32.688722,899677,0.0,6,1024
39,33.624234,924553,0.0,6,1024
40,34.534189,947393,0.0,6,1024
41,35.428441,970714,0.0,6,1024
42,36.321581,993958,0.0,6,1024
43,37.233534,1015260,0.0,6,1024
