gen,time,evals,best_fit,best_size,pop_size
1,1.971656,33740,62.012314,12,1024
2,3.512871,76640,61.279921,12,1024
3,5.28946,126112,61.119805,12,1024
4,7.082602,173992,60.09645,11,1024
5,9.250142,233952,59.318471,13,1024
6,11.657711,299186,58.008762,16,1024
7,14.512378,371746,57.137389,17,1024
8,17.29726,444084,55.445617,18,1024
9,20.264135,518908,55.44551,18,1024
10,22.872137,582878,55.445119,18,1024
11,25.121911,640035,55.445109,18,1024
12,27.173406,696314,55.445109,18,1024
13,29.219238,750144,55.445093,18,1024
14,31.216039,802403,55.445093,18,1024
15,33.248223,850322,55.445093,18,1024
16,35.139438,891290,55.445093,18,1024
17,36.954696,929203,55.445093,18,1024
18,38.716873,966698,55.445093,18,1024
19,40.493538,1003610,55.445093,18,1024
