gen,time,evals,best_fit,best_size,pop_size
1,2.198821,36963,62.637155,19,1024
2,3.779832,77960,61.653717,13,1024
3,5.460803,122468,61.037475,13,1024
4,7.502547,178452,60.60255,12,1024
5,9.805902,246463,59.770404,13,1024
6,12.151223,320518,59.599468,13,1024
7,15.175205,401621,59.459106,12,1024
8,17.878625,468560,59.040393,13,1024
9,20.534627,535117,59.034325,13,1024
10,23.098445,601501,59.034324,13,1024
11,25.611367,666740,58.844398,13,1024
12,27.937018,730155,58.841103,13,1024
13,30.223844,792376,58.619348,13,1024
14,32.450413,853407,58.619287,13,1024
15,34.690302,914789,58.619287,13,1024
16,36.92429,976666,58.260616,13,1024
17,39.211442,1038330,58.234918,13,1024
