gen,time,evals,best_fit,best_size,pop_size
1,1.537385,38374,0.884065,11,1024
2,2.722171,84313,0.867892,20,1024
3,3.954396,131958,0.853678,10,1024
4,5.222993,179220,0.853678,10,1024
5,6.806111,236260,0.849839,22,1024
6,8.041942,275536,0.836279,19,1024
7,8.634364,284787,0.836279,19,1024
8,9.063297,288070,0.830941,19,1024
9,9.493462,291351,0.830941,19,1024
10,9.905827,294675,0.815749,19,1024
11,10.343385,297983,0.815749,19,1024
12,10.76288,301375,0.815749,19,1024
13,11.229521,305467,0.815749,19,1024
14,11.830486,315026,0.815749,19,1024
15,13.19211,350225,0.815749,19,1024
16,15.216641,411095,0.815749,19,1024
17,17.116949,465571,0.815749,19,1024
18,18.896648,517680,0.815749,19,1024
19,20.717896,569654,0.815749,19,1024
20,22.401445,618102,0.815749,19,1024
21,24.122593,666418,0.815749,19,1024
22,25.828285,715945,0.815749,19,1024
23,27.66735,768431,0.813127,19,1024
24,29.453004,820750,0.813127,19,1024
25,31.255632,871742,0.813127,19,1024
26,32.988618,921755,0.813127,19,1024
27,34.786337,972026,0.812462,19,1024
28,36.585551,1023798,0.811848,19,1024
