gen,time,evals,best_fit,best_size,pop_size
1,1.658459,24766,0.0,12,1024
2,2.832652,53095,0.0,4,1024
3,3.809382,75934,0.0,4,1024
4,4.629318,102523,0.0,4,1024
5,5.449803,127834,0.0,4,1024
6,6.272752,156100,0.0,4,1024
7,7.040697,181747,0.0,4,1024
8,7.765095,203600,0.0,4,1024
9,8.464292,226640,0.0,4,1024
10,9.200712,251529,0.0,4,1024
11,9.984251,278474,0.0,4,1024
12,10.730311,304901,0.0,4,1024
13,11.511849,330443,0.0,4,1024
14,12.26224,355514,0.0,4,1024
15,13.025163,381168,0.0,4,1024
16,13.775891,407626,0.0,4,1024
17,14.563682,434639,0.0,4,1024
18,15.204986,452386,0.0,4,1024
19,15.944784,474587,0.0,4,1024
20,16.694388,499301,0.0,4,1024
21,17.450739,524956,0.0,4,1024
22,18.179647,549347,0.0,4,1024
23,18.877755,570411,0.0,4,1024
24,19.648558,596459,0.0,4,1024
25,20.121162,603495,0.0,4,1024
26,20.540986,605196,0.0,4,1024
27,21.243643,627468,0.0,4,1024
28,21.943479,650144,0.0,4,1024
29,22.686971,674850,0.0,4,1024
30,23.37416,695194,0.0,4,1024
31,24.091345,719877,0.0,4,1024
32,24.812776,745528,0.0,4,1024
33,25.465069,762887,0.0,4,1024
34,26.15411,783255,0.0,4,1024
35,26.802907,802077,0.0,4,1024
36,27.433768,820378,0.0,4,1024
37,28.089081,839896,0.0,4,1024
38,28.733756,859215,0.0,4,1024
39,29.198804,862182,0.0,4,1024
40,29.694819,867724,0.0,4,1024
41,30.266298,879518,0.0,4,1024
42,30.851807,893804,0.0,4,1024
43,31.468014,909411,0.0,4,1024
44,31.901384,912535,0.0,4,1024
45,32.322094,914244,0.0,4,1024
46,32.754972,916153,0.0,4,1024
47,33.20072,917917,0.0,4,1024
48,33.613217,920248,0.0,4,1024
49,34.045918,924415,0.0,4,1024
50,34.510884,928952,0.0,4,1024
51,34.973037,932069,0.0,4,1024
52,35.431163,934449,0.0,4,1024
53,35.85825,937592,0.0,4,1024
54,36.358242,945591,0.0,4,1024
55,36.896329,955854,0.0,4,1024
56,37.461624,969944,0.0,4,1024
57,38.053344,983479,0.0,4,1024
58,38.501244,986770,0.0,4,1024
59,38.992218,993211,0.0,4,1024
60,39.532589,1002271,0.0,4,1024
