gen,time,evals,best_fit,best_size,pop_size
1,2.391866,46933,0.0,14,1024
2,4.148651,94071,0.0,6,1024
3,5.26109,117765,0.0,5,1024
4,6.067024,128924,0.0,5,1024
5,6.733897,134683,0.0,7,1024
6,7.277773,136232,0.0,7,1024
7,7.802804,137256,0.0,7,1024
8,8.294318,138280,0.0,7,1024
9,8.815491,139304,0.0,7,1024
10,9.337706,140328,0.0,7,1024
11,9.847851,141352,0.0,7,1024
12,10.329884,142376,0.0,7,1024
13,10.812643,143400,0.0,7,1024
14,11.304865,144424,0.0,7,1024
15,11.826566,145448,0.0,7,1024
16,12.312816,146472,0.0,7,1024
17,12.81586,147496,0.0,7,1024
18,13.316256,148520,0.0,7,1024
19,13.845177,149544,0.0,7,1024
20,14.349203,150568,0.0,7,1024
21,14.848824,151592,0.0,7,1024
22,15.314667,152616,0.0,7,1024
23,15.803249,153640,0.0,7,1024
24,16.284351,154664,0.0,7,1024
25,16.781167,155688,0.0,7,1024
26,17.255198,156712,0.0,7,1024
27,17.772892,157736,0.0,7,1024
28,18.270541,158760,0.0,7,1024
29,18.771111,159784,0.0,7,1024
30,19.251181,160808,0.0,7,1024
31,19.744647,161832,0.0,7,1024
32,20.209128,162856,0.0,7,1024
33,20.697384,163880,0.0,7,1024
34,21.155325,164904,0.0,7,1024
35,21.66351,165928,0.0,7,1024
36,22.160281,166952,0.0,7,1024
37,22.649703,167976,0.0,7,1024
38,23.122337,169000,0.0,7,1024
39,23.631599,170024,0.0,7,1024
40,24.148283,171048,0.0,7,1024
41,24.655956,172072,0.0,7,1024
42,25.143814,173096,0.0,7,1024
43,25.654972,174120,0.0,7,1024
44,26.145348,175144,0.0,7,1024
45,26.639292,176168,0.0,7,1024
46,27.111318,177192,0.0,7,1024
47,27.609482,178216,0.0,7,1024
48,28.094643,179240,0.0,7,1024
49,28.608422,180264,0.0,7,1024
50,29.124371,181288,0.0,7,1024
51,29.594448,182312,0.0,7,1024
52,30.070156,183336,0.0,7,1024
53,30.57966,184360,0.0,7,1024
54,31.054517,185384,0.0,7,1024
55,31.55135,186408,0.0,7,1024
56,32.03031,187432,0.0,7,1024
57,32.548487,188456,0.0,7,1024
58,33.026183,189480,0.0,7,1024
59,33.519319,190504,0.0,7,1024
60,34.00272,191528,0.0,7,1024
61,34.524867,192552,0.0,7,1024
62,34.99983,193576,0.0,7,1024
63,35.484825,194600,0.0,7,1024
64,35.947024,195624,0.0,7,1024
65,36.459767,196648,0.0,7,1024
66,36.952125,197672,0.0,7,1024
67,37.454296,198696,0.0,7,1024
68,37.945771,199720,0.0,7,1024
69,38.449243,200744,0.0,7,1024
70,38.988184,201768,0.0,7,1024
71,39.486861,202792,0.0,7,1024
72,39.968334,203816,0.0,7,1024
73,40.468516,204840,0.0,7,1024
74,40.954863,205864,0.0,7,1024
75,41.457691,206888,0.0,7,1024
76,41.956188,207912,0.0,7,1024
77,42.446816,208936,0.0,7,1024
78,42.944633,209960,0.0,7,1024
79,43.463365,210984,0.0,7,1024
80,43.958937,212008,0.0,7,1024
81,44.453716,213032,0.0,7,1024
82,44.907874,214056,0.0,7,1024
83,45.389168,215080,0.0,7,1024
84,45.848312,216104,0.0,7,1024
85,46.332355,217128,0.0,7,1024
86,46.81622,218152,0.0,7,1024
87,47.322999,219176,0.0,7,1024
88,47.782237,220200,0.0,7,1024
89,48.258577,221224,0.0,7,1024
90,48.736087,222248,0.0,7,1024
91,49.238079,223272,0.0,7,1024
92,49.7146,224296,0.0,7,1024
93,50.194589,225320,0.0,7,1024
94,50.661128,226344,0.0,7,1024
95,51.16647,227368,0.0,7,1024
96,51.655232,228392,0.0,7,1024
97,52.117315,229416,0.0,7,1024
98,52.577211,230440,0.0,7,1024
99,53.082605,231464,0.0,7,1024
100,53.593756,232488,0.0,7,1024
101,54.116768,233512,0.0,7,1024
102,54.616081,234536,0.0,7,1024
103,55.128226,235560,0.0,7,1024
104,55.61835,236584,0.0,7,1024
105,56.115398,237608,0.0,7,1024
106,56.601693,238632,0.0,7,1024
107,57.108464,239656,0.0,7,1024
108,57.609709,240680,0.0,7,1024
109,58.138148,241704,0.0,7,1024
110,58.646262,242728,0.0,7,1024
111,59.160676,243752,0.0,7,1024
112,59.66831,244776,0.0,7,1024
113,60.174831,245800,0.0,7,1024
114,60.645788,246824,0.0,7,1024
115,61.151229,247848,0.0,7,1024
116,61.631706,248872,0.0,7,1024
117,62.138551,249896,0.0,7,1024
118,62.642364,250920,0.0,7,1024
119,63.132348,251944,0.0,7,1024
120,63.611851,252968,0.0,7,1024
121,64.143094,253992,0.0,7,1024
122,64.644079,255016,0.0,7,1024
123,65.10984,256040,0.0,7,1024
124,65.565939,257064,0.0,7,1024
125,66.070441,258088,0.0,7,1024
126,66.574112,259112,0.0,7,1024
127,67.069295,260136,0.0,7,1024
128,67.54871,261160,0.0,7,1024
129,68.05818,262184,0.0,7,1024
130,68.549317,263208,0.0,7,1024
131,69.072705,264232,0.0,7,1024
132,69.576072,265256,0.0,7,1024
133,70.079706,266280,0.0,7,1024
134,70.540579,267304,0.0,7,1024
135,71.033192,268328,0.0,7,1024
136,71.50954,269352,0.0,7,1024
137,72.017958,270376,0.0,7,1024
138,72.539646,271400,0.0,7,1024
139,73.044948,272424,0.0,7,1024
140,73.521705,273448,0.0,7,1024
141,74.038501,274472,0.0,7,1024
142,74.545396,275496,0.0,7,1024
143,75.034735,276520,0.0,7,1024
144,75.533392,277544,0.0,7,1024
145,76.034097,278568,0.0,7,1024
146,76.520522,279592,0.0,7,1024
147,77.040602,280616,0.0,7,1024
148,77.566026,281640,0.0,7,1024
149,78.052037,282664,0.0,7,1024
150,78.528262,283688,0.0,7,1024
151,79.049252,284712,0.0,7,1024
152,79.565955,285736,0.0,7,1024
153,80.074573,286760,0.0,7,1024
154,80.555933,287784,0.0,7,1024
155,81.062463,288808,0.0,7,1024
156,81.543484,289832,0.0,7,1024
157,82.032047,290856,0.0,7,1024
158,82.516334,291880,0.0,7,1024
159,83.035533,292904,0.0,7,1024
160,83.522628,293928,0.0,7,1024
161,84.037159,294952,0.0,7,1024
162,84.527826,295976,0.0,7,1024
163,85.034228,297000,0.0,7,1024
164,85.542003,298024,0.0,7,1024
165,86.029206,299048,0.0,7,1024
166,86.496531,300072,0.0,7,1024
167,86.995095,301096,0.0,7,1024
168,87.488318,302120,0.0,7,1024
169,87.981113,303144,0.0,7,1024
170,88.495907,304168,0.0,7,1024
171,89.022495,305192,0.0,7,1024
172,89.533856,306216,0.0,7,1024
173,90.02096,307240,0.0,7,1024
174,90.505684,308264,0.0,7,1024
175,90.987442,309288,0.0,7,1024
176,91.482808,310312,0.0,7,1024
177,92.003101,311336,0.0,7,1024
178,92.517359,312360,0.0,7,1024
179,93.02429,313384,0.0,7,1024
180,93.500206,314408,0.0,7,1024
181,94.023381,315432,0.0,7,1024
182,94.539292,316456,0.0,7,1024
183,95.03762,317480,0.0,7,1024
184,95.51609,318504,0.0,7,1024
185,96.015841,319528,0.0,7,1024
186,96.508819,320552,0.0,7,1024
187,97.030053,321576,0.0,7,1024
188,97.536332,322600,0.0,7,1024
189,98.070541,323624,0.0,7,1024
190,98.595295,324648,0.0,7,1024
191,99.120582,325672,0.0,7,1024
192,99.627357,326696,0.0,7,1024
193,100.161007,327720,0.0,7,1024
194,100.652982,328744,0.0,7,1024
195,101.152616,329768,0.0,7,1024
196,101.649812,330792,0.0,7,1024
197,102.156535,331816,0.0,7,1024
198,102.691266,332840,0.0,7,1024
199,103.223984,333864,0.0,7,1024
200,103.749407,334888,0.0,7,1024
201,104.285379,335912,0.0,7,1024
202,104.803896,336936,0.0,7,1024
203,105.318076,337960,0.0,7,1024
204,105.81676,338984,0.0,7,1024
205,106.334932,340008,0.0,7,1024
206,106.871112,341032,0.0,7,1024
207,107.392344,342056,0.0,7,1024
208,107.898002,343080,0.0,7,1024
209,108.399983,344104,0.0,7,1024
210,108.900598,345128,0.0,7,1024
211,109.445112,346152,0.0,7,1024
212,109.986609,347176,0.0,7,1024
213,110.494174,348200,0.0,7,1024
214,110.989836,349224,0.0,7,1024
215,111.522817,350248,0.0,7,1024
216,112.01512,351272,0.0,7,1024
217,112.524511,352296,0.0,7,1024
218,113.02241,353320,0.0,7,1024
219,113.540961,354344,0.0,7,1024
220,114.042402,355368,0.0,7,1024
221,114.571611,356392,0.0,7,1024
222,115.07808,357416,0.0,7,1024
223,115.614275,358440,0.0,7,1024
224,116.111959,359464,0.0,7,1024
225,116.607254,360488,0.0,7,1024
226,117.097973,361512,0.0,7,1024
