gen,time,evals,best_fit,best_size,pop_size
1,1.781261,23526,21145675595076310233251840.000000,12,1024
2,2.718406,47614,30122083531843191177216.000000,6,1024
3,4.035733,80161,30122083531838539694080.000000,8,1024
4,5.215998,113525,8005008837536958644224.000000,16,1024
5,6.167072,139053,294775464844860915712.000000,18,1024
6,6.807856,156034,294775464844860588032.000000,18,1024
7,7.447476,169473,294775464844860588032.000000,18,1024
8,8.049878,183587,294775464844854362112.000000,18,1024
9,8.659195,190697,294775464844854362112.000000,18,1024
10,9.115524,196125,294775464844854362112.000000,18,1024
11,9.61464,201331,294775464844854362112.000000,18,1024
12,9.990322,203419,294775464844854362112.000000,18,1024
13,10.407591,204796,294775464844372148224.000000,18,1024
14,10.76037,206189,294775464844371296256.000000,18,1024
15,11.186418,207574,294775464844370051072.000000,18,1024
16,11.529125,208959,294775464844370051072.000000,18,1024
17,11.930253,210315,294775464844370051072.000000,18,1024
18,12.272061,211710,294775464844370051072.000000,18,1024
19,12.691576,213113,294775464844367462400.000000,18,1024
20,13.045175,214497,294775464844367462400.000000,18,1024
21,13.469422,215931,294775464844367462400.000000,18,1024
22,13.811156,217326,294775464844367462400.000000,18,1024
23,14.247865,218712,294775464844367462400.000000,18,1024
24,14.602222,220114,294775464844367462400.000000,18,1024
25,14.999477,221512,294775464844367462400.000000,18,1024
26,15.360754,222919,294775464844365037568.000000,18,1024
27,15.792261,224309,294775464844365037568.000000,18,1024
28,16.160663,225698,294775464844365037568.000000,18,1024
29,16.580224,227080,294775464844365037568.000000,18,1024
30,16.942547,228464,294775464844365037568.000000,18,1024
31,17.377253,229843,294775464844365037568.000000,18,1024
32,17.729612,231218,294775464844362678272.000000,18,1024
33,18.166589,232613,294775464844362678272.000000,18,1024
34,18.541635,234003,294775464844362678272.000000,18,1024
35,18.984914,235396,294775464844362678272.000000,18,1024
36,19.364905,236799,294775464844362678272.000000,18,1024
37,19.787976,238189,294775464844362678272.000000,18,1024
38,20.158247,239565,294775464844362678272.000000,18,1024
39,20.571423,240919,294775464844362678272.000000,18,1024
40,20.970905,242442,294775464844362678272.000000,18,1024
41,21.443298,244429,294775464844362678272.000000,18,1024
42,21.901581,247878,294775464844362678272.000000,18,1024
43,22.542391,256238,294775464844362678272.000000,18,1024
44,23.391581,276715,219399764382000611328.000000,20,1024
45,24.1947,288803,206303892903402995712.000000,21,1024
46,24.718805,295038,201373334526825594880.000000,20,1024
47,25.322404,302758,133405768043006853120.000000,20,1024
48,25.978215,313536,128340151713527758848.000000,19,1024
49,26.69254,323734,128340151713527758848.000000,19,1024
50,27.254013,330065,128340151713527758848.000000,19,1024
51,27.762465,334300,128340151713527758848.000000,19,1024
52,28.341373,342302,128340151713527758848.000000,19,1024
53,28.901107,346847,128340151713527758848.000000,19,1024
