gen,time,evals,best_fit,best_size,pop_size
1,1.605168,22276,948046285475568349609984.000000,11,1024
2,2.653259,49659,340062913146216547090432.000000,8,1024
3,3.814386,81605,10484897743741445472256.000000,11,1024
4,5.14101,116281,3066895947244705415168.000000,11,1024
5,6.40673,149014,453695156336851615744.000000,13,1024
6,7.605852,180839,11307596746446473216.000000,11,1024
7,8.908326,211910,8969035054134401024.000000,11,1024
8,10.162028,240352,8969035054133082112.000000,11,1024
9,11.321595,267146,8969035054130141184.000000,11,1024
10,12.06743,279614,8968931494832488448.000000,11,1024
11,12.687902,288161,8968928723046676480.000000,11,1024
12,13.279627,296493,8968928723046676480.000000,11,1024
13,13.86036,303729,8968928723046676480.000000,11,1024
14,14.444021,310948,8968928721653278720.000000,11,1024
15,15.015943,318161,8968928721653153792.000000,11,1024
16,15.555601,325373,8968928721013637120.000000,11,1024
17,16.116118,332587,8968928720929030144.000000,11,1024
18,16.679404,339799,8968928720929021952.000000,11,1024
19,17.247431,347003,8968928720928987136.000000,11,1024
20,17.808322,354242,8968928720928401408.000000,11,1024
21,18.410064,361476,8968928720928401408.000000,11,1024
22,18.983814,368680,8968928720927129600.000000,11,1024
23,19.579713,376886,8968928720925425664.000000,11,1024
24,20.131606,384060,8968928720923893760.000000,11,1024
25,20.736549,392265,8968928720923893760.000000,11,1024
26,21.332408,399443,8968928720923842560.000000,11,1024
27,21.963385,407640,8968928720922144768.000000,11,1024
28,22.619405,416859,8968928720922087424.000000,11,1024
29,23.317306,427105,8968928720922087424.000000,11,1024
30,23.972521,436325,8968928720922087424.000000,11,1024
31,24.633715,445545,8968928720917434368.000000,11,1024
32,25.272304,454763,8968928720916600832.000000,11,1024
33,25.843218,460909,8968928720914835456.000000,11,1024
34,26.399172,466029,8968928720914835456.000000,11,1024
35,26.9769,471149,8968928720913684480.000000,11,1024
36,27.637828,480365,8968928720912747520.000000,11,1024
37,28.302977,489581,8968928720911065088.000000,11,1024
38,28.938987,498797,8968928720908343296.000000,11,1024
39,29.471856,503917,8968928720908343296.000000,11,1024
40,30.000068,509037,8968928720908343296.000000,11,1024
41,30.544047,514157,8968928720908343296.000000,11,1024
42,31.09228,519277,8968928720907913216.000000,11,1024
43,31.621273,524397,8968928720907913216.000000,11,1024
44,32.138422,529517,8968928720907913216.000000,11,1024
45,32.665659,534637,8968928720907913216.000000,11,1024
46,33.24031,539757,8968928720907913216.000000,11,1024
47,33.808974,544877,8968928720907913216.000000,11,1024
48,34.330475,549997,8968928720907710464.000000,11,1024
49,34.87891,555117,8968928720907710464.000000,11,1024
50,35.427778,560237,8968928720907710464.000000,11,1024
51,35.976664,565357,8968928720907710464.000000,11,1024
52,36.527697,570477,8968928720907710464.000000,11,1024
53,37.078155,575597,8968928720907153408.000000,11,1024
54,37.625766,580717,8968928720906414080.000000,11,1024
55,38.18121,585837,8968928720906414080.000000,11,1024
56,38.708663,590957,8968928720906414080.000000,11,1024
57,39.271946,596077,8968928720906414080.000000,11,1024
58,39.822023,601197,8968928720906344448.000000,11,1024
59,40.364077,606317,8968928720906344448.000000,11,1024
60,40.90018,611437,8968928720906344448.000000,11,1024
61,41.456009,616557,8968928720906344448.000000,11,1024
62,42.08684,624749,8968928720906344448.000000,11,1024
63,42.693747,629869,8968928720906038272.000000,11,1024
64,43.272754,634989,8968928720905684992.000000,11,1024
65,43.830455,640109,8968928720905684992.000000,11,1024
66,44.405166,647277,8968928720905684992.000000,11,1024
67,44.934275,652397,8968928720905684992.000000,11,1024
68,45.606197,661613,8968928720905684992.000000,11,1024
69,46.173703,666733,8968928720905684992.000000,11,1024
70,46.69679,671853,8968928720905684992.000000,11,1024
71,47.247843,676973,8968928720905684992.000000,11,1024
72,47.809176,682093,8968928720905684992.000000,11,1024
73,48.355905,687212,8968928720905035776.000000,11,1024
74,48.886111,692332,8968928720905035776.000000,11,1024
75,49.434446,697452,8968928720905035776.000000,11,1024
76,49.977425,702571,8968928720905035776.000000,11,1024
77,50.526092,707688,8968928720904030208.000000,11,1024
78,51.069262,712807,8968928720904030208.000000,11,1024
79,51.617745,717922,8968928720903578624.000000,11,1024
80,52.21055,723019,8968928720903324672.000000,11,1024
81,52.755042,728038,8968928720902762496.000000,11,1024
82,53.277326,732958,8968928720901668864.000000,11,1024
83,53.817652,737659,8968928720901668864.000000,11,1024
84,54.335621,741907,8968928720901668864.000000,11,1024
85,54.854569,745054,8968928720901582848.000000,11,1024
86,55.334735,746875,8968928720901582848.000000,11,1024
87,55.803055,748943,8968928720901582848.000000,11,1024
88,56.245868,749991,8968928720901582848.000000,11,1024
89,56.702389,751015,8968928720901582848.000000,11,1024
90,57.146138,752039,8968928720901582848.000000,11,1024
91,57.581758,753063,8968928720901582848.000000,11,1024
92,58.036069,754087,8968928720901582848.000000,11,1024
93,58.465788,755111,8968928720901582848.000000,11,1024
94,58.886591,756135,8968928720901582848.000000,11,1024
95,59.331165,757159,8968928720901582848.000000,11,1024
96,59.762009,758183,8968928720901582848.000000,11,1024
97,60.223339,759207,8968928720901582848.000000,11,1024
98,60.685461,760231,8968928720901582848.000000,11,1024
99,61.150534,761255,8968928720901582848.000000,11,1024
100,61.588598,762279,8968928720901582848.000000,11,1024
101,62.030551,763303,8968928720901582848.000000,11,1024
102,62.456496,764327,8968928720901582848.000000,11,1024
103,62.892419,765351,8968928720901582848.000000,11,1024
104,63.310066,766375,8968928720901582848.000000,11,1024
105,63.738365,767399,8968928720901582848.000000,11,1024
106,64.185377,768423,8968928720901582848.000000,11,1024
107,64.644133,769447,8968928720901582848.000000,11,1024
108,65.083809,770471,8968928720901582848.000000,11,1024
109,65.512772,771495,8968928720901582848.000000,11,1024
110,65.939339,772519,8968928720901582848.000000,11,1024
111,66.38621,773543,8968928720901582848.000000,11,1024
112,66.831279,774567,8968928720901582848.000000,11,1024
113,67.283854,775591,8968928720901582848.000000,11,1024
114,67.733514,776615,8968928720901582848.000000,11,1024
115,68.180422,777639,8968928720901582848.000000,11,1024
116,68.616836,778663,8968928720901582848.000000,11,1024
117,69.07932,779687,8968928720901582848.000000,11,1024
118,69.528537,780711,8968928720901582848.000000,11,1024
119,69.991813,781735,8968928720901582848.000000,11,1024
120,70.427809,782759,8968928720901582848.000000,11,1024
121,70.898262,783783,8968928720901582848.000000,11,1024
122,71.359896,784807,8968928720901582848.000000,11,1024
123,71.803889,785831,8968928720901582848.000000,11,1024
124,72.234459,786855,8968928720901582848.000000,11,1024
125,72.658248,787879,8968928720901582848.000000,11,1024
126,73.127419,788903,8968928720901582848.000000,11,1024
127,73.598706,789927,8968928720901582848.000000,11,1024
128,74.052401,790951,8968928720901582848.000000,11,1024
129,74.504173,791975,8968928720901582848.000000,11,1024
130,74.946001,792999,8968928720901582848.000000,11,1024
131,75.413541,794023,8968928720901582848.000000,11,1024
132,75.885838,795047,8968928720901582848.000000,11,1024
133,76.340343,796071,8968928720901582848.000000,11,1024
134,76.776524,797095,8968928720901582848.000000,11,1024
135,77.246544,798119,8968928720901582848.000000,11,1024
136,77.710865,799143,8968928720901582848.000000,11,1024
137,78.143287,800167,8968928720901582848.000000,11,1024
138,78.563305,801191,8968928720901582848.000000,11,1024
139,78.997632,802215,8968928720901582848.000000,11,1024
140,79.467229,803239,8968928720901582848.000000,11,1024
141,79.952259,804263,8968928720901582848.000000,11,1024
142,80.426061,805287,8968928720901582848.000000,11,1024
143,80.917777,806311,8968928720901582848.000000,11,1024
144,81.374745,807335,8968928720901582848.000000,11,1024
145,81.852917,808359,8968928720901582848.000000,11,1024
146,82.303488,809383,8968928720901582848.000000,11,1024
147,82.736142,810407,8968928720901582848.000000,11,1024
148,83.150909,811431,8968928720901582848.000000,11,1024
149,83.60091,812455,8968928720901582848.000000,11,1024
150,84.046731,813479,8968928720901582848.000000,11,1024
151,84.507537,814503,8968928720901582848.000000,11,1024
152,84.91824,815527,8968928720901582848.000000,11,1024
153,85.398684,816551,8968928720901582848.000000,11,1024
154,85.863982,817575,8968928720901582848.000000,11,1024
155,86.330381,818599,8968928720901582848.000000,11,1024
156,86.774455,819623,8968928720901582848.000000,11,1024
157,87.2171,820647,8968928720901582848.000000,11,1024
158,87.655051,821671,8968928720901582848.000000,11,1024
159,88.08913,822695,8968928720901582848.000000,11,1024
160,88.570437,823719,8968928720901582848.000000,11,1024
161,89.019281,824743,8968928720901582848.000000,11,1024
162,89.48052,825767,8968928720901582848.000000,11,1024
163,89.943138,826791,8968928720901582848.000000,11,1024
