gen,time,evals,best_fit,best_size,pop_size
1,0.520662,21047,9e-06,10,1024
2,1.098019,57417,9e-06,10,1024
3,1.684361,96052,9e-06,10,1024
4,2.251427,130708,7e-06,14,1024
5,2.768699,155957,6e-06,14,1024
6,3.221465,168853,5e-06,14,1024
7,3.627197,186849,4e-06,12,1024
8,4.030403,204574,4e-06,12,1024
9,4.466455,231598,4e-06,12,1024
10,4.832135,244378,4e-06,12,1024
11,5.21997,257043,4e-06,12,1024
12,5.560289,264403,4e-06,12,1024
13,5.884421,271297,4e-06,12,1024
14,6.22685,277528,4e-06,12,1024
15,6.580565,284195,4e-06,12,1024
16,6.924553,288718,4e-06,12,1024
17,7.26191,290268,4e-06,12,1024
18,7.597101,291835,4e-06,12,1024
19,7.896499,293425,4e-06,12,1024
20,8.194004,295009,4e-06,12,1024
21,8.499218,296606,4e-06,12,1024
22,8.813064,298191,4e-06,12,1024
23,9.160986,299753,4e-06,12,1024
24,9.487733,301373,4e-06,12,1024
25,9.810988,302966,4e-06,12,1024
26,10.115507,304531,4e-06,12,1024
27,10.41251,306109,4e-06,12,1024
28,10.760358,307648,4e-06,12,1024
29,11.101308,309209,4e-06,12,1024
30,11.427953,310781,4e-06,12,1024
31,11.751579,312310,4e-06,12,1024
32,12.066572,313844,4e-06,12,1024
33,12.383542,315365,4e-06,12,1024
34,12.700742,316906,4e-06,12,1024
35,13.023545,318448,4e-06,12,1024
36,13.357824,319961,4e-06,12,1024
37,13.698338,321500,4e-06,12,1024
38,14.023091,323039,4e-06,12,1024
39,14.330648,324580,4e-06,12,1024
40,14.642162,326127,4e-06,12,1024
41,14.971833,327682,4e-06,12,1024
42,15.325795,329207,4e-06,12,1024
43,15.646627,330745,4e-06,12,1024
44,15.958168,332300,4e-06,12,1024
45,16.268176,333832,4e-06,12,1024
46,16.575033,335400,4e-06,12,1024
47,16.903075,336925,4e-06,12,1024
48,17.237842,338486,4e-06,12,1024
49,17.572392,340010,4e-06,12,1024
50,17.890046,341531,4e-06,12,1024
51,18.214944,343079,4e-06,12,1024
52,18.518367,344621,4e-06,12,1024
53,18.84438,346145,4e-06,12,1024
54,19.175061,347696,4e-06,12,1024
55,19.503257,349227,4e-06,12,1024
56,19.815325,350742,4e-06,12,1024
57,20.134321,352279,4e-06,12,1024
58,20.439152,353814,4e-06,12,1024
59,20.718305,355343,4e-06,12,1024
60,21.013509,356866,4e-06,12,1024
61,21.337792,358407,4e-06,12,1024
62,21.678164,359975,4e-06,12,1024
63,21.99048,361533,4e-06,12,1024
64,22.292837,363086,4e-06,12,1024
65,22.597213,364593,4e-06,12,1024
66,22.917382,366147,4e-06,12,1024
67,23.230846,367694,4e-06,12,1024
68,23.561194,369223,4e-06,12,1024
69,23.909528,370759,4e-06,12,1024
70,24.215956,372286,4e-06,12,1024
71,24.49888,373824,4e-06,12,1024
72,24.793393,375354,4e-06,12,1024
73,25.116643,376901,4e-06,12,1024
74,25.428904,378425,4e-06,12,1024
75,25.757523,379950,4e-06,12,1024
76,26.058903,381447,4e-06,12,1024
77,26.342915,382954,4e-06,12,1024
78,26.639194,384455,4e-06,12,1024
79,26.967928,385980,4e-06,12,1024
80,27.30172,387482,4e-06,12,1024
81,27.59409,388710,4e-06,12,1024
82,27.882789,389932,4e-06,12,1024
83,28.191355,391146,4e-06,12,1024
84,28.472411,392382,4e-06,12,1024
85,28.754658,393613,4e-06,12,1024
86,29.049824,394637,4e-06,12,1024
87,29.358745,395661,4e-06,12,1024
88,29.674433,396685,4e-06,12,1024
89,29.96157,397709,4e-06,12,1024
90,30.246842,398733,4e-06,12,1024
91,30.537707,399757,4e-06,12,1024
92,30.841989,400781,4e-06,12,1024
93,31.161286,401805,4e-06,12,1024
94,31.441431,402829,4e-06,12,1024
95,31.740318,403853,4e-06,12,1024
96,32.048748,404877,4e-06,12,1024
97,32.367015,405901,4e-06,12,1024
98,32.66365,406925,4e-06,12,1024
99,32.948195,407949,4e-06,12,1024
100,33.256799,408973,4e-06,12,1024
101,33.565824,409997,4e-06,12,1024
102,33.878116,411021,4e-06,12,1024
103,34.194453,412045,4e-06,12,1024
104,34.470897,413069,4e-06,12,1024
105,34.80491,414093,4e-06,12,1024
106,35.120864,415117,4e-06,12,1024
107,35.441003,416141,4e-06,12,1024
108,35.728788,417165,4e-06,12,1024
109,36.034967,418189,4e-06,12,1024
110,36.346303,419213,4e-06,12,1024
111,36.661833,420237,4e-06,12,1024
112,36.93598,421261,4e-06,12,1024
113,37.27255,422285,4e-06,12,1024
114,37.603025,423309,4e-06,12,1024
115,37.878994,424333,4e-06,12,1024
116,38.158805,425357,4e-06,12,1024
117,38.429137,426381,4e-06,12,1024
118,38.738238,427405,4e-06,12,1024
119,39.100895,428429,4e-06,12,1024
120,39.438565,429453,4e-06,12,1024
121,39.742422,430477,4e-06,12,1024
122,40.043942,431501,4e-06,12,1024
123,40.361607,432525,4e-06,12,1024
124,40.689766,433549,4e-06,12,1024
125,40.995583,434573,4e-06,12,1024
126,41.320753,435597,4e-06,12,1024
127,41.631459,436621,4e-06,12,1024
128,41.921564,437645,4e-06,12,1024
129,42.23497,438669,4e-06,12,1024
130,42.533304,439693,4e-06,12,1024
131,42.867152,440717,4e-06,12,1024
132,43.1933,441741,4e-06,12,1024
133,43.504787,442765,4e-06,12,1024
134,43.787057,443789,4e-06,12,1024
135,44.086755,444813,4e-06,12,1024
136,44.416866,445837,4e-06,12,1024
137,44.74439,446861,4e-06,12,1024
138,45.034955,447885,4e-06,12,1024
139,45.353864,448909,4e-06,12,1024
140,45.673867,449933,4e-06,12,1024
141,45.97109,450957,4e-06,12,1024
142,46.251739,451981,4e-06,12,1024
143,46.561402,453005,4e-06,12,1024
144,46.886261,454029,4e-06,12,1024
145,47.215004,455053,4e-06,12,1024
146,47.521156,456077,4e-06,12,1024
147,47.839018,457101,4e-06,12,1024
148,48.142029,458125,4e-06,12,1024
149,48.44377,459149,4e-06,12,1024
150,48.737418,460173,4e-06,12,1024
151,49.039403,461197,4e-06,12,1024
152,49.365911,462221,4e-06,12,1024
153,49.674934,463245,4e-06,12,1024
154,49.977712,464269,4e-06,12,1024
155,50.254579,465293,4e-06,12,1024
156,50.527544,466317,4e-06,12,1024
157,50.848161,467341,4e-06,12,1024
158,51.122934,468365,4e-06,12,1024
159,51.401628,469389,4e-06,12,1024
160,51.692005,470413,4e-06,12,1024
161,51.98291,471437,4e-06,12,1024
162,52.285132,472461,4e-06,12,1024
163,52.578593,473485,4e-06,12,1024
164,52.879405,474509,4e-06,12,1024
165,53.207419,475533,4e-06,12,1024
166,53.51405,476557,4e-06,12,1024
167,53.808516,477581,4e-06,12,1024
168,54.049702,478605,4e-06,12,1024
169,54.447283,479629,4e-06,12,1024
170,55.034587,480653,4e-06,12,1024
171,55.61815,481677,4e-06,12,1024
172,56.163316,482701,4e-06,12,1024
173,56.767781,483725,4e-06,12,1024
174,57.233441,484749,4e-06,12,1024
175,57.761012,485773,4e-06,12,1024
176,58.378594,486797,4e-06,12,1024
177,58.963463,487821,4e-06,12,1024
178,59.53392,488845,4e-06,12,1024
179,60.112314,489869,4e-06,12,1024
180,60.410643,490893,4e-06,12,1024
181,60.662602,491917,4e-06,12,1024
182,60.974997,492941,4e-06,12,1024
183,61.308075,493965,4e-06,12,1024
184,61.646264,494989,4e-06,12,1024
185,61.961498,496013,4e-06,12,1024
186,62.282949,497037,4e-06,12,1024
187,62.607105,498061,4e-06,12,1024
188,62.913394,499085,4e-06,12,1024
189,63.20961,500109,4e-06,12,1024
190,63.537567,501133,4e-06,12,1024
191,63.855393,502157,4e-06,12,1024
192,64.155815,503181,4e-06,12,1024
193,64.462168,504205,4e-06,12,1024
194,64.751251,505229,4e-06,12,1024
195,65.084696,506253,4e-06,12,1024
196,65.400438,507277,4e-06,12,1024
197,65.67665,508301,4e-06,12,1024
198,65.955891,509325,4e-06,12,1024
199,66.234657,510349,4e-06,12,1024
200,66.456186,511373,4e-06,12,1024
201,66.693269,512397,4e-06,12,1024
202,67.000962,513421,4e-06,12,1024
203,67.337719,514445,4e-06,12,1024
204,67.589791,515469,4e-06,12,1024
205,67.806378,516493,4e-06,12,1024
206,68.100039,517517,4e-06,12,1024
207,68.414304,518541,4e-06,12,1024
208,68.712537,519565,4e-06,12,1024
209,68.963709,520589,4e-06,12,1024
210,69.22015,521613,4e-06,12,1024
211,69.500698,522637,4e-06,12,1024
212,69.778538,523661,4e-06,12,1024
213,70.027641,524685,4e-06,12,1024
214,70.319711,525709,4e-06,12,1024
215,70.648114,526733,4e-06,12,1024
216,70.961991,527757,4e-06,12,1024
217,71.269274,528781,4e-06,12,1024
218,71.481743,529805,4e-06,12,1024
219,71.709112,530829,4e-06,12,1024
220,71.948764,531853,4e-06,12,1024
221,72.22575,532877,4e-06,12,1024
222,72.517494,533901,4e-06,12,1024
223,72.800229,534925,4e-06,12,1024
224,73.05443,535949,4e-06,12,1024
225,73.28133,536973,4e-06,12,1024
226,73.579262,537997,4e-06,12,1024
227,73.917214,539021,4e-06,12,1024
228,74.236369,540045,4e-06,12,1024
229,74.471674,541069,4e-06,12,1024
230,74.707107,542093,4e-06,12,1024
231,74.949809,543117,4e-06,12,1024
232,75.210482,544141,4e-06,12,1024
233,75.492569,545165,4e-06,12,1024
234,75.764877,546189,4e-06,12,1024
235,76.05857,547213,4e-06,12,1024
236,76.32772,548237,4e-06,12,1024
237,76.625712,549261,4e-06,12,1024
238,76.937564,550285,4e-06,12,1024
239,77.16761,551309,4e-06,12,1024
240,77.489542,552333,4e-06,12,1024
241,77.809888,553357,4e-06,12,1024
242,78.066528,554381,4e-06,12,1024
243,78.300364,555405,4e-06,12,1024
244,78.576869,556429,4e-06,12,1024
245,78.866256,557453,4e-06,12,1024
246,79.115051,558477,4e-06,12,1024
247,79.368102,559501,4e-06,12,1024
248,79.674996,560525,4e-06,12,1024
249,79.991663,561549,4e-06,12,1024
250,80.235448,562573,4e-06,12,1024
251,80.47721,563597,4e-06,12,1024
252,80.693046,564621,4e-06,12,1024
253,80.986684,565645,4e-06,12,1024
254,81.316311,566669,4e-06,12,1024
255,81.570654,567693,4e-06,12,1024
256,81.78656,568717,4e-06,12,1024
257,81.994934,569741,4e-06,12,1024
258,82.265733,570765,4e-06,12,1024
259,82.570668,571789,4e-06,12,1024
260,82.872061,572813,4e-06,12,1024
261,83.143494,573837,4e-06,12,1024
262,83.378402,574861,4e-06,12,1024
263,83.66807,575885,4e-06,12,1024
264,83.953283,576909,4e-06,12,1024
265,84.192724,577933,4e-06,12,1024
266,84.411741,578957,4e-06,12,1024
267,84.723644,579981,4e-06,12,1024
268,85.03527,581005,4e-06,12,1024
269,85.324175,582029,4e-06,12,1024
270,85.592708,583053,4e-06,12,1024
271,85.832887,584077,4e-06,12,1024
272,86.094029,585101,4e-06,12,1024
273,86.390074,586125,4e-06,12,1024
274,86.639213,587149,4e-06,12,1024
275,86.903784,588173,4e-06,12,1024
276,87.16832,589197,4e-06,12,1024
277,87.443756,590221,4e-06,12,1024
278,87.693917,591245,4e-06,12,1024
279,87.921444,592269,4e-06,12,1024
280,88.243852,593293,4e-06,12,1024
281,88.539261,594317,4e-06,12,1024
282,88.818916,595341,4e-06,12,1024
283,89.081406,596365,4e-06,12,1024
284,89.323646,597389,4e-06,12,1024
285,89.573152,598413,4e-06,12,1024
286,89.838827,599437,4e-06,12,1024
287,90.113711,600461,4e-06,12,1024
288,90.386977,601485,4e-06,12,1024
289,90.63829,602509,4e-06,12,1024
290,90.93966,603533,4e-06,12,1024
291,91.252284,604557,4e-06,12,1024
292,91.524583,605581,4e-06,12,1024
293,91.766186,606605,4e-06,12,1024
294,92.051766,607629,4e-06,12,1024
295,92.33882,608653,4e-06,12,1024
296,92.626464,609677,4e-06,12,1024
297,92.864756,610701,4e-06,12,1024
298,93.121087,611725,4e-06,12,1024
299,93.372242,612749,4e-06,12,1024
300,93.598844,613773,4e-06,12,1024
301,93.915649,614797,4e-06,12,1024
302,94.211899,615821,4e-06,12,1024
303,94.437394,616845,4e-06,12,1024
304,94.662998,617869,4e-06,12,1024
305,94.898511,618893,4e-06,12,1024
306,95.171046,619917,4e-06,12,1024
307,95.498704,620941,4e-06,12,1024
308,95.808892,621965,4e-06,12,1024
309,96.0782,622989,4e-06,12,1024
310,96.357425,624013,4e-06,12,1024
311,96.645991,625037,4e-06,12,1024
312,96.916753,626061,4e-06,12,1024
313,97.180899,627085,4e-06,12,1024
314,97.431416,628109,4e-06,12,1024
315,97.703164,629133,4e-06,12,1024
316,97.962092,630157,4e-06,12,1024
317,98.225625,631181,4e-06,12,1024
318,98.458996,632205,4e-06,12,1024
319,98.774526,633229,4e-06,12,1024
320,99.092913,634253,4e-06,12,1024
321,99.279894,635277,4e-06,12,1024
322,99.569755,636301,4e-06,12,1024
323,99.876035,637325,4e-06,12,1024
324,100.154943,638349,4e-06,12,1024
325,100.401295,639373,4e-06,12,1024
326,100.631299,640397,4e-06,12,1024
327,100.861847,641421,4e-06,12,1024
328,101.110917,642445,4e-06,12,1024
329,101.398909,643469,4e-06,12,1024
330,101.663357,644493,4e-06,12,1024
331,101.930111,645517,4e-06,12,1024
332,102.217101,646541,4e-06,12,1024
333,102.530722,647565,4e-06,12,1024
334,102.826275,648589,4e-06,12,1024
335,103.056602,649613,4e-06,12,1024
336,103.322983,650637,4e-06,12,1024
337,103.571162,651661,4e-06,12,1024
338,103.83846,652685,4e-06,12,1024
339,104.131878,653709,4e-06,12,1024
340,104.335647,654733,4e-06,12,1024
341,104.471483,655757,4e-06,12,1024
342,104.602542,656781,4e-06,12,1024
343,104.731042,657805,4e-06,12,1024
344,104.870046,658829,4e-06,12,1024
345,105.063378,659853,4e-06,12,1024
346,105.258019,660877,4e-06,12,1024
347,105.396826,661901,4e-06,12,1024
348,105.531725,662925,4e-06,12,1024
349,105.716843,663949,4e-06,12,1024
350,105.883787,664973,4e-06,12,1024
351,106.077212,665997,4e-06,12,1024
352,106.214315,667021,4e-06,12,1024
353,106.381256,668045,4e-06,12,1024
354,106.554092,669069,4e-06,12,1024
355,106.713711,670093,4e-06,12,1024
356,106.834645,671117,4e-06,12,1024
357,107.000911,672141,4e-06,12,1024
358,107.151603,673165,4e-06,12,1024
359,107.311309,674189,4e-06,12,1024
360,107.531914,675213,4e-06,12,1024
361,107.7335,676237,4e-06,12,1024
362,107.877116,677261,4e-06,12,1024
363,108.026744,678285,4e-06,12,1024
364,108.175871,679309,4e-06,12,1024
365,108.322147,680333,4e-06,12,1024
366,108.477047,681357,4e-06,12,1024
367,108.634318,682381,4e-06,12,1024
368,108.783323,683405,4e-06,12,1024
369,108.973329,684429,4e-06,12,1024
370,109.19437,685453,4e-06,12,1024
371,109.358569,686477,4e-06,12,1024
372,109.537118,687501,4e-06,12,1024
373,109.6619,688525,4e-06,12,1024
374,109.783648,689549,4e-06,12,1024
375,109.966719,690573,4e-06,12,1024
376,110.155786,691597,4e-06,12,1024
377,110.314557,692621,4e-06,12,1024
378,110.44859,693645,4e-06,12,1024
379,110.582138,694669,4e-06,12,1024
380,110.781138,695693,4e-06,12,1024
381,110.950703,696717,4e-06,12,1024
382,111.133478,697741,4e-06,12,1024
383,111.307608,698765,4e-06,12,1024
384,111.499084,699789,4e-06,12,1024
385,111.693783,700813,4e-06,12,1024
386,111.828705,701837,4e-06,12,1024
387,111.965447,702861,4e-06,12,1024
388,112.096343,703885,4e-06,12,1024
389,112.220005,704909,4e-06,12,1024
390,112.336641,705933,4e-06,12,1024
391,112.529471,706957,4e-06,12,1024
392,112.748357,707981,4e-06,12,1024
393,112.929545,709005,4e-06,12,1024
394,113.100527,710029,4e-06,12,1024
395,113.242231,711053,4e-06,12,1024
396,113.384063,712077,4e-06,12,1024
397,113.530523,713101,4e-06,12,1024
398,113.68209,714125,4e-06,12,1024
399,113.820406,715149,4e-06,12,1024
400,114.009282,716173,4e-06,12,1024
401,114.198747,717197,4e-06,12,1024
402,114.346946,718221,4e-06,12,1024
403,114.53271,719245,4e-06,12,1024
404,114.692641,720269,4e-06,12,1024
405,114.854616,721293,4e-06,12,1024
406,115.066797,722317,4e-06,12,1024
407,115.260138,723341,4e-06,12,1024
408,115.403795,724365,4e-06,12,1024
409,115.540074,725389,4e-06,12,1024
410,115.678275,726413,4e-06,12,1024
411,115.814329,727437,4e-06,12,1024
412,115.944797,728461,4e-06,12,1024
413,116.100397,729485,4e-06,12,1024
414,116.279605,730509,4e-06,12,1024
415,116.480712,731533,4e-06,12,1024
416,116.675884,732557,4e-06,12,1024
417,116.848767,733581,4e-06,12,1024
418,116.982726,734605,4e-06,12,1024
419,117.1128,735629,4e-06,12,1024
420,117.239333,736653,4e-06,12,1024
421,117.359442,737677,4e-06,12,1024
422,117.539747,738701,4e-06,12,1024
423,117.739722,739725,4e-06,12,1024
424,117.903956,740749,4e-06,12,1024
425,118.04011,741773,4e-06,12,1024
426,118.237166,742797,4e-06,12,1024
427,118.411219,743821,4e-06,12,1024
428,118.597011,744845,4e-06,12,1024
429,118.79176,745869,4e-06,12,1024
430,118.936226,746893,4e-06,12,1024
431,119.13319,747917,4e-06,12,1024
432,119.312341,748941,4e-06,12,1024
433,119.43607,749965,4e-06,12,1024
434,119.568643,750989,4e-06,12,1024
435,119.731653,752013,4e-06,12,1024
436,119.879843,753037,4e-06,12,1024
437,120.10047,754061,4e-06,12,1024
438,120.291949,755085,4e-06,12,1024
439,120.45555,756109,4e-06,12,1024
440,120.595465,757133,4e-06,12,1024
441,120.732197,758157,4e-06,12,1024
442,120.870102,759181,4e-06,12,1024
443,121.006207,760205,4e-06,12,1024
444,121.168816,761229,4e-06,12,1024
445,121.320704,762253,4e-06,12,1024
446,121.495865,763277,4e-06,12,1024
447,121.683254,764301,4e-06,12,1024
448,121.867338,765325,4e-06,12,1024
449,122.061298,766349,4e-06,12,1024
450,122.223767,767373,4e-06,12,1024
451,122.393334,768397,4e-06,12,1024
452,122.586347,769421,4e-06,12,1024
453,122.765648,770445,4e-06,12,1024
454,122.941736,771469,4e-06,12,1024
455,123.101156,772493,4e-06,12,1024
456,123.267291,773517,4e-06,12,1024
457,123.433552,774541,4e-06,12,1024
458,123.590459,775565,4e-06,12,1024
459,123.736261,776589,4e-06,12,1024
460,123.875601,777613,4e-06,12,1024
461,124.065883,778637,4e-06,12,1024
462,124.255348,779661,4e-06,12,1024
463,124.393298,780685,4e-06,12,1024
