gen,time,evals,best_fit,best_size,pop_size
1,0.87068,48347,4e-06,16,1024
2,1.842564,123396,4e-06,15,1024
3,2.900542,200402,4e-06,15,1024
4,4.039045,276999,2e-06,9,1024
5,5.128067,349367,2e-06,11,1024
6,6.310146,432114,1e-06,13,1024
7,7.41339,506930,1e-06,17,1024
8,8.387991,558646,1e-06,15,1024
9,9.303894,613894,1e-06,15,1024
10,10.339442,688260,1e-06,13,1024
11,11.36098,759544,1e-06,19,1024
12,12.379154,828232,1e-06,19,1024
13,13.404557,897228,1e-06,21,1024
14,14.407757,964654,1e-06,21,1024
15,15.391977,1029402,1e-06,21,1024
