gen,time,evals,best_fit,best_size,pop_size
1,0.510864,21509,3.2e-05,18,1024
2,1.028414,58325,7e-06,13,1024
3,1.575744,97037,7e-06,13,1024
4,2.092017,126066,7e-06,13,1024
5,2.523274,140940,4e-06,18,1024
6,3.05162,173826,4e-06,18,1024
7,3.388915,180340,4e-06,18,1024
8,3.705512,185954,4e-06,18,1024
9,4.021769,191950,4e-06,18,1024
10,4.347543,198901,4e-06,13,1024
11,4.670039,206026,4e-06,13,1024
12,5.00741,213227,4e-06,13,1024
13,5.361211,224651,4e-06,13,1024
14,5.762867,247587,4e-06,13,1024
15,6.159815,269801,4e-06,13,1024
16,6.565712,287722,4e-06,13,1024
17,6.986158,307538,4e-06,13,1024
18,7.410506,326304,4e-06,13,1024
19,7.792232,345670,4e-06,13,1024
20,8.176236,365792,4e-06,13,1024
21,8.547355,383266,4e-06,13,1024
22,8.921288,403082,4e-06,13,1024
23,9.305525,423930,4e-06,13,1024
24,9.714244,443280,4e-06,13,1024
25,10.108305,457154,4e-06,13,1024
26,10.442746,461843,4e-06,13,1024
27,10.788622,465448,4e-06,13,1024
28,11.141887,475722,4e-06,13,1024
29,11.536453,493991,4e-06,13,1024
30,11.889423,499301,4e-06,13,1024
31,12.205928,501231,4e-06,13,1024
32,12.538141,503155,4e-06,13,1024
33,12.846094,505078,4e-06,13,1024
34,13.157784,506997,4e-06,13,1024
35,13.500455,508913,4e-06,13,1024
36,13.842343,510850,4e-06,13,1024
37,14.164594,512778,4e-06,13,1024
38,14.474449,514677,4e-06,13,1024
39,14.788718,516845,4e-06,13,1024
40,15.122986,521870,4e-06,13,1024
41,15.482433,536355,4e-06,13,1024
42,15.808458,538380,4e-06,13,1024
43,16.129004,540302,4e-06,13,1024
44,16.45866,542212,4e-06,13,1024
45,16.786211,544125,4e-06,13,1024
46,17.1518,546059,4e-06,13,1024
47,17.487369,548036,4e-06,13,1024
48,17.807788,550234,4e-06,13,1024
49,18.116483,553241,4e-06,13,1024
50,18.421607,557344,4e-06,13,1024
51,18.744416,559724,4e-06,13,1024
52,19.052616,561790,4e-06,13,1024
53,19.352288,565316,4e-06,13,1024
54,19.691171,577441,4e-06,13,1024
55,20.021662,580254,4e-06,13,1024
56,20.352865,582162,4e-06,13,1024
57,20.693801,584069,4e-06,13,1024
58,21.021522,585962,4e-06,13,1024
59,21.312312,587867,4e-06,13,1024
60,21.599138,589929,4e-06,13,1024
61,21.88252,594224,4e-06,13,1024
62,22.250936,607248,4e-06,13,1024
63,22.598882,616468,4e-06,13,1024
64,22.960346,627405,4e-06,13,1024
65,23.285844,629680,4e-06,13,1024
66,23.606041,631729,4e-06,13,1024
67,23.901586,636061,4e-06,13,1024
68,24.292947,649340,4e-06,13,1024
69,24.602795,651311,4e-06,13,1024
70,24.909925,653252,4e-06,13,1024
71,25.194098,655195,4e-06,13,1024
72,25.489325,657129,4e-06,13,1024
73,25.784863,659051,4e-06,13,1024
74,26.080248,660959,4e-06,13,1024
75,26.390484,662877,4e-06,13,1024
76,26.706653,664800,4e-06,13,1024
77,27.037354,666709,4e-06,13,1024
78,27.360334,668609,4e-06,13,1024
79,27.702352,670514,4e-06,13,1024
80,28.02475,672433,4e-06,13,1024
81,28.369671,674352,4e-06,13,1024
82,28.685102,676272,4e-06,13,1024
83,28.987542,678191,4e-06,13,1024
84,29.30148,680103,4e-06,13,1024
85,29.601793,682013,4e-06,13,1024
86,29.929672,683929,4e-06,13,1024
87,30.234472,685844,4e-06,13,1024
88,30.523586,687760,4e-06,13,1024
89,30.832975,689695,4e-06,13,1024
90,31.150832,691611,4e-06,13,1024
91,31.442384,693522,4e-06,13,1024
92,31.769014,695446,4e-06,13,1024
93,32.082674,697379,4e-06,13,1024
94,32.348671,699313,4e-06,13,1024
95,32.608188,701252,4e-06,13,1024
96,32.946328,703180,4e-06,13,1024
97,33.281801,705107,4e-06,13,1024
98,33.653556,707033,4e-06,13,1024
