gen,time,evals,best_fit,best_size,pop_size
1,0.490522,20529,2.1e-05,10,1024
2,0.991979,52479,2.1e-05,15,1024
3,1.567208,89030,1.5e-05,20,1024
4,2.085347,124352,6e-06,15,1024
5,2.571048,156835,6e-06,15,1024
6,2.933537,167402,6e-06,19,1024
7,3.32149,185111,6e-06,19,1024
8,3.83222,218838,6e-06,19,1024
9,4.253942,242346,5e-06,19,1024
10,4.692127,262739,5e-06,19,1024
11,5.095497,280438,4e-06,21,1024
12,5.49118,297749,4e-06,21,1024
13,5.860755,313904,3e-06,22,1024
14,6.197025,324211,3e-06,22,1024
15,6.524255,330415,3e-06,22,1024
16,6.858821,340528,3e-06,22,1024
17,7.256378,356580,3e-06,22,1024
18,7.65323,369542,3e-06,22,1024
19,7.997779,379123,3e-06,22,1024
20,8.322405,385193,3e-06,22,1024
21,8.60445,388446,3e-06,22,1024
22,8.918765,392487,3e-06,22,1024
23,9.198595,393528,3e-06,22,1024
24,9.501382,394552,3e-06,22,1024
25,9.774034,395576,3e-06,22,1024
26,10.040505,396600,3e-06,22,1024
27,10.324496,397624,3e-06,22,1024
28,10.582705,398648,3e-06,22,1024
29,10.898157,399672,3e-06,22,1024
30,11.215065,400696,3e-06,22,1024
31,11.499842,401720,3e-06,22,1024
32,11.76704,402744,3e-06,22,1024
33,12.01838,403768,3e-06,22,1024
34,12.278975,404792,3e-06,22,1024
35,12.558655,405816,3e-06,22,1024
36,12.828009,406840,3e-06,22,1024
37,13.102856,407864,3e-06,22,1024
38,13.389066,408888,3e-06,22,1024
39,13.678566,409912,3e-06,22,1024
40,13.959066,410936,3e-06,22,1024
41,14.248247,411960,3e-06,22,1024
42,14.540018,412984,3e-06,22,1024
43,14.8174,414008,3e-06,22,1024
44,15.097542,415032,3e-06,22,1024
45,15.38319,416056,3e-06,22,1024
46,15.649164,417080,3e-06,22,1024
47,15.917461,418104,3e-06,22,1024
48,16.19078,419128,3e-06,22,1024
49,16.467996,420152,3e-06,22,1024
50,16.734702,421176,3e-06,22,1024
51,17.006946,422200,3e-06,22,1024
52,17.285482,423224,3e-06,22,1024
53,17.574073,424248,3e-06,22,1024
54,17.87369,425272,3e-06,22,1024
55,18.132114,426296,3e-06,22,1024
56,18.447324,427320,3e-06,22,1024
57,18.724534,428344,3e-06,22,1024
