gen,time,evals,best_fit,best_size,pop_size
1,0.505444,21090,4e-06,18,1024
2,1.02993,55613,4e-06,18,1024
3,1.621758,96198,4e-06,18,1024
4,2.230128,134967,4e-06,14,1024
5,2.781659,168658,2e-06,9,1024
6,3.361233,202308,2e-06,11,1024
7,3.922579,235846,1e-06,11,1024
8,4.434837,260329,1e-06,11,1024
9,4.869377,277025,1e-06,11,1024
10,5.35171,303122,1e-06,17,1024
11,5.800288,326685,1e-06,17,1024
12,6.214845,345726,1e-06,17,1024
13,6.620384,356869,1e-06,17,1024
14,7.026409,370926,1e-06,17,1024
15,7.375512,378878,1e-06,17,1024
16,7.745767,385218,1e-06,17,1024
17,8.090988,391503,1e-06,17,1024
18,8.432924,399094,1e-06,17,1024
19,8.839409,415026,1e-06,17,1024
20,9.271832,433215,1e-06,17,1024
21,9.658279,446649,1e-06,17,1024
22,10.095145,466488,1e-06,17,1024
23,10.516238,484961,1e-06,17,1024
24,10.920754,500043,1e-06,17,1024
25,11.331359,516477,1e-06,17,1024
26,11.673973,524018,1e-06,17,1024
27,12.003685,528443,1e-06,17,1024
28,12.339483,534488,1e-06,17,1024
29,12.658503,537815,1e-06,17,1024
30,12.960194,539863,1e-06,17,1024
31,13.282744,541911,1e-06,17,1024
32,13.61614,543959,1e-06,17,1024
33,13.943987,546007,1e-06,17,1024
34,14.273791,548055,1e-06,17,1024
35,14.576344,550103,1e-06,17,1024
36,14.873722,552151,1e-06,17,1024
37,15.186081,554199,1e-06,17,1024
38,15.50105,556247,1e-06,17,1024
39,15.829433,558295,1e-06,17,1024
40,16.144635,560343,1e-06,17,1024
41,16.457274,562391,1e-06,17,1024
42,16.77525,564439,1e-06,17,1024
43,17.113494,566487,1e-06,17,1024
44,17.435172,568535,1e-06,17,1024
45,17.747098,570583,1e-06,17,1024
46,18.042511,572631,1e-06,17,1024
47,18.35797,574679,1e-06,17,1024
48,18.673511,576727,1e-06,17,1024
49,18.98614,578775,1e-06,17,1024
50,19.296245,580823,1e-06,17,1024
51,19.60708,582871,1e-06,17,1024
52,19.913034,584919,1e-06,17,1024
53,20.252935,586967,1e-06,17,1024
54,20.603405,589015,1e-06,17,1024
55,20.92583,591063,1e-06,17,1024
56,21.216704,593111,1e-06,17,1024
57,21.521491,595159,1e-06,17,1024
58,21.837612,597207,1e-06,17,1024
59,22.156014,599255,1e-06,17,1024
60,22.482904,601303,1e-06,17,1024
61,22.821004,603351,1e-06,17,1024
62,23.135354,605399,1e-06,17,1024
63,23.446357,607447,1e-06,17,1024
64,23.770404,609495,1e-06,17,1024
65,24.111258,611543,1e-06,17,1024
66,24.413684,613591,1e-06,17,1024
67,24.724455,615639,1e-06,17,1024
68,25.035174,617687,1e-06,17,1024
69,25.358681,619735,1e-06,17,1024
70,25.686653,621783,1e-06,17,1024
71,26.013944,623831,1e-06,17,1024
72,26.341674,625879,1e-06,17,1024
73,26.682122,627927,1e-06,17,1024
74,26.996142,629975,1e-06,17,1024
75,27.34068,632023,1e-06,17,1024
76,27.689257,634071,1e-06,17,1024
77,27.9961,636366,1e-06,17,1024
78,28.320534,641863,1e-06,17,1024
79,28.749806,658171,1e-06,17,1024
80,29.135163,667487,1e-06,17,1024
81,29.474577,670821,1e-06,17,1024
82,29.811023,672869,1e-06,17,1024
83,30.124826,674917,1e-06,17,1024
84,30.432439,676965,1e-06,17,1024
85,30.757636,679013,1e-06,17,1024
86,31.101687,681061,1e-06,17,1024
87,31.411473,683109,1e-06,17,1024
88,31.735875,685157,1e-06,17,1024
89,32.066258,687205,1e-06,17,1024
90,32.397868,689253,1e-06,17,1024
91,32.715241,691301,1e-06,17,1024
92,33.050031,693349,1e-06,17,1024
93,33.381229,695397,1e-06,17,1024
94,33.705928,697445,1e-06,17,1024
95,34.036228,699493,1e-06,17,1024
96,34.38329,701541,1e-06,17,1024
97,34.735406,703589,1e-06,17,1024
98,35.056082,705637,1e-06,17,1024
99,35.376255,707685,1e-06,17,1024
100,35.706379,709733,1e-06,17,1024
101,36.053861,711781,1e-06,17,1024
102,36.380813,713829,1e-06,17,1024
103,36.707739,715877,1e-06,17,1024
104,37.040266,717925,1e-06,17,1024
105,37.372712,719973,1e-06,17,1024
106,37.692542,722021,1e-06,17,1024
107,38.045501,724069,1e-06,17,1024
108,38.375204,726117,1e-06,17,1024
109,38.694565,728165,1e-06,17,1024
110,39.018962,730213,1e-06,17,1024
111,39.350931,732261,1e-06,17,1024
112,39.657544,734309,1e-06,17,1024
113,39.973271,736357,1e-06,17,1024
114,40.294465,738405,1e-06,17,1024
115,40.615835,740453,1e-06,17,1024
116,40.931146,742501,1e-06,17,1024
117,41.275468,744549,1e-06,17,1024
118,41.62354,746597,1e-06,17,1024
