gen,time,evals,best_fit,best_size,pop_size
1,0.822664,47443,6e-06,13,1024
2,1.81666,125246,4e-06,13,1024
3,2.778201,198723,2e-06,13,1024
4,3.731562,267911,0.0,19,1024
5,4.685838,337672,0.0,21,1024
6,5.824744,420203,0.0,21,1024
7,6.910476,497210,0.0,21,1024
8,7.851792,554050,0.0,21,1024
9,8.80618,610574,0.0,21,1024
10,9.792319,666685,0.0,21,1024
11,10.761889,723834,0.0,21,1024
12,11.734843,783360,0.0,20,1024
13,12.759991,849787,0.0,20,1024
14,13.825845,923790,0.0,20,1024
15,14.83384,992189,0.0,24,1024
16,15.859476,1062407,0.0,24,1024
