gen,time,evals,best_fit,best_size,pop_size
1,0.912773,48962,1.2e-05,12,1024
2,1.907198,121750,7e-06,16,1024
3,2.938201,199194,3e-06,17,1024
4,4.043207,277718,2e-06,17,1024
5,5.199116,359632,2e-06,17,1024
6,6.398094,441926,1e-06,17,1024
7,7.475815,514324,1e-06,17,1024
8,8.52409,586274,1e-06,17,1024
9,9.752897,674803,1e-06,17,1024
10,10.914488,759528,1e-06,18,1024
11,12.024553,834603,1e-06,18,1024
12,13.124072,908059,1e-06,18,1024
13,14.26193,981593,1e-06,19,1024
14,15.306061,1048905,1e-06,19,1024
