gen,time,evals,best_fit,best_size,pop_size
1,0.955856,46935,4e-06,26,1024
2,2.026026,114977,2e-06,21,1024
3,3.10849,192345,1e-06,12,1024
4,4.154877,271583,1e-06,12,1024
5,5.248865,349818,0.0,12,1024
6,6.186782,410797,0.0,12,1024
7,7.211736,477709,0.0,12,1024
8,8.43273,552710,0.0,12,1024
9,9.590292,624752,0.0,12,1024
10,10.65212,696512,0.0,12,1024
11,11.766798,766389,0.0,12,1024
12,12.853345,835985,0.0,12,1024
13,13.926791,907254,0.0,12,1024
14,15.153245,981517,0.0,12,1024
15,16.260414,1051462,0.0,12,1024
