gen,time,evals,best_fit,best_size,pop_size
1,0.520201,21301,2e-05,16,1024
2,1.161529,55114,8e-06,20,1024
3,1.786686,91759,7e-06,8,1024
4,2.316053,118453,7e-06,8,1024
5,2.7058,122030,7e-06,8,1024
6,3.176422,127974,4e-06,20,1024
7,3.653346,141909,1e-06,18,1024
8,4.275591,171922,1e-06,18,1024
9,4.911983,202242,1e-06,18,1024
10,5.396708,220586,1e-06,18,1024
11,5.753634,223304,1e-06,18,1024
12,6.108232,225970,1e-06,18,1024
13,6.468596,228614,1e-06,20,1024
14,6.802261,231225,1e-06,20,1024
15,7.131324,233910,1e-06,20,1024
16,7.490107,236663,1e-06,20,1024
17,7.900422,239546,1e-06,20,1024
18,8.307203,242660,1e-06,20,1024
19,8.737582,246180,1e-06,23,1024
20,9.169158,250355,1e-06,23,1024
21,9.606393,255653,1e-06,19,1024
22,9.98,262196,1e-06,19,1024
23,10.407185,271975,1e-06,17,1024
24,10.837977,287265,1e-06,22,1024
25,11.312677,310138,1e-06,22,1024
26,11.801199,336294,1e-06,25,1024
27,12.364491,362484,1e-06,25,1024
28,12.867972,387173,1e-06,24,1024
29,13.372125,412437,1e-06,24,1024
30,13.874061,441202,1e-06,22,1024
31,14.387664,470504,1e-06,22,1024
32,14.964539,500485,1e-06,22,1024
33,15.580691,531071,1e-06,24,1024
34,16.123922,561251,1e-06,24,1024
35,16.639294,591882,1e-06,25,1024
36,17.188473,624236,1e-06,24,1024
37,17.7703,658050,1e-06,22,1024
38,18.416006,692468,1e-06,22,1024
39,18.989778,726851,1e-06,22,1024
40,19.56276,761046,1e-06,22,1024
41,20.142213,795187,1e-06,22,1024
42,20.767365,829243,1e-06,22,1024
43,21.342653,862155,1e-06,22,1024
44,21.915447,896942,1e-06,22,1024
45,22.490485,932376,1e-06,22,1024
46,23.024026,967564,1e-06,22,1024
47,23.630046,1001620,1e-06,22,1024
