gen,time,evals,best_fit,best_size,pop_size
1,0.457353,20941,2.9e-05,24,1024
2,1.01697,55529,2.9e-05,24,1024
3,1.616988,92172,2.6e-05,14,1024
4,2.204239,127339,9e-06,18,1024
5,2.806442,163290,9e-06,16,1024
6,3.457687,200581,9e-06,16,1024
7,4.052152,236537,8e-06,16,1024
8,4.662225,269868,2e-06,9,1024
9,5.225233,302400,2e-06,9,1024
10,5.815314,335029,1e-06,13,1024
11,6.357997,366193,1e-06,13,1024
12,6.714294,376798,1e-06,13,1024
13,7.131392,387792,1e-06,13,1024
14,7.506128,395990,1e-06,13,1024
15,7.872679,404837,1e-06,13,1024
16,8.297147,417505,1e-06,13,1024
17,8.745761,433719,1e-06,13,1024
18,9.244389,458487,1e-06,13,1024
19,9.769371,486833,1e-06,19,1024
20,10.285406,515676,1e-06,19,1024
21,10.816917,544144,1e-06,19,1024
22,11.29313,570897,1e-06,19,1024
23,11.770508,598209,1e-06,19,1024
24,12.258504,624447,1e-06,19,1024
25,12.715732,648341,1e-06,19,1024
26,13.169148,673375,1e-06,19,1024
27,13.633365,697990,1e-06,19,1024
28,14.075953,722465,1e-06,19,1024
29,14.556446,749074,0.0,21,1024
30,15.033384,775494,0.0,21,1024
31,15.494188,802983,0.0,21,1024
32,15.967742,829712,0.0,19,1024
33,16.429209,856356,0.0,21,1024
34,16.823059,881825,0.0,19,1024
35,17.214572,906301,0.0,21,1024
36,17.669703,931889,0.0,21,1024
37,18.074798,956840,0.0,21,1024
38,18.521112,984721,0.0,21,1024
39,18.99796,1012694,0.0,21,1024
