gen,time,evals,best_fit,best_size,pop_size
1,0.782301,48100,2e-06,11,1024
2,1.751714,125651,2e-06,11,1024
3,2.796188,211056,2e-06,11,1024
4,3.911482,299451,2e-06,11,1024
5,5.005498,386535,2e-06,11,1024
6,6.057242,467186,2e-06,11,1024
7,6.988867,524138,2e-06,11,1024
8,7.872709,576280,2e-06,11,1024
9,8.74266,629074,2e-06,11,1024
10,9.632583,681827,2e-06,11,1024
11,10.53285,735615,2e-06,11,1024
12,11.406703,786932,2e-06,11,1024
13,12.315539,836500,2e-06,11,1024
14,13.19967,885523,2e-06,11,1024
15,14.078372,934343,2e-06,11,1024
16,14.971408,983032,2e-06,11,1024
17,15.855142,1030989,2e-06,11,1024
