gen,time,evals,best_fit,best_size,pop_size
1,0.779253,49908,5e-06,20,1024
2,1.709005,128301,1e-06,18,1024
3,2.670294,207387,1e-06,18,1024
4,3.716291,290781,1e-06,18,1024
5,4.783836,376785,0.0,14,1024
6,5.842488,458689,0.0,18,1024
7,6.74061,524807,0.0,18,1024
8,7.556484,574175,0.0,18,1024
9,8.460617,639410,0.0,18,1024
10,9.432579,715533,0.0,18,1024
11,10.372234,786033,0.0,18,1024
12,11.330302,859101,0.0,18,1024
13,12.244061,920655,0.0,18,1024
14,13.126617,976311,0.0,18,1024
15,14.022528,1031819,0.0,18,1024
