gen,time,evals,best_fit,best_size,pop_size
1,0.52934,22802,6.8e-05,17,1024
2,1.042256,55468,2.4e-05,18,1024
3,1.578819,89965,1.3e-05,18,1024
4,2.18462,126757,1.3e-05,19,1024
5,2.73421,161017,8e-06,8,1024
6,3.345897,195861,8e-06,8,1024
7,3.756764,210406,8e-06,8,1024
8,4.164994,220064,8e-06,8,1024
9,4.533458,229126,8e-06,8,1024
10,4.895632,238192,8e-06,8,1024
11,5.291297,248070,8e-06,8,1024
12,5.762264,264697,8e-06,8,1024
13,6.257239,291774,8e-06,8,1024
14,6.699952,308379,7e-06,12,1024
15,7.028389,314048,7e-06,12,1024
16,7.357674,319125,7e-06,12,1024
17,7.692689,324151,7e-06,12,1024
18,8.015438,329166,7e-06,12,1024
19,8.333916,334209,7e-06,12,1024
20,8.672744,339088,7e-06,12,1024
21,8.996715,343653,7e-06,12,1024
22,9.324579,347431,7e-06,12,1024
23,9.659875,350884,7e-06,12,1024
24,9.995256,354553,7e-06,12,1024
25,10.333727,358799,7e-06,12,1024
26,10.655612,363256,7e-06,12,1024
27,10.991252,367000,7e-06,12,1024
28,11.275143,370447,7e-06,12,1024
29,11.560355,374083,7e-06,12,1024
30,11.887042,378198,7e-06,12,1024
31,12.207351,382661,7e-06,12,1024
32,12.536256,388655,7e-06,12,1024
33,12.897161,397207,7e-06,12,1024
34,13.31546,414009,7e-06,15,1024
35,13.710618,435708,6e-06,15,1024
36,14.163328,460245,6e-06,19,1024
37,14.608797,485091,4e-06,13,1024
38,15.041933,511031,4e-06,13,1024
39,15.489124,536418,4e-06,13,1024
40,15.906854,564222,4e-06,17,1024
41,16.35401,591813,3e-06,19,1024
42,16.832336,620286,3e-06,17,1024
43,17.283549,647882,3e-06,17,1024
44,17.730312,671149,2e-06,13,1024
45,18.137761,691495,2e-06,13,1024
46,18.575249,711769,2e-06,19,1024
47,19.019467,733637,2e-06,19,1024
48,19.465223,756947,2e-06,17,1024
49,19.932314,781315,2e-06,17,1024
50,20.41637,806123,2e-06,17,1024
51,20.943102,831180,2e-06,17,1024
52,21.421459,854270,2e-06,17,1024
53,21.908032,879188,2e-06,17,1024
54,22.376303,903631,2e-06,17,1024
55,22.856856,928504,2e-06,17,1024
56,23.335064,952716,2e-06,17,1024
57,23.811591,978209,2e-06,17,1024
58,24.287339,1000343,2e-06,17,1024
