gen,time,evals,best_fit,best_size,pop_size
1,1.98815,47391,0.003318,14,1024
2,4.070767,103269,0.003139,13,1024
3,6.251053,158452,0.001154,12,1024
4,8.509023,216263,0.000946,12,1024
5,11.287626,288311,0.00074,13,1024
6,14.159787,355447,0.000621,14,1024
7,16.672658,414319,0.000522,16,1024
8,19.080334,475810,0.000522,16,1024
9,21.396889,534990,0.000518,16,1024
10,23.794396,595227,0.000518,16,1024
11,26.279396,653162,0.000518,16,1024
12,28.234206,693569,0.000518,16,1024
13,29.172032,704153,0.000518,16,1024
14,29.816518,706181,0.000518,16,1024
15,30.452241,708107,0.000518,16,1024
16,31.050342,710097,0.000518,16,1024
17,31.68834,712126,0.000518,16,1024
18,32.327245,714324,0.000518,16,1024
19,32.960627,716638,0.000516,18,1024
20,33.61113,719082,0.000515,19,1024
21,34.27502,721922,0.000515,19,1024
22,34.935423,725035,0.000515,19,1024
23,35.624861,728238,0.000515,19,1024
24,36.317659,731848,0.000515,19,1024
25,37.032071,735639,0.000515,19,1024
26,37.748134,739883,0.000515,19,1024
27,38.502261,744971,0.000515,19,1024
28,39.316261,750840,0.000515,19,1024
29,40.219781,758780,0.000513,19,1024
30,41.25377,770711,0.000512,19,1024
31,42.51322,787735,0.000512,19,1024
32,44.138787,813448,0.000512,19,1024
33,46.488833,854261,0.000512,19,1024
34,49.041216,901362,0.00051,19,1024
35,51.925323,956210,0.000503,19,1024
36,55.004384,1015863,0.000496,18,1024
