gen,time,evals,best_fit,best_size,pop_size
1,1.968515,49362,0.004274,8,1024
2,4.16272,110821,0.003523,12,1024
3,6.520459,174730,0.003083,15,1024
4,9.085177,244901,0.001432,10,1024
5,11.772354,312193,0.001113,15,1024
6,14.259818,370388,0.001112,15,1024
7,16.379601,417869,0.00087,16,1024
8,18.727417,474596,0.000767,16,1024
9,20.342474,532568,0.00072,16,1024
10,22.124519,576174,0.000716,16,1024
11,23.728254,620489,0.000713,16,1024
12,25.498991,677163,0.00068,15,1024
13,27.755707,748581,0.00067,15,1024
14,29.943542,817878,0.000651,15,1024
15,32.676151,881769,0.000651,15,1024
16,35.549059,948022,0.000651,15,1024
17,38.397964,1012565,0.000651,15,1024
