gen,time,evals,best_fit,best_size,pop_size
1,1.914678,52209,0.003488,13,1024
2,3.909513,111088,0.002549,8,1024
3,5.739928,163784,0.002127,12,1024
4,7.450957,211204,0.00208,12,1024
5,9.628304,271477,0.000741,11,1024
6,11.140041,305525,0.000741,11,1024
7,11.909704,314429,0.000741,11,1024
8,13.158233,336682,0.000741,11,1024
9,15.423924,387937,0.000741,11,1024
10,17.930113,455028,0.000741,11,1024
11,19.964991,506947,0.000741,11,1024
12,22.005613,561186,0.000741,11,1024
13,24.042611,613386,0.000741,11,1024
14,26.011796,665227,0.000741,11,1024
15,28.022223,717318,0.000741,11,1024
16,30.009997,769250,0.000741,11,1024
17,32.017646,821366,0.000741,11,1024
18,33.971101,873235,0.000741,11,1024
19,35.971562,925067,0.000741,11,1024
20,37.933237,976632,0.000741,11,1024
21,39.879014,1027233,0.000741,11,1024
