gen,time,evals,best_fit,best_size,pop_size
1,1.151817,25398,0.004489,11,1024
2,2.429483,56911,0.003055,8,1024
3,3.754199,90324,0.002665,9,1024
4,4.939649,120041,0.001178,14,1024
5,6.301375,154366,0.000878,14,1024
6,7.711699,186937,0.000853,14,1024
7,8.961148,216002,0.000853,14,1024
8,10.466695,248558,0.000853,14,1024
9,10.96513,253118,0.000853,14,1024
10,11.477479,257107,0.000853,14,1024
11,11.947997,259924,0.000853,14,1024
12,12.378395,261564,0.000853,14,1024
13,12.803353,263240,0.000853,14,1024
14,13.249878,265321,0.000853,14,1024
15,13.705722,268298,0.000853,14,1024
16,14.144161,271359,0.000853,14,1024
17,14.607965,274240,0.000853,14,1024
18,15.024141,277088,0.000853,14,1024
19,15.411579,278761,0.000853,14,1024
20,15.747231,280303,0.000853,14,1024
21,16.113646,281862,0.000853,14,1024
22,16.532941,283419,0.000853,14,1024
23,16.915662,284935,0.000853,14,1024
24,17.309471,286485,0.000853,14,1024
25,17.703258,288024,0.000853,14,1024
26,18.102786,289565,0.000853,14,1024
27,18.542668,291090,0.000853,14,1024
28,18.933888,292615,0.000853,14,1024
29,19.340299,294165,0.000853,14,1024
30,19.744643,295714,0.000853,14,1024
31,20.15488,297236,0.000853,14,1024
32,20.567194,298770,0.000853,14,1024
33,20.998274,300313,0.000853,14,1024
34,21.454592,301840,0.000853,14,1024
35,21.849397,303383,0.000853,14,1024
36,22.270944,304870,0.000853,14,1024
37,22.741269,306388,0.000853,14,1024
38,23.193995,307941,0.000853,14,1024
39,23.615233,309519,0.000853,14,1024
40,23.980681,311041,0.000853,14,1024
41,24.389111,312573,0.000853,14,1024
42,24.80101,314116,0.000853,14,1024
43,25.19799,315657,0.000853,14,1024
44,25.600069,317198,0.000853,14,1024
45,26.012288,318707,0.000853,14,1024
46,26.415497,320218,0.000853,14,1024
47,26.846205,321754,0.000853,14,1024
48,27.310959,323271,0.000853,14,1024
49,27.713154,324798,0.000853,14,1024
50,28.125139,326353,0.000853,14,1024
51,28.515955,327892,0.000853,14,1024
52,28.940081,329413,0.000853,14,1024
53,29.401522,330970,0.000853,14,1024
54,29.796629,332493,0.000853,14,1024
55,30.233195,334022,0.000853,14,1024
56,30.666563,335559,0.000853,14,1024
57,31.095293,337117,0.000853,14,1024
58,31.523411,338641,0.000853,14,1024
59,31.993744,340187,0.000853,14,1024
60,32.423621,341708,0.000853,14,1024
61,32.847956,343221,0.000853,14,1024
62,33.284303,344732,0.000853,14,1024
63,33.73514,346253,0.000853,14,1024
64,34.169157,347802,0.000853,14,1024
65,34.595496,349340,0.000853,14,1024
66,35.023379,350878,0.000853,14,1024
67,35.479234,352426,0.000853,14,1024
68,35.894233,353974,0.000853,14,1024
69,36.329164,355501,0.000853,14,1024
70,36.80503,357037,0.000853,14,1024
71,37.265551,358557,0.000853,14,1024
72,37.675301,360081,0.000853,14,1024
73,38.134928,361592,0.000853,14,1024
