gen,time,evals,best_fit,best_size,pop_size
1,1.083143,24840,0.004118,8,1024
2,2.3093,58131,0.00329,8,1024
3,3.58936,93093,0.003028,9,1024
4,4.88908,126843,0.002346,12,1024
5,6.241592,160340,0.002167,13,1024
6,7.431808,187339,0.002167,12,1024
7,8.585792,215946,0.001998,16,1024
8,9.583373,236354,0.001998,16,1024
9,10.575402,254004,0.001927,16,1024
10,11.306324,262697,0.001927,16,1024
11,11.946862,271292,0.001927,16,1024
12,12.576012,278083,0.001927,16,1024
13,13.025983,280820,0.001927,16,1024
14,13.465849,282997,0.001927,16,1024
15,13.893413,285297,0.001927,16,1024
16,14.317905,287675,0.001927,16,1024
17,14.769603,290247,0.001927,16,1024
18,15.227247,293091,0.001927,16,1024
19,15.730895,296393,0.001922,19,1024
20,16.263248,300342,0.001922,19,1024
21,16.934647,306779,0.001873,20,1024
22,17.830883,318052,0.001873,20,1024
23,18.741035,330478,0.001871,20,1024
24,19.73758,346121,0.001871,20,1024
25,20.722358,361063,0.00187,20,1024
26,21.623777,372903,0.001865,20,1024
27,22.748037,388982,0.001865,20,1024
28,23.88906,405158,0.001865,19,1024
29,25.04269,421930,0.001865,19,1024
30,26.172851,438775,0.001865,20,1024
31,26.978123,448768,0.001865,20,1024
32,27.674942,456673,0.001865,20,1024
33,28.338831,464073,0.001865,19,1024
34,28.986458,471133,0.001865,19,1024
35,29.623442,477475,0.001865,19,1024
36,30.218165,482992,0.001865,19,1024
37,30.841556,489197,0.001865,19,1024
38,31.545909,495644,0.001865,19,1024
39,32.130023,499769,0.001865,19,1024
40,32.572718,501647,0.001865,19,1024
41,33.043305,503451,0.001865,19,1024
42,33.481589,505253,0.001865,19,1024
43,33.942247,507030,0.001865,19,1024
44,34.400307,508822,0.001865,19,1024
45,34.863195,510603,0.001865,19,1024
46,35.330581,512389,0.001865,19,1024
47,35.799749,514163,0.001865,19,1024
48,36.275317,515934,0.001865,19,1024
49,36.726789,517692,0.001865,19,1024
50,37.209636,519589,0.001865,19,1024
51,37.68295,521645,0.001865,19,1024
52,38.204227,524416,0.001865,19,1024
53,38.798098,528982,0.001865,19,1024
54,39.651699,539490,0.001865,19,1024
55,40.543495,550855,0.001865,19,1024
56,41.060964,553663,0.001865,19,1024
57,41.498903,555424,0.001865,19,1024
58,41.96226,557213,0.001865,19,1024
59,42.423785,559001,0.001865,19,1024
60,42.868229,560795,0.001865,19,1024
61,43.347749,562541,0.001865,19,1024
62,43.798964,564337,0.001865,19,1024
63,44.259167,566132,0.001865,19,1024
64,44.7169,567923,0.001865,19,1024
65,45.168386,569726,0.001865,19,1024
66,45.636002,571529,0.001865,19,1024
67,46.095416,573296,0.001865,19,1024
68,46.55992,575054,0.001865,19,1024
69,47.023282,576849,0.001865,19,1024
70,47.487877,578630,0.001865,19,1024
71,47.957148,580414,0.001865,19,1024
72,48.445856,582191,0.001865,19,1024
73,48.893966,583979,0.001865,19,1024
74,49.358026,585843,0.001865,19,1024
75,49.837434,587978,0.001865,19,1024
76,50.373189,591715,0.001865,19,1024
77,51.036183,597879,0.001865,19,1024
78,51.557557,601058,0.001865,19,1024
79,52.011969,602851,0.001865,19,1024
80,52.473713,604635,0.001865,19,1024
81,52.916027,606426,0.001865,19,1024
82,53.380051,608210,0.001865,19,1024
83,53.837755,610004,0.001865,19,1024
84,54.278551,611787,0.001865,19,1024
85,54.752176,613583,0.001865,19,1024
86,55.204179,615378,0.001865,19,1024
