gen,time,evals,best_fit,best_size,pop_size
1,2.313658,61703,0.003005,12,1024
2,4.682891,132799,0.002718,12,1024
3,7.846558,211463,0.002112,11,1024
4,10.668516,286787,0.0017,14,1024
5,14.34817,378121,0.0017,14,1024
6,18.076073,466847,0.000415,15,1024
7,22.123505,541672,0.000415,15,1024
8,25.547728,622643,0.000415,15,1024
9,29.467587,706343,0.000415,15,1024
10,33.277289,788191,0.000415,15,1024
11,37.922192,861079,0.000415,15,1024
12,41.078405,927544,0.000415,15,1024
13,44.232219,993154,0.000415,15,1024
14,47.302358,1057953,0.000415,15,1024
