gen,time,evals,best_fit,best_size,pop_size
1,1.328664,26691,0.002637,13,1024
2,2.952755,60332,0.002579,15,1024
3,4.472398,92519,0.002579,15,1024
4,5.615056,120421,0.002416,18,1024
5,6.872648,149074,0.002371,18,1024
6,8.149256,177301,0.002089,18,1024
7,9.377528,200682,0.001814,13,1024
8,10.961531,235773,0.001814,14,1024
9,12.785353,272060,0.001387,22,1024
10,14.237787,301043,0.001083,23,1024
11,15.653137,327834,0.000827,16,1024
12,17.206122,359101,0.000716,16,1024
13,18.596882,385884,0.000629,16,1024
14,19.927084,410009,0.000625,16,1024
15,21.133826,431935,0.000625,16,1024
16,22.528636,459282,0.000625,16,1024
17,24.157834,490954,0.000625,16,1024
18,25.557149,515643,0.000625,16,1024
19,26.307478,523555,0.000625,16,1024
20,27.001801,530404,0.000625,16,1024
21,27.691982,536640,0.000625,16,1024
22,28.447887,544078,0.000625,16,1024
23,29.162986,551321,0.000625,16,1024
24,29.86507,557811,0.000625,16,1024
25,30.522777,563600,0.000625,16,1024
26,31.17298,569373,0.000625,16,1024
27,31.790987,573864,0.000625,16,1024
28,32.386711,578000,0.000625,16,1024
29,32.972585,582084,0.000625,16,1024
30,33.569063,586192,0.000625,16,1024
31,34.165633,590291,0.000625,16,1024
32,34.751157,594393,0.000625,16,1024
33,35.345155,598683,0.000625,16,1024
34,35.975254,603445,0.000625,16,1024
35,36.63713,609088,0.000625,16,1024
36,37.25624,614224,0.000625,16,1024
37,37.851026,617904,0.000625,16,1024
38,38.417241,621496,0.000625,16,1024
39,38.984908,625071,0.000625,16,1024
40,39.554737,628687,0.000625,16,1024
41,40.133232,632264,0.000625,16,1024
42,40.693582,635818,0.000625,16,1024
43,41.238055,638840,0.000625,16,1024
44,41.798505,642365,0.000625,16,1024
45,42.377021,645914,0.000625,16,1024
46,42.938227,649480,0.000625,16,1024
47,43.539665,653632,0.000625,16,1024
48,44.145033,657716,0.000625,16,1024
49,44.751037,661795,0.000625,16,1024
50,45.335311,665920,0.000625,16,1024
51,45.937557,670031,0.000625,16,1024
52,46.547173,674135,0.000625,16,1024
53,47.145234,678217,0.000625,16,1024
54,47.740294,682339,0.000625,16,1024
55,48.361818,686673,0.000625,16,1024
56,48.996097,691394,0.000625,16,1024
57,49.656578,697088,0.000625,16,1024
58,50.311447,702286,0.000625,16,1024
59,50.926629,706572,0.000625,16,1024
60,51.530329,710722,0.000625,16,1024
61,52.142511,714958,0.000625,16,1024
62,52.766247,719532,0.000625,16,1024
63,53.425759,724983,0.000625,16,1024
64,54.101472,730482,0.000625,16,1024
65,54.704057,734743,0.000625,16,1024
66,55.311498,738824,0.000625,16,1024
67,55.928491,742932,0.000625,16,1024
68,56.540033,747070,0.000625,16,1024
69,57.135571,751185,0.000625,16,1024
70,57.703822,754774,0.000625,16,1024
71,58.283222,758396,0.000625,16,1024
72,58.861871,761987,0.000625,16,1024
73,59.428733,765601,0.000625,16,1024
74,60.015429,769168,0.000625,16,1024
75,60.597674,772789,0.000625,16,1024
76,61.162321,776317,0.000625,16,1024
77,61.738494,779865,0.000625,16,1024
78,62.354268,783992,0.000625,16,1024
79,62.963123,788113,0.000625,16,1024
80,63.56199,792205,0.000625,16,1024
81,64.176737,796311,0.000625,16,1024
82,64.782078,800389,0.000625,16,1024
83,65.4021,804439,0.000625,16,1024
84,65.995752,808415,0.000625,16,1024
85,66.591915,812492,0.000625,16,1024
86,67.199651,816648,0.000625,16,1024
87,67.807539,820688,0.000625,16,1024
88,68.421823,824793,0.000625,16,1024
89,69.055135,828861,0.000625,16,1024
90,69.649425,832949,0.000625,16,1024
91,70.25833,837092,0.000625,16,1024
92,70.852998,841253,0.000625,16,1024
93,71.45347,845370,0.000625,16,1024
94,72.055227,849531,0.000625,16,1024
95,72.653087,853597,0.000625,16,1024
96,73.241026,857128,0.000625,16,1024
97,73.813725,860680,0.000625,16,1024
98,74.402033,864779,0.000625,16,1024
99,75.014613,868879,0.000625,16,1024
100,75.613598,872985,0.000625,16,1024
101,76.24721,877066,0.000625,16,1024
102,76.858323,881187,0.000625,16,1024
103,77.448592,884725,0.000625,16,1024
104,78.035677,888878,0.000625,16,1024
105,78.664846,892960,0.000625,16,1024
106,79.285118,897020,0.000625,16,1024
107,79.848997,901116,0.000625,16,1024
108,80.476875,905156,0.000625,16,1024
109,81.083296,909246,0.000625,16,1024
110,81.687067,912788,0.000625,16,1024
111,82.262761,916388,0.000625,16,1024
112,82.870731,919970,0.000625,16,1024
113,83.470614,923511,0.000625,16,1024
114,84.043645,927104,0.000625,16,1024
115,84.621959,930696,0.000625,16,1024
116,85.231533,934291,0.000625,16,1024
117,85.845758,938434,0.000625,16,1024
118,86.46309,942519,0.000625,16,1024
119,87.072153,946613,0.000625,16,1024
120,87.696371,950671,0.000625,16,1024
121,88.286187,954229,0.000625,16,1024
122,88.886821,958280,0.000625,16,1024
123,89.508457,962391,0.000625,16,1024
124,90.138839,966439,0.000625,16,1024
125,90.744063,970521,0.000625,16,1024
126,91.374406,974564,0.000625,16,1024
127,91.986696,978666,0.000625,16,1024
128,92.62335,982765,0.000625,16,1024
129,93.216103,986884,0.000625,16,1024
130,93.846725,991007,0.000625,16,1024
131,94.45806,995114,0.000625,16,1024
132,95.077031,999268,0.000625,16,1024
133,95.63211,1002838,0.000625,16,1024
