gen,time,evals,best_fit,best_size,pop_size
1,1.235673,27487,0.004199,18,1024
2,2.533157,60184,0.003602,8,1024
3,3.695966,89935,0.00279,17,1024
4,4.741983,118087,0.001983,14,1024
5,5.860273,139888,0.001956,14,1024
6,7.310646,172166,0.001725,14,1024
7,8.743032,201977,0.000745,14,1024
8,9.565387,212581,0.000734,14,1024
9,10.455474,224449,0.000635,15,1024
10,11.698753,247889,0.000481,15,1024
11,12.302291,251892,0.000464,15,1024
12,12.932558,255708,0.000453,15,1024
13,13.77053,265504,0.000453,15,1024
14,14.676874,277130,0.000453,15,1024
15,15.317049,282492,0.000453,15,1024
16,15.968792,287648,0.000453,15,1024
17,16.619307,292768,0.000453,15,1024
18,17.253678,297888,0.000453,15,1024
19,17.916458,303008,0.000453,15,1024
20,18.559454,308128,0.000453,15,1024
21,19.191367,313248,0.000453,15,1024
22,19.837523,318368,0.000453,15,1024
23,20.496846,323488,0.000453,15,1024
24,21.139422,328608,0.000453,15,1024
25,21.768147,333728,0.000453,15,1024
26,22.40606,338848,0.000453,15,1024
27,23.046475,343968,0.000453,15,1024
28,23.670808,349088,0.000453,15,1024
29,24.297261,354208,0.000453,15,1024
30,24.953639,359328,0.000453,15,1024
31,25.625937,364448,0.000453,15,1024
32,26.262411,369568,0.000453,15,1024
33,26.910033,374688,0.000453,15,1024
34,27.554329,379808,0.000453,15,1024
35,28.192521,384928,0.000453,15,1024
36,28.833063,390048,0.000453,15,1024
37,29.49836,395168,0.000453,15,1024
38,30.176938,401312,0.000453,15,1024
39,30.86827,407456,0.000453,15,1024
40,31.546315,413600,0.000453,15,1024
41,32.194923,418720,0.000453,15,1024
42,32.888817,424864,0.000453,15,1024
43,33.582264,431008,0.000453,15,1024
44,34.249785,437152,0.000453,15,1024
45,34.923043,443296,0.000453,15,1024
46,35.593029,449440,0.000453,15,1024
47,36.235132,455584,0.000453,15,1024
48,36.862489,461728,0.000453,15,1024
49,37.633162,467872,0.000453,15,1024
50,38.320715,474016,0.000453,15,1024
51,39.124069,480160,0.000453,15,1024
52,39.764532,486304,0.000453,15,1024
53,40.465535,492448,0.000453,15,1024
54,41.142732,498592,0.000453,15,1024
55,41.89515,505760,0.000453,15,1024
56,42.620972,512928,0.000453,15,1024
57,43.342904,520096,0.000453,15,1024
58,44.076089,527264,0.000453,15,1024
59,44.791808,534432,0.000453,15,1024
60,45.541118,541600,0.000453,15,1024
61,46.28201,548768,0.000453,15,1024
62,47.003647,555936,0.000453,15,1024
63,47.759784,563104,0.000453,15,1024
64,48.500566,570272,0.000453,15,1024
65,49.236553,577440,0.000453,15,1024
66,49.978904,584608,0.000453,15,1024
67,50.720231,591776,0.000453,15,1024
68,51.436739,598944,0.000453,15,1024
69,52.179077,606112,0.000453,15,1024
70,52.918838,613280,0.000453,15,1024
71,53.642221,620448,0.000453,15,1024
72,54.36259,627616,0.000453,15,1024
73,55.164806,635808,0.000453,15,1024
74,55.961526,644000,0.000453,15,1024
75,56.767349,652192,0.000453,15,1024
76,57.532512,660384,0.000453,15,1024
77,58.328194,668576,0.000453,15,1024
78,59.08314,675744,0.000453,15,1024
79,59.826695,682912,0.000453,15,1024
80,60.576469,690080,0.000453,15,1024
81,61.372255,698272,0.000453,15,1024
82,62.185574,706464,0.000453,15,1024
83,62.775387,714656,0.000453,15,1024
84,63.338214,722848,0.000453,15,1024
85,64.253268,731040,0.000453,15,1024
86,65.056856,739232,0.000453,15,1024
87,65.842407,747424,0.000453,15,1024
88,66.647152,755616,0.000453,15,1024
89,67.462625,763808,0.000453,15,1024
90,68.267938,772000,0.000453,15,1024
91,69.085807,780192,0.000453,15,1024
92,69.844348,787360,0.000453,15,1024
93,70.658558,795552,0.000453,15,1024
94,71.4698,803744,0.000453,15,1024
95,72.34329,811936,0.000453,15,1024
96,73.139117,820128,0.000453,15,1024
97,73.944666,828320,0.000453,15,1024
98,74.764607,836512,0.000453,15,1024
99,75.593255,844704,0.000453,15,1024
100,76.424647,852896,0.000453,15,1024
101,77.237792,861088,0.000453,15,1024
102,78.047134,869280,0.000453,15,1024
103,78.903799,877472,0.000453,15,1024
104,79.711684,885664,0.000453,15,1024
105,80.540363,893856,0.000453,15,1024
106,81.335801,902048,0.000453,15,1024
107,82.166132,910240,0.000453,15,1024
108,82.978294,918432,0.000453,15,1024
109,83.791659,926624,0.000453,15,1024
110,84.572213,934816,0.000453,15,1024
111,85.383543,943008,0.000453,15,1024
112,86.17852,951200,0.000453,15,1024
113,87.01126,959392,0.000453,15,1024
114,87.81261,967584,0.000453,15,1024
115,88.632159,975776,0.000453,15,1024
116,89.444723,983968,0.000453,15,1024
117,90.274113,992160,0.000453,15,1024
118,91.081526,1000352,0.000453,15,1024
