gen,time,evals,best_fit,best_size,pop_size
1,1.158424,26038,0.002335,14,1024
2,2.467514,58971,0.00227,14,1024
3,3.849343,93082,0.002254,14,1024
4,5.197913,122922,0.002232,14,1024
5,6.464401,157982,0.00207,14,1024
6,7.843281,194275,0.001704,12,1024
7,8.416285,207879,0.001704,12,1024
8,9.002453,217924,0.001596,12,1024
9,9.644821,227036,0.001564,12,1024
10,10.244659,235540,0.001548,12,1024
11,10.918035,246062,0.001475,12,1024
12,11.631602,257538,0.001464,12,1024
13,12.715477,276479,0.001428,12,1024
14,14.106369,306615,0.001422,12,1024
15,15.482537,332718,0.001422,12,1024
16,16.620465,351599,0.001422,12,1024
17,17.292992,358972,0.001422,12,1024
18,17.907963,365106,0.001422,12,1024
19,18.517972,371245,0.001422,12,1024
20,19.14413,377383,0.001422,12,1024
21,19.727908,383506,0.001422,12,1024
22,20.331655,389602,0.001422,12,1024
23,20.929929,395669,0.001422,12,1024
24,21.528283,401726,0.001422,12,1024
25,22.139099,407802,0.001422,12,1024
26,22.742632,413818,0.001422,12,1024
27,23.371616,419850,0.001422,12,1024
28,23.975288,425958,0.001422,12,1024
29,24.59723,432042,0.001422,12,1024
30,25.219261,438098,0.001422,12,1024
31,25.841331,444175,0.001422,12,1024
32,26.455337,450273,0.001422,12,1024
33,27.077653,456360,0.001422,12,1024
34,27.701683,462441,0.001422,12,1024
35,28.301465,468540,0.001422,12,1024
36,28.917607,474606,0.001422,12,1024
37,29.529534,480632,0.001422,12,1024
38,30.152917,486549,0.001422,12,1024
39,30.745997,492353,0.001422,12,1024
40,31.367649,498170,0.001422,12,1024
41,31.99189,504109,0.001422,12,1024
42,32.602206,510174,0.001422,12,1024
43,33.246644,516270,0.001422,12,1024
44,33.845995,522345,0.001422,12,1024
45,34.480646,528410,0.001422,12,1024
46,35.101356,534487,0.001422,12,1024
47,35.74622,540553,0.001422,12,1024
48,36.337828,546624,0.001422,12,1024
49,36.970641,552700,0.001422,12,1024
50,37.599546,558781,0.001422,12,1024
51,38.232567,564874,0.001422,12,1024
52,38.859789,570968,0.001422,12,1024
53,39.478862,577059,0.001422,12,1024
54,40.111922,582124,0.001422,12,1024
55,40.74131,588204,0.001422,12,1024
56,41.364345,594295,0.001422,12,1024
57,41.968462,600379,0.001422,12,1024
58,42.604531,606448,0.001422,12,1024
59,43.230617,612519,0.001422,12,1024
60,43.863055,618570,0.001422,12,1024
61,44.456819,623543,0.001422,12,1024
62,45.069555,628455,0.001422,12,1024
63,45.671135,633379,0.001422,12,1024
64,46.294641,639315,0.001422,12,1024
65,46.904432,644294,0.001422,12,1024
66,47.514877,649258,0.001422,12,1024
67,48.133819,654241,0.001422,12,1024
68,48.820816,661228,0.001422,12,1024
69,49.44427,666158,0.001422,12,1024
70,50.044706,671087,0.001422,12,1024
71,50.658608,676011,0.001422,12,1024
72,51.3406,682982,0.001422,12,1024
73,51.912867,687864,0.001422,12,1024
74,52.587895,694728,0.001422,12,1024
75,53.271421,701585,0.001422,12,1024
76,53.937563,708536,0.001422,12,1024
77,54.571018,714488,0.001422,12,1024
78,55.197849,720400,0.001422,12,1024
79,55.824822,726302,0.001422,12,1024
80,56.464286,732117,0.001422,12,1024
81,57.069567,737703,0.001422,12,1024
82,57.658897,742744,0.001422,12,1024
83,58.226122,746899,0.001422,12,1024
84,58.836585,752225,0.001422,12,1024
85,59.42409,756878,0.001422,12,1024
86,59.948967,761119,0.001422,12,1024
87,60.544672,765963,0.001422,12,1024
88,61.096281,770139,0.001422,12,1024
89,61.536697,771532,0.001422,12,1024
90,61.936602,772556,0.001422,12,1024
91,62.332036,773580,0.001422,12,1024
92,62.72637,774604,0.001422,12,1024
93,63.145902,775628,0.001422,12,1024
94,63.586098,776652,0.001422,12,1024
95,64.028882,777676,0.001422,12,1024
96,64.467773,778700,0.001422,12,1024
97,64.855046,779724,0.001422,12,1024
98,65.290426,780748,0.001422,12,1024
99,65.727187,781772,0.001422,12,1024
100,66.146742,782796,0.001422,12,1024
101,66.574642,783820,0.001422,12,1024
102,66.98623,784844,0.001422,12,1024
103,67.423508,785868,0.001422,12,1024
104,67.823304,786892,0.001422,12,1024
105,68.254075,787916,0.001422,12,1024
106,68.695139,788940,0.001422,12,1024
107,69.145298,789964,0.001422,12,1024
108,69.549493,790988,0.001422,12,1024
109,69.946514,792012,0.001422,12,1024
110,70.394319,793036,0.001422,12,1024
111,70.856049,794060,0.001422,12,1024
112,71.224789,795084,0.001422,12,1024
113,71.648161,796108,0.001422,12,1024
114,72.085738,797132,0.001422,12,1024
115,72.526949,798156,0.001422,12,1024
116,72.959687,799180,0.001422,12,1024
117,73.370479,800204,0.001422,12,1024
118,73.78257,801228,0.001422,12,1024
119,74.234186,802252,0.001422,12,1024
120,74.62749,803276,0.001422,12,1024
121,75.053457,804300,0.001422,12,1024
122,75.484774,805324,0.001422,12,1024
123,75.9196,806348,0.001422,12,1024
124,76.332352,807372,0.001422,12,1024
125,76.755889,808396,0.001422,12,1024
126,77.196028,809420,0.001422,12,1024
127,77.564933,810444,0.001422,12,1024
128,77.951417,811468,0.001422,12,1024
129,78.390558,812492,0.001422,12,1024
130,78.826303,813516,0.001422,12,1024
131,79.259373,814540,0.001422,12,1024
132,79.688457,815564,0.001422,12,1024
133,80.1274,816588,0.001422,12,1024
134,80.535659,817612,0.001422,12,1024
135,80.962923,818636,0.001422,12,1024
136,81.403444,819660,0.001422,12,1024
137,81.829679,820684,0.001422,12,1024
138,82.264281,821708,0.001422,12,1024
139,82.69865,822732,0.001422,12,1024
140,83.112627,823756,0.001422,12,1024
141,83.510546,824780,0.001422,12,1024
142,83.934076,825804,0.001422,12,1024
143,84.396801,826828,0.001422,12,1024
144,84.819959,827852,0.001422,12,1024
145,85.285346,828876,0.001422,12,1024
146,85.719126,829900,0.001422,12,1024
147,86.111907,830924,0.001422,12,1024
148,86.526209,831948,0.001422,12,1024
149,86.989027,832972,0.001422,12,1024
