gen,time,evals,best_fit,best_size,pop_size
1,1.165382,25811,0.003691,17,1024
2,2.444931,60562,0.002912,10,1024
3,3.82497,94903,0.002549,10,1024
4,5.034212,123399,0.002549,10,1024
5,6.243592,149429,0.000756,11,1024
6,7.086944,163974,0.000756,11,1024
7,8.343552,190796,0.000756,11,1024
8,9.888946,223109,0.000756,11,1024
9,11.231613,247503,0.000756,11,1024
10,11.673961,249780,0.000756,11,1024
11,12.135443,251735,0.000756,11,1024
12,12.581637,253681,0.000756,11,1024
13,13.028798,255606,0.000756,11,1024
14,13.437642,257530,0.000756,11,1024
15,13.876782,259445,0.000756,11,1024
16,14.323541,261359,0.000756,11,1024
17,14.779949,263306,0.000756,11,1024
18,15.23681,265242,0.000756,11,1024
19,15.659026,267118,0.000756,11,1024
20,16.124581,269052,0.000756,11,1024
21,16.582882,270989,0.000756,11,1024
22,17.021893,272898,0.000756,11,1024
23,17.429441,274853,0.000756,11,1024
24,17.888693,276761,0.000756,11,1024
25,18.332369,278671,0.000756,11,1024
26,18.75525,280582,0.000756,11,1024
27,19.216149,282510,0.000756,11,1024
28,19.646994,284456,0.000756,11,1024
29,20.094155,286335,0.000756,11,1024
30,20.564808,288235,0.000756,11,1024
31,21.023928,290099,0.000756,11,1024
32,21.491801,292047,0.000756,11,1024
33,21.969913,294049,0.000756,11,1024
34,22.40183,296012,0.000756,11,1024
35,22.88663,297923,0.000756,11,1024
36,23.362784,299856,0.000756,11,1024
37,23.831127,301789,0.000756,11,1024
38,24.308946,303711,0.000756,11,1024
39,24.76405,305605,0.000756,11,1024
40,25.2344,307580,0.000756,11,1024
41,25.721785,309584,0.000756,11,1024
42,26.204037,311548,0.000756,11,1024
43,26.697336,313471,0.000756,11,1024
44,27.170908,315474,0.000756,11,1024
45,27.661028,317406,0.000756,11,1024
46,28.139349,319389,0.000756,11,1024
47,28.619528,321316,0.000756,11,1024
48,29.123623,323297,0.000756,11,1024
49,29.582539,325259,0.000756,11,1024
50,30.062969,327176,0.000756,11,1024
51,30.546552,329118,0.000756,11,1024
52,31.019345,331097,0.000756,11,1024
53,31.514006,333033,0.000756,11,1024
54,31.993336,334955,0.000756,11,1024
55,32.451618,336924,0.000756,11,1024
56,32.956892,338878,0.000756,11,1024
57,33.443438,340811,0.000756,11,1024
58,33.907828,342754,0.000756,11,1024
59,34.414376,344698,0.000756,11,1024
60,34.869049,346671,0.000756,11,1024
61,35.365881,348655,0.000756,11,1024
