gen,time,evals,best_fit,best_size,pop_size
1,1.907541,46382,0.002739,13,1024
2,3.819281,100427,0.001971,16,1024
3,6.018778,150596,0.001245,15,1024
4,7.842428,197353,0.00124,15,1024
5,10.100646,255443,0.001197,14,1024
6,12.623219,319246,0.001197,14,1024
7,14.909534,367344,0.001189,14,1024
8,17.572462,423658,0.00114,14,1024
9,20.180586,475866,0.001135,16,1024
10,22.8786,531033,0.001135,16,1024
11,25.52742,586363,0.001135,16,1024
12,28.533837,649412,0.001135,16,1024
13,32.52703,715894,0.001135,16,1024
14,35.538047,776256,0.001096,16,1024
15,38.203519,829576,0.001096,16,1024
16,40.754765,882869,0.001096,16,1024
17,43.343777,936674,0.001096,16,1024
18,45.827473,987615,0.001041,14,1024
19,48.485193,1036223,0.001037,14,1024
