gen,time,evals,best_fit,best_size,pop_size
1,1.149087,26071,0.003524,9,1024
2,2.438558,60793,0.002995,13,1024
3,3.712488,94953,0.002343,10,1024
4,5.0781,129980,0.002343,10,1024
5,6.595766,161196,0.002343,10,1024
6,7.88254,190841,0.002343,10,1024
7,8.922786,213707,0.002343,10,1024
8,9.596101,223524,0.002343,10,1024
9,10.202096,230360,0.002325,10,1024
10,10.767788,236523,0.002325,10,1024
11,11.349837,243272,0.002325,10,1024
12,11.923196,249846,0.002325,10,1024
13,12.509229,255969,0.002325,10,1024
14,13.060968,262069,0.002123,13,1024
15,13.629741,267843,0.002123,13,1024
16,14.183104,273965,0.002087,13,1024
17,14.754373,279681,0.002087,13,1024
18,15.237575,283804,0.002087,13,1024
19,15.834752,288901,0.002087,13,1024
20,16.51432,297747,0.001546,16,1024
21,17.40876,312990,0.001546,16,1024
22,18.370221,328999,0.001365,16,1024
23,19.292293,342594,0.001361,16,1024
24,20.335417,360167,0.001361,16,1024
25,21.498818,380234,0.001245,16,1024
26,22.311087,391888,0.001245,16,1024
27,23.081025,402243,0.001243,16,1024
28,23.854322,412583,0.001243,16,1024
29,24.605665,422989,0.001243,16,1024
30,25.360962,433150,0.001243,16,1024
31,26.074816,441754,0.001243,16,1024
32,26.616977,445429,0.001243,16,1024
33,27.121562,448265,0.001243,16,1024
34,27.596222,451242,0.001243,16,1024
35,28.120463,454340,0.001243,16,1024
36,28.62523,457676,0.001243,16,1024
37,29.18666,462081,0.001243,16,1024
38,29.816747,468982,0.001243,16,1024
39,30.39754,473874,0.00124,16,1024
40,30.945414,478242,0.001237,16,1024
41,31.549555,483177,0.001237,16,1024
42,32.15974,489059,0.001236,16,1024
43,32.856689,496889,0.001235,16,1024
44,33.833033,511461,0.001235,16,1024
45,35.091315,532527,0.001235,16,1024
46,35.988358,544853,0.001234,16,1024
47,36.835551,555606,0.001233,16,1024
48,37.651095,565920,0.001233,16,1024
49,38.372512,574174,0.001233,16,1024
50,39.092045,582133,0.001233,16,1024
51,39.841257,590788,0.001233,16,1024
52,40.612847,600109,0.001233,16,1024
53,41.290227,607412,0.001233,16,1024
54,41.987616,614906,0.001233,16,1024
55,42.561945,619221,0.001233,16,1024
56,43.181241,624518,0.001233,16,1024
57,43.689287,626908,0.001233,16,1024
58,44.170305,628956,0.001233,16,1024
59,44.641466,631004,0.001233,16,1024
60,45.114733,633052,0.001233,16,1024
61,45.588038,635100,0.001233,16,1024
62,46.045313,637148,0.001233,16,1024
63,46.526051,639196,0.001233,16,1024
64,46.978123,641244,0.001233,16,1024
65,47.454725,643292,0.001233,16,1024
66,47.902537,645340,0.001233,16,1024
67,48.378851,647388,0.001233,16,1024
68,48.844313,649436,0.001233,16,1024
69,49.312597,651484,0.001233,16,1024
70,49.797355,653532,0.001233,16,1024
71,50.236777,655580,0.001233,16,1024
72,50.713469,657628,0.001233,16,1024
73,51.180979,659676,0.001233,16,1024
74,51.658214,661774,0.001233,16,1024
75,52.145844,664130,0.001233,16,1024
76,52.69968,668207,0.001233,16,1024
77,53.402342,675621,0.001233,16,1024
78,53.877145,678089,0.001233,16,1024
79,54.359913,680137,0.001233,16,1024
80,54.848703,682185,0.001233,16,1024
81,55.300224,684233,0.001233,16,1024
82,55.773606,686281,0.001233,16,1024
83,56.241506,688329,0.001233,16,1024
84,56.726852,690377,0.001233,16,1024
85,57.176964,692425,0.001233,16,1024
86,57.641363,694473,0.001233,16,1024
87,58.141057,696521,0.001233,16,1024
88,58.601733,698569,0.001233,16,1024
89,59.075907,700617,0.001233,16,1024
90,59.56305,702665,0.001233,16,1024
91,60.051047,704713,0.001233,16,1024
92,60.493293,706761,0.001233,16,1024
93,60.978674,708809,0.001233,16,1024
94,61.459508,710857,0.001233,16,1024
95,61.949231,712905,0.001233,16,1024
96,62.415025,714953,0.001233,16,1024
97,62.906267,717001,0.001233,16,1024
98,63.376394,719049,0.001233,16,1024
99,63.844244,721097,0.001233,16,1024
100,64.317103,723145,0.001233,16,1024
101,64.816868,725193,0.001233,16,1024
102,65.272512,727241,0.001233,16,1024
103,65.698872,729289,0.001233,16,1024
104,66.196501,731337,0.001233,16,1024
105,66.673162,733385,0.001233,16,1024
106,67.141464,735433,0.001233,16,1024
107,67.625661,737481,0.001233,16,1024
108,68.101471,739529,0.001233,16,1024
109,68.576769,741577,0.001233,16,1024
110,69.013783,743625,0.001233,16,1024
111,69.511847,745673,0.001233,16,1024
112,69.999429,747721,0.001233,16,1024
113,70.46172,749769,0.001233,16,1024
114,70.932856,751817,0.001233,16,1024
115,71.410319,753865,0.001233,16,1024
116,71.881962,755913,0.001233,16,1024
117,72.326562,757961,0.001233,16,1024
118,72.81573,760009,0.001233,16,1024
119,73.296649,762057,0.001233,16,1024
120,73.735432,764105,0.001233,16,1024
121,74.204284,766153,0.001233,16,1024
122,74.685362,768201,0.001233,16,1024
123,75.177459,770249,0.001233,16,1024
124,75.636822,772297,0.001233,16,1024
125,76.108871,774345,0.001233,16,1024
126,76.582785,776393,0.001233,16,1024
127,77.05933,778441,0.001233,16,1024
128,77.493902,780489,0.001233,16,1024
129,77.993225,782537,0.001233,16,1024
130,78.460986,784585,0.001233,16,1024
131,78.908569,786633,0.001233,16,1024
132,79.381743,788681,0.001233,16,1024
133,79.864207,790729,0.001233,16,1024
134,80.337965,792777,0.001233,16,1024
135,80.799948,794825,0.001233,16,1024
136,81.283909,796873,0.001233,16,1024
137,81.769538,798921,0.001233,16,1024
138,82.219668,800969,0.001233,16,1024
139,82.696847,803017,0.001233,16,1024
140,83.179896,805065,0.001233,16,1024
141,83.680023,807113,0.001233,16,1024
142,84.108982,809161,0.001233,16,1024
143,84.575229,811209,0.001233,16,1024
144,85.05999,813257,0.001233,16,1024
145,85.515597,815305,0.001233,16,1024
146,85.988692,817353,0.001233,16,1024
147,86.464626,819401,0.001233,16,1024
148,86.942022,821449,0.001233,16,1024
149,87.411741,823497,0.001233,16,1024
150,87.862212,825545,0.001233,16,1024
151,88.361186,827593,0.001233,16,1024
152,88.829214,829641,0.001233,16,1024
153,89.28299,831689,0.001233,16,1024
154,89.749018,833737,0.001233,16,1024
155,90.23033,835785,0.001233,16,1024
156,90.697167,837833,0.001233,16,1024
157,91.162374,839881,0.001233,16,1024
158,91.64534,841929,0.001233,16,1024
159,92.12088,843977,0.001233,16,1024
160,92.592303,846025,0.001233,16,1024
161,93.051338,848073,0.001233,16,1024
162,93.534445,850121,0.001233,16,1024
163,94.021485,852169,0.001233,16,1024
164,94.486077,854217,0.001233,16,1024
165,94.941264,856265,0.001233,16,1024
166,95.417091,858313,0.001233,16,1024
167,95.88771,860361,0.001233,16,1024
168,96.361904,862409,0.001233,16,1024
169,96.834604,864457,0.001233,16,1024
170,97.308241,866505,0.001233,16,1024
171,97.775823,868553,0.001233,16,1024
172,98.245562,870601,0.001233,16,1024
173,98.716351,872649,0.001233,16,1024
174,99.203982,874697,0.001233,16,1024
175,99.647188,876745,0.001233,16,1024
176,100.115041,878793,0.001233,16,1024
177,100.60097,880841,0.001233,16,1024
178,101.071727,882889,0.001233,16,1024
179,101.5517,884937,0.001233,16,1024
180,102.001287,886985,0.001233,16,1024
181,102.495672,889033,0.001233,16,1024
182,102.968843,891081,0.001233,16,1024
183,103.425064,893129,0.001233,16,1024
184,103.902922,895177,0.001233,16,1024
185,104.380851,897225,0.001233,16,1024
186,104.837146,899273,0.001233,16,1024
187,105.313644,901321,0.001233,16,1024
188,105.76219,903369,0.001233,16,1024
189,106.245184,905417,0.001233,16,1024
190,106.707206,907465,0.001233,16,1024
191,107.194048,909513,0.001233,16,1024
192,107.636627,911561,0.001233,16,1024
193,108.112057,913609,0.001233,16,1024
194,108.579922,915657,0.001233,16,1024
195,109.061617,917705,0.001233,16,1024
196,109.53842,919753,0.001233,16,1024
197,110.023526,921801,0.001233,16,1024
198,110.477153,923849,0.001233,16,1024
199,110.976818,925951,0.001233,16,1024
200,111.452721,928618,0.001233,16,1024
201,112.063663,934041,0.001233,16,1024
202,112.721103,940389,0.001233,16,1024
203,113.195818,942460,0.001233,16,1024
204,113.668347,944508,0.001233,16,1024
205,114.1303,946556,0.001233,16,1024
206,114.607164,948604,0.001233,16,1024
207,115.074137,950652,0.001233,16,1024
208,115.547698,952700,0.001233,16,1024
209,115.988335,954748,0.001233,16,1024
210,116.447817,956796,0.001233,16,1024
211,116.908442,958844,0.001233,16,1024
212,117.363959,960892,0.001233,16,1024
213,117.835501,962940,0.001233,16,1024
214,118.307712,964988,0.001233,16,1024
215,118.771331,967036,0.001233,16,1024
216,119.243703,969084,0.001233,16,1024
217,119.714471,971132,0.001233,16,1024
218,120.186119,973180,0.001233,16,1024
219,120.675631,975228,0.001233,16,1024
220,121.096481,977276,0.001233,16,1024
221,121.580845,979324,0.001233,16,1024
222,122.055158,981372,0.001233,16,1024
223,122.512219,983420,0.001233,16,1024
224,123.007308,985468,0.001233,16,1024
225,123.455087,987516,0.001233,16,1024
226,123.935459,989564,0.001233,16,1024
227,124.416689,991612,0.001233,16,1024
228,124.875276,993660,0.001233,16,1024
229,125.364506,995708,0.001233,16,1024
230,125.824923,997756,0.001233,16,1024
231,126.318705,999804,0.001233,16,1024
232,126.771541,1001852,0.001233,16,1024
